timestamp,open,high,low,close,volume
2021-07-15,57.12,57.69,56.59,56.95,12103430
2021-07-16,57.48,57.48,55.37,55.46,13611414
2021-07-19,53.9,54.43,52.63,54.18,20942080
2021-07-20,54.26,56.38,54.12,56.15,13291999
2021-07-21,56.8,57.47,56.56,57.05,11035166
2021-07-22,56.75,56.76,55.49,55.64,12019881
2021-07-23,55.31,55.786,54.81,54.94,14535963
2021-07-26,55.24,55.91,55.1,55.77,9589042
2021-07-27,55.21,55.36,54.215,55.0,13374883
2021-07-28,55.42,55.86,54.685,55.49,10549242
2021-07-29,57.0,57.7398,56.82,57.28,15105761
2021-07-30,56.72,57.805,56.62,56.84,13185464
2021-08-02,57.37,58.6,56.88,57.03,12397528
2021-08-03,57.47,57.96,56.61,57.88,12273518
2021-08-04,55.23,55.45,52.21,52.72,67667165
2021-08-05,53.86,54.88,53.55,54.44,28571443
2021-08-06,54.81,55.345,54.26,55.05,14970095
2021-08-09,54.27,54.37,53.4,53.95,16079978
2021-08-10,54.0,54.38,53.66,54.26,14479057
2021-08-11,54.42,54.5,53.45,54.27,15814572
2021-08-12,54.44,55.04,54.185,54.62,10766205
2021-08-13,54.56,54.71,53.59,53.65,11814473
2021-08-16,53.01,53.255,52.49,52.95,17029236
2021-08-17,51.98,52.08,50.2,50.47,28477808
2021-08-18,50.53,51.4899,50.4,50.84,15271357
2021-08-19,50.0,50.22,48.67,49.08,23387332
2021-08-20,48.96,49.14,48.35,48.8,16898401
2021-08-23,48.16,48.35,47.07,48.18,30149156
2021-08-24,48.5,49.865,48.23,49.57,21394702
2021-08-25,49.49,49.93,49.16,49.7,14406585
2021-08-26,49.47,49.47,48.5201,48.62,16599237
2021-08-27,48.75,50.07,48.66,49.8,14874277
2021-08-30,49.95,49.95,48.95,49.17,13708994
2021-08-31,49.17,49.43,48.67,49.01,14293107
2021-09-01,49.1,49.64,48.68,49.11,10982078
2021-09-02,49.15,49.5,48.81,48.95,13370754
2021-09-03,48.8,48.995,48.42,48.82,9937933
2021-09-07,48.49,49.225,48.4201,48.72,12316195
2021-09-08,48.64,49.52,48.42,48.97,11136342
2021-09-09,48.95,48.95,47.8,48.42,13739528
2021-09-10,48.69,50.42,48.69,49.49,22774716
2021-09-13,50.11,50.95,49.6,50.82,18506470
2021-09-14,51.22,51.42,50.5,50.74,12587254
2021-09-15,50.79,51.93,50.54,51.82,13658532
2021-09-16,51.59,51.9,50.91,51.52,12617326
2021-09-17,51.33,51.93,50.99,51.33,45119255
2021-09-20,49.45,49.54,48.37,49.37,24540600
2021-09-21,49.57,49.775,48.785,49.37,14172717
2021-09-22,50.03,51.22,50.03,50.78,14038299
2021-09-23,51.1,52.075,51.04,51.92,14043210
2021-09-24,51.88,52.63,51.72,52.23,11643547
2021-09-27,52.41,53.57,52.38,53.24,13861381
2021-09-28,53.77,54.21,52.7,52.85,16422907
2021-09-29,53.3,53.36,52.53,52.93,10881056
2021-09-30,52.93,53.2,52.18,52.71,16328193
2021-10-01,53.03,53.38,52.25,53.13,16660419
2021-10-04,54.9,55.64,53.68,53.98,29206680
2021-10-05,54.19,54.735,53.6488,54.34,18201517
2021-10-06,54.49,55.5,53.15,53.93,29520794
2021-10-07,54.85,56.74,54.435,56.44,31005968
2021-10-08,56.54,59.21,56.3811,58.57,33724939
2021-10-11,58.79,59.345,57.77,58.09,17665711
2021-10-12,58.52,59.33,57.86,58.96,17094970
2021-10-13,58.94,58.94,57.08,57.77,18813796
2021-10-14,58.1,58.29,57.45,57.69,11457550
2021-10-15,58.34,58.7146,57.85,58.0,12914587
2021-10-18,57.41,57.58,56.845,56.89,12667902
2021-10-19,57.0,57.06,56.53,56.85,10589015
2021-10-20,56.36,58.24,56.22,57.67,13399851
2021-10-21,58.0,58.67,57.73,58.41,11585401
2021-10-22,58.37,58.7,57.64,57.77,11077606
2021-10-25,58.05,58.31,56.84,57.76,14151033
2021-10-26,58.02,58.295,56.96,57.37,16335762
2021-10-27,55.6,55.76,54.155,54.26,36397560
2021-10-28,54.6,55.58,54.06,54.24,23020297
2021-10-29,53.9,55.04,53.612,54.43,16680739
2021-11-01,54.85,55.74,54.42,55.49,15512544
2021-11-02,55.03,55.975,54.68,55.59,16341530
2021-11-03,55.26,56.17,55.09,56.0,14419373
2021-11-04,56.47,58.77,56.27,58.64,24026099
2021-11-05,59.15,59.35,58.05,58.52,16302208
2021-11-08,58.76,60.33,58.48,59.6,14385453
2021-11-09,59.81,59.93,57.81,58.62,13755712
2021-11-10,57.85,60.555,57.73,59.27,22778553
2021-11-11,59.82,62.15,59.3065,61.82,29033882
2021-11-12,61.59,64.03,61.28,63.4,30915139
2021-11-15,63.655,63.73,62.625,62.97,14372134
2021-11-16,63.24,63.28,61.93,62.61,16114989
2021-11-17,63.33,65.07,62.375,64.61,29983382
2021-11-18,64.33,65.18,62.09,62.33,23308100
2021-11-19,62.48,62.9699,61.56,61.8,19520640
2021-11-22,61.95,64.955,61.76,64.06,19844304
2021-11-23,63.73,64.04,62.26,63.05,16231225
2021-11-24,62.3,62.6,61.63,62.19,12685005
2021-11-26,59.8,60.57,59.46,60.17,13272565
2021-11-29,61.11,61.54,59.65,59.86,15033078
2021-11-30,59.2,59.84,57.44,57.87,21282186
2021-12-01,59.25,60.59,58.01,58.06,26371657
2021-12-02,58.75,61.3,58.7,61.02,25365108
2021-12-03,61.235,61.69,58.87,59.71,19596053
