volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
5.7712693e7,46.6276,46.99,46.63,47.31,45.66,2019-12-26,212321
3.6624234e7,46.3995,46.85,46.18,46.88,45.975,2019-12-27,155600
4.1235735e7,45.3505,46.14,45.52,46.17,44.66,2019-12-30,185708
3.1791204e7,45.7959,45.07,45.86,46.09,44.9223,2019-12-31,133635
8.0524599e7,48.1852,46.86,49.1,49.25,46.63,2020-01-02,318122
7.3362157e7,48.5379,48.03,48.6,49.39,47.54,2020-01-03,302778
4.8176286e7,48.4085,48.02,48.39,48.86,47.86,2020-01-06,208014
5.9935556e7,48.4883,49.35,48.25,49.39,48.04,2020-01-07,269356
5.3868957e7,47.7337,47.85,47.83,48.3,47.14,2020-01-08,234976
7.6641637e7,49.2854,48.94,48.97,49.96,48.39,2020-01-09,322946
4.4215594e7,48.492,49.26,48.165,49.29,48.0,2020-01-10,202666
3.4474728e7,48.589,48.66,48.745,48.86,48.24,2020-01-13,148724
3.869418e7,48.3848,48.64,48.21,49.035,47.91,2020-01-14,170848
4.0199943e7,48.6425,48.23,48.545,49.08,48.12,2020-01-15,169113
5.8898926e7,49.6333,49.17,49.77,50.31,48.99,2020-01-16,239224
5.6680001e7,50.5222,50.2,50.93,51.05,49.9,2020-01-17,232172
4.9094965e7,51.2617,50.96,51.05,51.81,50.7,2020-01-21,209599
4.0772219e7,51.5459,51.63,51.43,51.875,51.195,2020-01-22,177523
4.0135442e7,51.2966,51.34,51.71,51.745,50.74,2020-01-23,174010
8.0004909e7,50.9364,52.2803,50.35,52.81,49.47,2020-01-24,351574
4.8878578e7,49.1439,48.45,49.26,49.79,47.9,2020-01-27,235110
6.1543844e7,50.0343,50.03,50.53,50.85,49.48,2020-01-28,281121
1.12559197e8,47.0214,47.84,47.51,48.07,46.1,2020-01-29,489172
7.0460163e7,47.4405,46.49,48.78,48.81,46.13,2020-01-30,296228
6.0319181e7,47.6467,48.4,47.0,48.58,46.79,2020-01-31,268833
4.7076956e7,47.4559,46.4,48.02,48.1,46.23,2020-02-03,219263
4.6302078e7,49.2531,49.21,49.45,49.75,48.61,2020-02-04,210016
4.2737104e7,49.7723,50.29,49.84,50.42,49.31,2020-02-05,192485
4.867025e7,48.7233,48.8,49.32,49.39,47.63,2020-02-06,227473
5.3107282e7,50.0601,48.91,49.73,50.665,48.635,2020-02-07,242903
6.0971719e7,51.4045,49.47,52.26,52.3,49.35,2020-02-10,272493
7.4419054e7,53.8904,53.22,53.8,54.48,52.91,2020-02-11,335028
4.5994933e7,54.0055,54.53,53.89,54.85,53.53,2020-02-12,206374
5.1640035e7,54.4947,53.43,54.53,55.03,53.34,2020-02-13,226825
5.236537e7,55.1023,55.19,55.31,55.4,54.56,2020-02-14,196833
7.0346387e7,56.6945,54.94,56.89,58.13,54.84,2020-02-18,308801
5.8597294e7,58.5991,57.99,58.9,59.27,57.51,2020-02-19,270042
7.4203373e7,57.5695,58.44,57.27,59.02,56.15,2020-02-20,359319
8.8526374e7,54.3669,56.71,53.28,56.8,52.89,2020-02-21,399699
8.6493836e7,49.2817,48.175,49.12,50.275,47.49,2020-02-24,393334
8.8699382e7,48.4413,51.14,47.57,51.24,47.12,2020-02-25,363407
8.689768e7,48.1855,47.7,47.49,49.29,47.07,2020-02-26,390703
1.06416222e8,44.558,45.38,44.01,46.24,42.21,2020-02-27,479412
1.00667707e8,43.9512,41.355,45.48,46.15,41.04,2020-02-28,501360
