volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
3.528962e6,66.4383,66.71,66.39,66.91,66.15,2019-12-26,27736
4.464424e6,65.9239,66.38,65.95,66.49,65.71,2019-12-27,34879
5.86552e6,65.1437,65.73,64.93,66.1,64.81,2019-12-30,47815
6.985161e6,64.7699,64.66,64.98,65.06,64.35,2019-12-31,47060
4.653342e6,65.2644,65.53,65.23,65.74,65.04,2020-01-02,37464
4.689788e6,65.0832,64.63,65.07,65.37,64.5646,2020-01-03,36755
8.248705e6,65.4608,64.67,65.65,65.825,64.66,2020-01-06,49440
8.085147e6,64.8182,65.26,65.12,65.29,64.17,2020-01-07,50880
6.608066e6,65.7158,65.11,65.8,66.24,64.81,2020-01-08,46368
5.942291e6,65.78,65.81,65.84,66.07,65.3,2020-01-09,41644
5.154055e6,65.3347,66.0,65.03,66.0899,64.98,2020-01-10,39281
6.869196e6,64.4537,65.05,64.31,65.26,64.08,2020-01-13,49673
9.914853e6,64.1995,64.41,64.2,64.56,63.91,2020-01-14,66679
7.080575e6,64.3181,64.07,64.1,64.93,63.98,2020-01-15,53300
1.0633877e7,63.4547,64.29,63.2,64.38,63.12,2020-01-16,68780
1.3457606e7,62.9776,63.5,62.98,63.5,62.57,2020-01-17,82288
1.2261375e7,62.6448,62.91,62.63,62.9188,62.23,2020-01-21,66941
7.906261e6,63.2492,62.8,63.43,63.51,62.6,2020-01-22,58319
1.464872e7,63.6217,63.25,63.94,64.055,62.74,2020-01-23,76349
1.8685066e7,63.2827,64.07,63.15,64.2,62.84,2020-01-24,79090
1.0400651e7,63.6986,63.0,63.83,64.28,62.8,2020-01-27,75697
1.0241423e7,64.4876,64.25,64.36,64.875,64.09,2020-01-28,63730
7.074791e6,64.4354,64.42,64.3,65.14,64.22,2020-01-29,51238
8.771797e6,63.6275,63.9,64.03,64.1,63.03,2020-01-30,62477
1.1416828e7,63.2856,63.8,63.2,63.93,62.6,2020-01-31,70485
3.5561977e7,66.6485,67.735,66.36,68.68,65.49,2020-02-03,228057
1.5904094e7,67.3694,68.0,67.4,68.01,66.88,2020-02-04,115192
2.1184503e7,65.6264,66.22,65.87,66.55,64.07,2020-02-05,137060
2.8805541e7,68.143,67.29,68.21,69.9,66.05,2020-02-06,196127
2.7320131e7,69.2841,69.98,68.87,71.19,68.39,2020-02-07,167550
2.4347753e7,68.7245,69.32,68.99,69.4,67.615,2020-02-10,119685
1.2858696e7,68.0354,68.93,67.76,68.99,67.5,2020-02-11,92060
1.3927128e7,66.8518,67.5,66.95,67.82,66.32,2020-02-12,90137
8.030977e6,66.881,67.13,66.8,67.77,66.52,2020-02-13,62754
9.109093e6,67.4343,67.41,67.56,67.66,67.04,2020-02-14,60611
9.922962e6,67.0751,67.56,67.01,67.8,66.71,2020-02-18,59661
7.754027e6,67.1797,67.2,67.35,67.54,66.815,2020-02-19,55272
8.697155e6,66.7398,67.26,67.0,67.36,66.1,2020-02-20,69275
2.2562012e7,68.9936,67.18,69.7,69.78,66.81,2020-02-21,141563
4.2905034e7,72.8337,73.885,72.9,74.52,71.59,2020-02-24,267175
3.9199212e7,70.4102,73.73,70.1,73.85,69.02,2020-02-25,260961
3.5415184e7,73.3342,71.32,74.7,75.47,70.72,2020-02-26,216410
5.1482511e7,75.0285,78.31,72.66,78.88,72.26,2020-02-27,374365
3.3804796e7,68.6698,70.17,69.36,71.08,66.63,2020-02-28,254619
3.1112986e7,73.1957,70.32,75.4,75.405,70.08,2020-03-02,219722
2.4481979e7,73.4759,74.27,74.21,74.82,71.51,2020-03-03,180635
2.3741669e7,75.1824,74.9,76.01,76.01,72.59,2020-03-04,170463
2.2727406e7,76.2675,75.0,76.13,77.5,74.53,2020-03-05,161151
3.1704662e7,78.5932,75.3189,80.22,80.3959,75.1,2020-03-06,242895
3.283943e7,74.7853,77.92,73.52,78.1899,73.09,2020-03-09,259280
2.7659952e7,71.0967,75.51,72.34,75.56,68.78,2020-03-10,226416
3.2056873e7,73.9562,73.9,73.7,75.38,72.78,2020-03-11,253004
2.6364595e7,69.6411,70.44,68.58,72.865,67.88,2020-03-12,208821
3.0116086e7,70.095,71.93,70.75,72.0,67.5,2020-03-13,260108
2.6764609e7,69.4299,67.24,68.9,72.8,64.41,2020-03-16,196623
2.8823718e7,73.5912,70.0,74.52,76.0797,69.0,2020-03-17,237859
3.4965866e7,77.1187,73.61,79.42,80.0,72.97,2020-03-18,268908
4.6268223e7,81.9482,80.98,78.55,85.97,78.29,2020-03-19,354120
3.5110162e7,75.7842,79.5,73.26,81.6,72.17,2020-03-20,265223
1.9875221e7,72.4848,75.3,72.61,75.3,68.86,2020-03-23,179681
2.0608137e7,73.5642,75.13,73.96,75.83,72.11,2020-03-24,169217
2.4138069e7,71.1664,73.87,69.66,74.49,69.34,2020-03-25,187568
1.8366575e7,72.031,69.9,73.86,73.91,69.75,2020-03-26,144895
1.6521581e7,73.8171,73.71,72.85,75.39,71.91,2020-03-27,155679
1.5929392e7,75.4774,75.35,75.93,76.42,73.89,2020-03-30,126732
1.2120987e7,74.9192,75.95,74.76,76.33,73.79,2020-03-31,108268
1.2177608e7,72.8313,74.32,72.51,74.39,72.0,2020-04-01,112635
2.0482067e7,75.6836,71.81,76.98,77.48,71.38,2020-04-02,141395
1.9421772e7,78.1158,77.41,78.21,79.47,76.36,2020-04-03,141986
1.9101056e7,77.5025,79.24,77.73,79.65,75.88,2020-04-06,140944
1.9917872e7,74.5646,77.3,74.67,77.68,72.5,2020-04-07,176820
1.2215371e7,74.4297,74.73,74.99,75.13,73.57,2020-04-08,114441
1.2821062e7,73.4859,74.37,73.51,74.6025,72.95,2020-04-09,118031
1.6255637e7,74.7595,75.8,75.28,76.0,73.715,2020-04-13,135822
1.4379326e7,76.7721,75.98,77.75,77.85,75.34,2020-04-14,117621
1.1397411e7,75.0597,76.16,74.63,76.59,74.47,2020-04-15,102797
2.0935364e7,80.7571,74.84,76.54,76.96,74.45,2020-04-16,170156
9.4348495e7,83.4046,85.17,83.99,85.79,81.01,2020-04-17,656204
3.100357e7,82.8618,82.99,81.26,85.18,80.65,2020-04-20,241614
1.998936e7,79.7167,80.25,78.53,82.24,78.26,2020-04-21,168874
1.3987945e7,80.4446,79.58,81.31,81.56,78.81,2020-04-22,109707
6.541234e7,78.4159,82.17,77.78,84.0,74.4,2020-04-23,443298
2.4440501e7,78.3317,77.1,79.64,80.15,76.25,2020-04-24,167118
1.4640727e7,79.3529,79.9,79.9,80.4,78.241,2020-04-27,106773
9.778161e6,78.9516,79.89,78.67,80.07,78.08,2020-04-28,80808
7.823023e7,83.2071,83.97,83.14,85.01,80.05,2020-04-29,538415
3.9332601e7,83.5239,85.47,84.0,85.67,81.33,2020-04-30,295527
3.4496926e7,79.6244,81.2,79.95,81.4,77.62,2020-05-01,290284
1.920299e7,80.0849,81.6165,80.25,81.76,79.19,2020-05-04,162711
1.4925932e7,79.2292,79.33,79.14,79.835,78.51,2020-05-05,128871
1.2591869e7,77.8585,78.9,77.47,79.36,77.26,2020-05-06,106005
1.3491715e7,77.6899,77.9,77.61,78.43,76.81,2020-05-07,108959
1.0554683e7,77.4773,77.76,77.49,78.44,76.87,2020-05-08,94162
1.3322086e7,79.8724,77.77,80.8,80.92,77.6152,2020-05-11,104829
1.2140798e7,79.2049,80.21,77.95,80.48,77.91,2020-05-12,97327
1.1166292e7,77.9635,79.3,77.06,79.35,76.9,2020-05-13,99628
1.0711935e7,76.8181,76.55,77.23,77.81,75.83,2020-05-14,93216
1.2350773e7,76.2274,76.47,76.26,76.85,75.45,2020-05-15,89216
1.6609135e7,74.9557,76.46,74.76,76.5,73.86,2020-05-18,143962
1.4151975e7,73.3591,73.6735,72.34,74.85,72.3,2020-05-19,126055
1.322945e7,73.4575,72.81,73.89,74.09,72.71,2020-05-20,102431
7.193461e6,73.4601,73.4693,73.5,73.93,72.89,2020-05-21,68583
5.868461e6,73.0801,73.09,73.34,73.49,72.7116,2020-05-22,54740
1.2308074e7,73.4583,73.98,73.18,74.3,72.41,2020-05-26,105932
1.1752331e7,73.9908,72.38,74.9,74.98,72.38,2020-05-27,100507
1.0517036e7,75.5731,74.99,75.32,76.17,74.91,2020-05-28,91718
2.4381897e7,77.1038,75.77,77.83,78.12,74.61,2020-05-29,99919
1.4677006e7,75.2522,75.47,75.16,76.9,74.38,2020-06-01,121998
1.6897922e7,73.5942,74.37,73.26,74.64,72.96,2020-06-02,120283
