volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
4.811501e6,125.3126,125.1,125.22,125.745,124.87,2019-12-26,32337
5.245355e6,125.9878,125.56,126.09,126.295,125.39,2019-12-27,34028
3.939036e6,124.66,125.76,124.47,125.98,124.14,2019-12-30,35535
4.841924e6,124.6078,124.43,124.9,124.99,123.95,2019-12-31,35566
7.855282e6,123.5999,124.5,123.41,124.73,122.94,2020-01-02,57868
8.224193e6,122.7825,122.16,122.58,123.53,121.86,2020-01-03,53785
6.861287e6,122.7592,122.57,122.75,123.19,122.3787,2020-01-06,48942
7.710169e6,122.3761,122.88,121.99,123.2059,121.87,2020-01-07,53526
5.487291e6,122.6006,122.19,122.51,123.4299,122.0003,2020-01-08,43780
6.061863e6,123.5987,122.51,123.85,123.88,122.51,2020-01-09,37566
4.056712e6,123.9627,123.9,123.97,124.32,123.295,2020-01-10,36971
8.538403e6,124.6154,124.0,124.88,124.9,123.81,2020-01-13,37496
7.988219e6,124.7787,124.65,124.69,125.2,124.48,2020-01-14,39784
4.974065e6,125.7354,125.06,125.96,126.12,125.01,2020-01-15,37612
6.354837e6,126.1109,126.11,126.07,126.78,125.59,2020-01-16,38913
1.2552858e7,126.4858,126.35,126.41,127.0,125.88,2020-01-17,52482
8.852818e6,125.7785,126.41,126.09,126.62,124.84,2020-01-21,56462
7.525825e6,126.3386,126.33,126.31,126.6795,125.83,2020-01-22,52503
1.1270187e7,124.98,124.3,124.99,126.55,123.65,2020-01-23,79395
9.64787e6,125.5294,125.22,125.14,126.79,124.77,2020-01-24,63266
9.491073e6,125.8197,124.75,125.69,126.39,124.75,2020-01-27,58621
6.333488e6,126.2049,125.93,126.03,126.98,125.72,2020-01-28,43468
5.395458e6,125.4806,125.91,125.06,126.07,125.025,2020-01-29,38010
6.057991e6,125.3845,124.79,125.95,126.06,124.42,2020-01-30,49831
6.778909e6,125.2922,125.99,124.62,126.95,124.46,2020-01-31,54084
6.249336e6,125.0624,124.66,125.11,125.95,124.49,2020-02-03,47874
6.632528e6,126.2955,125.71,125.66,127.35,125.36,2020-02-04,49325
6.26863e6,126.6197,125.91,126.81,127.06,125.4,2020-02-05,45421
9.21098e6,127.4793,126.9,127.14,128.09,126.6,2020-02-06,51435
6.054404e6,126.432,127.19,126.08,127.27,126.05,2020-02-07,43098
5.346679e6,126.1504,126.46,126.17,126.83,125.76,2020-02-10,40137
6.187823e6,124.5859,126.27,124.16,126.27,124.03,2020-02-11,56916
6.269295e6,123.3328,123.68,123.45,123.97,122.85,2020-02-12,52385
