volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
355510.14276564185,125.0601,127.67,124.96,128.11016221,122.96,2019-12-25,35678
442242.6965751056,127.0386,125.39,125.49,132.9,124.06,2019-12-26,42576
436706.79214738193,125.2867,125.63,126.23,127.46,121.82,2019-12-27,37831
344990.40307636926,127.7142,126.23,128.095,130.28,125.74,2019-12-28,33051
438302.0660488318,132.0745,128.49,134.3,138.63,127.22,2019-12-29,43548
287510.7551603572,132.6455,134.31,131.603,136.58,129.79,2019-12-30,32521
468289.36846168776,130.5333,131.09,129.204,133.95,127.6,2019-12-31,44437
340837.09261655045,131.0205,129.215,130.703,133.24,128.12,2020-01-01,40037
355427.86716697284,128.4833,130.11,126.81,130.92,125.67,2020-01-02,36795
614682.7496893804,131.1151,127.5609376,134.17,135.81,125.4,2020-01-03,59716
445223.85577491,133.6919,134.17,134.196,136.35,132.3,2020-01-04,34155
361330.8599129717,136.2165,134.14,135.4,138.97,133.83,2020-01-05,46531
649600.8022826794,140.7194,135.55,144.156,144.57,134.78,2020-01-06,58259
565188.7942258995,142.7625,144.132,143.08,145.32,138.79,2020-01-07,51811
632404.7389708542,142.3823,142.95,140.69999,148.0,136.42,2020-01-08,60111
489353.31807141966,137.864,140.69999,137.769,141.57,135.12,2020-01-09,37214
639351.4606762078,140.2173,137.68,144.847,145.81,135.13999,2020-01-10,49722
515643.5767806984,143.8845,144.59,142.48049337,148.0,141.28,2020-01-11,42704
360865.58941880823,144.3393,142.51,146.34,146.627,141.53,2020-01-12,31265
335413.411637212,143.7299,146.35,143.47,147.59,142.0,2020-01-13,28986
1.258214106941211e6,156.9549,143.49,165.76,170.86,143.44999,2020-01-14,127305
693239.1972676209,165.4542,165.74,166.423,172.18,159.0,2020-01-15,87101
408697.5711360736,162.422,166.15,164.25,167.43,158.17,2020-01-16,53346
691808.5976383064,169.3277,164.219,169.22,174.52,161.08683014,2020-01-17,80815
613158.144408446,173.5193,169.19,173.58,179.551,164.78,2020-01-18,68177
747842.8542225754,168.7972,173.91,166.75,178.06,161.21,2020-01-19,66193
347124.75605198863,165.3869,166.73415619,166.61,169.3,160.9,2020-01-20,39303
492138.58017383306,167.698,166.901,169.438,170.275,164.28,2020-01-21,40466
348219.8342621594,168.3168,169.449,167.68,171.5,165.61,2020-01-22,36032
467152.4161956051,163.0876,168.078,162.816,168.259,158.44,2020-01-23,47504
648396.399772422,160.1772,162.856,162.3,164.42,154.48,2020-01-24,54432
229909.25596867275,160.2481,162.69,160.12,162.73482725,157.4,2020-01-25,26808
400400.6587309315,163.5623,160.47,168.16,169.39430101,159.06,2020-01-26,37486
543332.3132684252,169.0505,168.16,170.13,172.06,164.77,2020-01-27,51872
644127.602856158,172.4157,170.14,175.99,177.01,169.73,2020-01-28,62614
490574.69267548824,176.2745,175.633,173.47,179.0,172.95,2020-01-29,48282
684608.8879852054,178.1952,173.41,184.679,186.969,170.0,2020-01-30,69035
474972.1975817418,180.897,184.49,179.74,185.708,174.77,2020-01-31,59787
427263.7867868152,182.0207,179.72,184.07,184.47,178.92,2020-02-01,45262
583568.0730725463,188.321,184.07,188.73,194.0,178.9,2020-02-02,72203
543931.6315054494,190.0116,188.85,189.42,195.81,186.25,2020-02-03,57893
505037.29472163273,187.6424,190.19,188.24,191.76,181.93,2020-02-04,57438
733267.2310821627,197.6889,189.06,204.0,207.99,186.89,2020-02-05,86703
969916.0506959311,210.4428,203.78,212.94,216.49,200.47,2020-02-06,107587
863798.1090832425,219.668,212.5957428,223.22,224.78,212.5957428,2020-02-07,100189
1.0156059395277745e6,222.9534,223.03,223.37,228.4,212.77410942,2020-02-08,79517
680070.0953085019,227.4993,222.64,228.654,230.98,222.55,2020-02-09,67202
692919.0739931437,222.367,228.8,223.0,229.84,213.37,2020-02-10,71190
819198.3573779264,228.1956,222.882,237.94,239.92,217.7,2020-02-11,89146
1.5505549595405434e6,257.5523,237.02,265.49,276.15,236.697,2020-02-12,190019
1.6282502640491454e6,267.6925,265.54,268.368,278.31,253.75,2020-02-13,159624
882775.3693534326,272.3853,268.368,285.95999,287.98,259.63,2020-02-14,112037
1.0576997156062673e6,275.006,285.95,264.96,290.0,261.0,2020-02-15,139207
1.2410004590615868e6,258.8423,264.93,259.01,274.02999,236.32,2020-02-16,140705
1.5364644547390973e6,253.4603,258.73,268.16,269.12,242.171,2020-02-17,135387
1.41937527358244e6,272.4346,267.998,282.626,286.87,258.72,2020-02-18,121462
1.3712675400467007e6,274.8049,283.0,258.56,287.13,250.0,2020-02-19,121180
1.1352288681772787e6,256.8538,258.51,257.36,264.26,244.24,2020-02-20,108293
991480.2597373301,262.3762,256.971,265.249,269.0,253.802,2020-02-21,73885
426235.9258346078,261.2614,265.5,262.08,267.43,255.16,2020-02-22,43763
565471.368263079,270.0715,261.75,275.59,276.62,260.886,2020-02-23,63859
998241.8557021511,267.3982,275.78,265.46,278.26,254.9,2020-02-24,103863
945350.6935481796,255.3106,265.78,247.36,266.36796659,243.91,2020-02-25,96938
1.7445387729810935e6,231.7962,246.26,224.11,250.84,215.13,2020-02-26,182538
2.0709306226425257e6,226.5675,224.1,227.687,239.0,208.0,2020-02-27,151962
1.4783194228995666e6,225.0334,227.53193668,226.79,234.92,213.36,2020-02-28,119562
921927.111483327,225.5633,227.13,218.15198312,233.5,216.83,2020-02-29,66651
930425.3571550692,219.7978,217.51,218.57,228.71,211.5,2020-03-01,88884
1.0798205604648264e6,225.9128,217.34,232.0,235.52,215.69,2020-03-02,92494
1.073655893682473e6,226.6602,232.12,223.947,233.64,219.87,2020-03-03,87223
787812.269353177,224.2902,223.72,224.56,229.42,220.202,2020-03-04,69298
826290.2757411737,229.6577,225.09940213,228.337,235.18,224.236,2020-03-05,82339
1.021472190140473e6,236.6605,228.6,245.56,246.27,227.334,2020-03-06,83675
952216.321973395,243.1698,245.53,237.274,253.01,235.64,2020-03-07,78377
1.574068330054315e6,218.7275,238.19036775,200.2,238.19036775,195.645,2020-03-08,139384
2.1655889001030535e6,200.276,199.47,202.77,209.53,189.07,2020-03-09,180245
1.538529491336724e6,201.7462,203.58,201.13,207.0,194.77,2020-03-10,96878
1.2769548767245004e6,192.6914,201.32,194.608,203.68975098,181.0,2020-03-11,114394
5.647162903337328e6,143.767,194.61,108.78,196.53,101.0,2020-03-12,500366
6.148473245614801e6,122.6381,110.3,135.51,148.33,87.131,2020-03-13,510349
3.1062920143746627e6,129.3979,134.97,122.17,135.9,120.34,2020-03-14,128154
1.6043117510668694e6,124.7455,122.498,124.25,134.69,119.84,2020-03-15,132270
3.4829784900179426e6,111.1227,123.829,111.38,124.5,100.5,2020-03-16,236600
2.2445736222596834e6,116.4592,111.36,115.702,122.0,109.346,2020-03-17,112629
1.1689627483329745e6,114.8619,116.11,118.6,119.07,110.0,2020-03-18,94872
2.1008766011801823e6,129.9571,118.59,136.68,144.87,115.502,2020-03-19,153453
2.9238040246783174e6,137.6809,136.31,133.51,154.0,115.0,2020-03-20,216863
1.7125478951063016e6,131.9423,133.438,132.81,138.33,125.722,2020-03-21,104392
1.260064624069662e6,128.3625,132.638,122.3,137.38,108.1,2020-03-22,103406
1.5783309570035818e6,129.1371,122.29,137.0,138.25,119.04,2020-03-23,127229
1.2737947454847486e6,137.7489,137.0,139.0,144.3,132.541,2020-03-24,125388
918520.2243764534,136.7244,138.95,136.028,143.43,131.71014281,2020-03-25,88403
348818.4042126681,136.0368,136.15,138.76,140.36,133.01,2020-03-26,65829
388624.7451419166,136.6641,138.76,131.56,142.5,128.94,2020-03-27,68121
409904.9362472858,128.6552,131.59,131.23,133.8,124.942,2020-03-28,82126
281583.2219572304,127.4651,130.913,124.76,132.19,123.27,2020-03-29,47708
357759.91104628536,131.5173,124.43,132.32,135.68,124.01,2020-03-30,62153
192041.22612678222,132.9706,132.32,132.7,135.79,130.35,2020-03-31,41839
267933.97658022586,132.5371,132.701,136.45,137.64,128.6,2020-04-01,48770
550608.2185125138,141.4078,136.14,141.8,150.69999,135.083,2020-04-02,85534
305669.3531243195,142.6527,141.177,141.327,147.24,137.1,2020-04-03,56057
192772.03422478173,142.8321,141.48,144.48,146.72,138.988,2020-04-04,43867
146432.12450261202,143.3617,144.62483934,142.79,146.24,140.611,2020-04-05,38658
999065.0765296386,159.6142,142.95,171.251,172.4,142.774,2020-04-06,142971
1.9455773485841276e6,169.9625,171.56,164.645,176.82,161.47,2020-04-07,152544
1.3872737246829406e6,169.4578,164.74,173.78,174.77,163.49,2020-04-08,93983
1.0610075564084451e6,170.443,173.78,170.0,174.04,165.13,2020-04-09,77452
1.7831245928492597e6,159.8529,169.71,158.16999,170.39,152.171,2020-04-10,137327
1.0317106107362417e6,158.4004,158.16999,158.58,161.62,153.97,2020-04-11,60874
711697.5010861438,160.6594,158.68,159.03935858,166.06648933,154.974,2020-04-12,67609
1.2590234815709747e6,154.067,158.92,156.76,159.65,148.82,2020-04-13,91254
1.081463471544231e6,158.2315,156.76,158.65,163.0,155.32,2020-04-14,71590
858862.9579805267,157.0766,158.55,152.77,161.5,151.786,2020-04-15,69952
1.740190218571126e6,165.6932,153.00509048,172.5,175.41,147.0,2020-04-16,136831
817550.3109373022,170.7494,172.58,170.89,175.24,168.12,2020-04-17,66137
882491.6218603596,181.4052,171.24,187.87,191.22,170.468,2020-04-18,91516
1.0523630853466915e6,182.588,187.78,180.22,189.92,176.0,2020-04-19,79114
1.2002011539498526e6,176.315,180.28,170.5,186.76,166.13,2020-04-20,119001
590835.9222381858,171.6435,170.177,171.07,174.96,168.177,2020-04-21,77144
670434.4749978761,178.6485,170.712,183.11,184.69,169.918,2020-04-22,86157
1.1430414139318871e6,186.6388,183.1,185.66,194.86,178.155,2020-04-23,127711
660203.9248640537,187.668,185.83613412,187.72,190.24,184.2,2020-04-24,73191
853846.1129059294,193.4988,187.71,194.42,198.3,185.797,2020-04-25,94544
670326.1360251163,195.7075,194.51,197.5,200.0,192.375,2020-04-26,82254
859661.0990917461,194.7875,197.4923796,196.78,199.56,187.3,2020-04-27,84762
549007.881957884,195.5124,196.63,196.55,198.1,192.06,2020-04-28,72257
1.5696184724030993e6,209.0491,196.64,215.66,219.59,196.359,2020-04-29,200331
2.125809720369079e6,214.2583,215.31,206.23,227.73,201.66,2020-04-30,219700
1.0718275446004223e6,211.7283,206.22,212.031,217.73,205.911,2020-05-01,130635
546901.4857143164,212.8851,211.973,213.835,215.71,210.32,2020-05-02,94766
848276.6783654408,212.4938,214.25,210.24,219.51,203.8,2020-05-03,123784
1.1348787389139389e6,203.0052,209.87,206.86,210.96,194.85,2020-05-04,147590
661921.9238884322,206.2231,206.59,205.43,212.19,200.66,2020-05-05,110995
806145.567468243,206.8603,205.32,199.13,212.0,197.0,2020-05-06,95044
872030.398085723,208.4235,199.09,212.004,215.99,196.669,2020-05-07,128327
712535.9075793072,212.0702,212.24,211.62,217.12,206.77,2020-05-08,103161
424535.082642775,211.9945,211.325,210.069,214.79,208.27,2020-05-09,70248
2.033855681054436e6,188.9761,210.06,187.616,210.114,179.44,2020-05-10,207323
1.2670292921121595e6,186.5464,187.65,185.6,194.85,175.51,2020-05-11,130595
679932.3058216915,189.7109,185.93,189.755,192.89,185.483,2020-05-12,74390
615242.5631897516,195.424,189.93,199.92,201.59,188.34,2020-05-13,80938
952789.1782442111,201.3458,199.89,203.335,206.32,195.53,2020-05-14,98444
804348.7051825264,198.7258,203.4,194.7,204.3,191.3,2020-05-15,86308
588630.7119774065,199.7268,194.66,200.53,203.61,193.08,2020-05-16,73467
674742.7933321334,205.1267,200.48,207.05,210.0,199.1,2020-05-17,70146
835962.614464501,212.9776,206.97,214.56,217.1,206.9,2020-05-18,95249
724762.2437135696,212.4941,214.59,214.69,215.99,209.11,2020-05-19,65238
698594.1988451647,211.2748,214.56,209.96,215.64,205.1,2020-05-20,66995
981591.2767375315,201.9578,209.68,198.798,211.743,191.27,2020-05-21,98272
686192.3271546335,203.6028,198.55,207.32,209.34,196.12,2020-05-22,83259
336502.169956579,207.7205,207.3,206.66,211.5,204.56,2020-05-23,45268
648310.7975017135,206.2526,206.531,199.63,210.89,199.3,2020-05-24,61642
514769.9276479048,203.0183,199.63,204.126,205.78,197.35,2020-05-25,47500
514652.61293190264,201.6645,204.06787304,200.909,205.03,196.51,2020-05-26,59575
464404.4729085688,205.2869,201.12,208.41,208.6,200.76,2020-05-27,54502
689784.9063431914,211.5375,208.33,220.65,221.01221763,204.5,2020-05-28,74585
522463.22544841503,220.758,220.56,220.62,224.91,217.39,2020-05-29,73117
1.0326292443309744e6,234.5552,220.54536752,243.678,247.43,218.33,2020-05-30,133840
952553.7153456332,237.3539,243.682,231.54,245.48,229.46,2020-05-31,88438
799095.8558798432,241.3571,231.43,248.82,251.74,230.48,2020-06-01,119201
951761.9750870656,241.0117,248.42,237.55,253.69,218.48,2020-06-02,129957
773303.8118565768,239.2219,237.7,244.54,245.39,233.28,2020-06-03,67276
766437.9632953021,242.8086,244.559,243.18,246.73,235.54,2020-06-04,84577
526273.9408720719,242.8086,243.21,240.04,248.12,238.65,2020-06-05,63883
246081.3099730098,241.2027,240.04,241.925,244.66,237.6,2020-06-06,44219
417129.37854330154,239.9549,241.98,244.81,245.93,233.82,2020-06-07,67695
669821.0578060686,243.3952,244.79,246.55,247.97,240.82,2020-06-08,53022
393625.7543830654,243.6543,246.52,243.897,250.22,215.0,2020-06-09,60225
543897.090713474,245.3737,243.88,248.02,250.77,241.0,2020-06-10,71126
