volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.832376e6,50.7084,51.05,50.62,51.19,50.5723,2019-12-26,19168
2.392551e6,50.927,50.76,51.07,51.08,50.58,2019-12-27,18283
2.733422e6,51.0285,51.22,51.0,51.23,50.78,2019-12-30,18679
2.933584e6,51.1736,51.0,51.33,51.37,50.875,2019-12-31,15155
2.842959e6,51.5734,51.64,51.76,51.87,51.24,2020-01-02,21857
2.392517e6,51.2929,51.23,51.36,51.47,50.94,2020-01-03,20728
2.735372e6,51.3994,51.13,51.4,51.64,51.04,2020-01-06,18884
4.613208e6,51.1055,51.35,51.11,51.43,50.72,2020-01-07,23231
4.871666e6,51.7621,51.11,51.71,52.25,51.11,2020-01-08,30551
3.252952e6,52.148,52.07,52.28,52.29,51.6575,2020-01-09,22723
5.525666e6,52.2363,52.3,52.03,52.64,51.88,2020-01-10,32332
6.086556e6,52.4467,52.09,52.62,52.62,51.82,2020-01-13,29773
5.306335e6,52.5854,52.57,52.34,53.1,52.18,2020-01-14,27139
4.126159e6,51.7907,52.01,51.78,52.33,51.4,2020-01-15,24633
3.847701e6,52.3877,52.12,52.36,52.58,52.12,2020-01-16,23986
6.209913e6,52.8173,52.53,52.9,53.08,52.53,2020-01-17,28389
4.268143e6,51.9589,52.55,51.67,52.7,51.58,2020-01-21,30228
4.435774e6,52.0793,51.86,52.26,52.44,51.64,2020-01-22,26601
3.380497e6,51.5918,51.72,51.61,51.95,51.25,2020-01-23,24353
3.254344e6,50.9944,51.67,51.06,51.67,50.5,2020-01-24,24554
3.677601e6,50.1579,50.1,50.13,50.34,49.89,2020-01-27,28258
4.157107e6,50.4884,50.4,50.41,50.93,50.29,2020-01-28,19948
2.995403e6,50.5456,50.59,50.35,50.85,50.33,2020-01-29,23247
3.016593e6,50.7503,50.0,51.3,51.35,49.91,2020-01-30,27564
5.787148e6,50.3337,50.75,50.26,51.15,49.94,2020-01-31,33224
2.947698e6,51.1388,50.52,51.16,51.38,50.43,2020-02-03,24734
3.470082e6,51.0497,51.79,50.65,52.08,50.58,2020-02-04,23500
4.447179e6,52.313,51.38,52.48,52.65,51.27,2020-02-05,30644
5.34955e6,53.3245,52.87,53.41,53.6,52.64,2020-02-06,41177
3.80438e6,53.5037,52.98,53.46,53.76,52.93,2020-02-07,29185
2.784003e6,53.9032,53.46,54.14,54.15,53.36,2020-02-10,23996
4.696771e6,54.5477,54.34,54.47,54.8399,54.18,2020-02-11,30510
