volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
1.1122017e7,47.7993,47.78,47.85,48.0,47.65,2019-12-26,51589
1.1058982e7,47.8209,47.99,47.77,48.05,47.68,2019-12-27,50385
1.2129049e7,47.5392,47.75,47.59,47.88,47.29,2019-12-30,67984
1.4894735e7,47.8273,47.54,47.96,47.98,47.41,2019-12-31,62556
1.6710076e7,48.189,48.06,48.42,48.42,47.88,2020-01-02,92412
1.5587707e7,47.726,47.91,47.63,48.135,47.48,2020-01-03,81508
2.2185267e7,47.5776,47.14,47.8,47.82,47.01,2020-01-06,81604
1.656664e7,47.4088,47.72,47.49,47.72,47.1,2020-01-07,84929
2.5181655e7,47.4044,46.97,47.52,47.785,46.81,2020-01-08,109388
1.82112e7,47.3109,47.79,47.32,47.88,47.07,2020-01-09,97477
1.34854e7,47.2924,47.48,47.13,47.56,47.06,2020-01-10,73178
1.8243201e7,47.7395,47.31,47.97,47.98,47.299,2020-01-13,89562
1.7951758e7,47.812,47.96,47.79,47.99,47.62,2020-01-14,86671
1.6289443e7,48.0657,47.92,48.01,48.395,47.7649,2020-01-15,84676
2.0094931e7,48.8022,48.38,49.05,49.08,48.23,2020-01-16,94538
2.7176174e7,49.0859,49.31,49.02,49.54,48.87,2020-01-17,98982
2.1771752e7,48.8791,48.96,48.8,49.2,48.67,2020-01-21,81776
1.5185991e7,49.2374,49.28,49.06,49.53,49.04,2020-01-22,80898
1.6767687e7,48.968,49.0,49.0,49.175,48.413,2020-01-23,76014
1.4066913e7,48.9548,49.22,48.85,49.48,48.5433,2020-01-24,80829
2.0665994e7,47.5492,47.89,47.47,48.07,47.27,2020-01-27,107079
1.4035052e7,47.7851,47.52,47.77,47.965,47.5033,2020-01-28,72330
1.4289781e7,47.2839,47.97,47.05,47.98,46.93,2020-01-29,85893
1.4822581e7,46.7355,46.54,47.24,47.27,46.26,2020-01-30,98810
2.0069931e7,46.1396,46.99,45.97,47.0,45.84,2020-01-31,113881
1.5383527e7,46.5472,46.4,46.53,46.825,46.21,2020-02-03,85678
1.3947268e7,47.5007,47.22,47.62,47.7074,47.11,2020-02-04,79619
1.7042331e7,48.4022,48.33,48.45,48.6,48.15,2020-02-05,93241
9.814844e6,48.5995,48.69,48.69,48.82,48.22,2020-02-06,65081
1.6807738e7,48.0709,48.6,47.97,48.77,47.87,2020-02-07,90659
1.9012716e7,48.5253,47.99,48.87,48.89,47.88,2020-02-10,81449
2.3168267e7,49.2846,49.39,49.13,49.714,48.8646,2020-02-11,123715
3.1686166e7,49.7265,49.43,49.93,50.28,49.4,2020-02-12,164074
4.7044716e7,47.1442,47.15,47.32,47.67,46.58,2020-02-13,238953
2.6747248e7,46.8075,47.16,46.97,47.22,46.48,2020-02-14,128726
1.8550358e7,46.5422,46.82,46.59,46.85,46.29,2020-02-18,96011
2.762638e7,46.1875,46.69,46.29,46.81,45.9,2020-02-19,130083
2.0416659e7,46.4813,46.09,46.85,46.96,45.9,2020-02-20,98884
2.0031423e7,46.3447,46.73,46.295,46.85,46.05,2020-02-21,92742
3.5295921e7,44.4959,45.0,44.0,45.68,44.0,2020-02-24,178582
4.8024747e7,42.8522,44.05,42.74,44.21,42.07,2020-02-25,250773
3.8528925e7,42.5537,42.97,42.16,43.3775,41.94,2020-02-26,215760
5.1427101e7,41.062,41.28,40.04,42.095,40.01,2020-02-27,285244
8.0192071e7,39.3786,38.7,39.93,40.55,38.35,2020-02-28,498616
4.8864271e7,40.3003,40.15,41.17,41.19,38.92,2020-03-02,273515
4.9294737e7,40.4909,41.26,40.04,41.9,39.71,2020-03-03,287860
3.0022089e7,40.829,40.72,41.39,41.45,39.8,2020-03-04,158845
3.0255898e7,39.7636,40.17,39.57,40.51,39.29,2020-03-05,152974
4.8605591e7,39.1663,38.0,39.68,39.95,37.8,2020-03-06,234070
6.1535333e7,38.2522,36.9,37.96,39.56,36.29,2020-03-09,365546
5.0536518e7,39.2282,39.2478,40.08,40.145,37.87,2020-03-10,291505
6.3608527e7,37.5014,39.02,37.05,39.16,36.37,2020-03-11,301210
5.1855305e7,33.9818,34.5,33.2,35.82,33.0,2020-03-12,263672
5.38308e7,35.303,35.18,37.64,37.68,33.33,2020-03-13,269438
4.3894489e7,34.9528,33.23,33.71,36.99,32.4001,2020-03-16,268190
4.1572404e7,34.8063,34.7,35.5,36.25,33.6,2020-03-17,247885
5.6904267e7,36.4715,33.76,37.12,37.71,33.31,2020-03-18,315125
5.8319654e7,38.0023,37.05,37.71,39.32,36.15,2020-03-19,369333
4.8582546e7,36.4073,38.27,35.6,38.47,35.4,2020-03-20,268198
3.9823397e7,34.6359,35.51,34.6,35.82,33.74,2020-03-23,248943
4.8235609e7,37.3121,36.405,38.6,38.68,35.54,2020-03-24,261149
4.2873923e7,38.3214,38.65,37.67,39.95,37.5,2020-03-25,267607
3.8487226e7,39.5278,37.97,40.58,40.92,37.3664,2020-03-26,229201
3.1278581e7,39.0827,39.21,38.82,40.15,38.41,2020-03-27,193151
2.7120333e7,40.0225,39.45,40.32,40.485,38.96,2020-03-30,167093
2.6019845e7,39.6906,40.13,39.31,40.415,39.11,2020-03-31,155665
2.6790667e7,38.4203,38.17,38.33,38.86,37.8742,2020-04-01,160665
2.8180489e7,39.0791,37.84,39.8,39.945,37.47,2020-04-02,169665
2.1235157e7,39.113,39.82,39.06,40.29,38.54,2020-04-03,131729
3.1641428e7,40.8825,40.46,41.43,41.68,39.78,2020-04-06,163878
3.0366068e7,41.4155,42.66,40.64,42.74,40.59,2020-04-07,176676
2.2683517e7,41.5417,41.17,41.74,42.2,40.865,2020-04-08,129728
2.7650195e7,41.2967,42.09,41.2,42.2,40.85,2020-04-09,166628
1.9591971e7,41.0047,41.04,41.22,41.46,40.53,2020-04-13,107447
2.2882368e7,42.4623,41.91,42.78,42.82,41.53,2020-04-14,129183
1.8428791e7,41.6062,42.2028,41.52,42.37,41.235,2020-04-15,117868
2.617797e7,41.2766,41.76,41.5,41.79,40.68,2020-04-16,146927
3.0701461e7,42.2228,42.25,42.48,42.64,41.74,2020-04-17,149030
2.3438799e7,42.7283,41.92,42.54,43.29,41.79,2020-04-20,130894
3.1661042e7,40.8461,41.83,40.55,41.99,40.41,2020-04-21,171341
1.8337406e7,41.606,41.27,41.76,42.09,41.11,2020-04-22,96383
1.6099282e7,41.9275,41.89,41.62,42.55,41.53,2020-04-23,99527
1.4641718e7,42.1773,41.84,42.52,42.66,41.65,2020-04-24,87906
1.7937887e7,42.9602,42.7,43.06,43.22,42.58,2020-04-27,90306
1.6427731e7,42.8787,43.5,42.49,43.625,42.41,2020-04-28,100423
1.7430133e7,43.2911,43.346,43.34,43.48,42.93,2020-04-29,97116
2.6679921e7,42.4704,43.1654,42.38,43.1677,42.17,2020-04-30,126963
2.2095255e7,41.1476,41.72,40.92,41.81,40.765,2020-05-01,119209
1.5997715e7,41.0029,40.9549,41.35,41.41,40.49,2020-05-04,95588
1.5060218e7,41.597,41.61,41.46,41.925,41.39,2020-05-05,81450
1.6040349e7,41.3398,41.56,41.15,41.69,40.97,2020-05-06,96517
2.0173635e7,41.4519,41.59,41.37,41.765,41.215,2020-05-07,109826
2.1962827e7,42.4864,42.02,42.99,43.02,41.7,2020-05-08,118657
2.6176685e7,43.2453,42.78,43.32,43.65,42.605,2020-05-11,134030
2.5817074e7,43.7058,43.94,43.22,44.3,43.19,2020-05-12,162274
3.6986702e7,42.3284,43.41,41.95,43.57,41.31,2020-05-13,206105
5.0417743e7,43.9096,43.43,43.85,44.58,43.26,2020-05-14,271145
3.0573032e7,43.9318,42.93,44.27,44.38,42.85,2020-05-15,165731
2.698008e7,45.0033,45.21,45.06,45.295,44.3301,2020-05-18,133704
2.4345423e7,44.6826,44.83,44.605,44.98,44.41,2020-05-19,141612
2.0176626e7,45.5143,45.05,45.44,45.82,45.03,2020-05-20,120274
