volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
1.713805e6,230.9987,230.26,231.21,232.1999,229.99,2019-12-26,14652
1.357423e6,231.1125,231.81,230.66,232.21,230.47,2019-12-27,15170
1.526015e6,230.4326,231.68,229.8,231.68,229.5,2019-12-30,16980
1.465612e6,229.5426,229.71,229.93,229.97,228.67,2019-12-31,17653
3.759753e6,233.3424,231.0,234.32,234.64,230.16,2020-01-02,34888
2.29812e6,231.5064,231.6,231.58,232.61,230.3,2020-01-03,26368
3.362513e6,232.2506,229.93,233.95,234.02,229.49,2020-01-06,34546
5.44367e6,236.0815,235.0,235.49,237.77,234.76,2020-01-07,54978
3.584587e6,238.0398,235.68,237.76,239.75,235.48,2020-01-08,35382
4.046301e6,241.9501,241.34,242.6,243.4,239.82,2020-01-09,40929
2.283641e6,242.5038,242.75,242.11,243.39,241.39,2020-01-10,27734
3.407617e6,244.9961,244.44,245.21,246.11,243.0,2020-01-13,36994
4.371666e6,246.3568,245.32,245.66,248.52,244.6,2020-01-14,48160
5.449775e6,245.7305,242.0,245.21,249.5,239.16,2020-01-15,64673
4.039742e6,248.3104,247.01,249.72,249.82,246.23,2020-01-16,46548
3.307259e6,249.4456,250.23,249.46,250.46,248.0,2020-01-17,33760
2.536915e6,246.992,247.21,245.7,248.85,245.6,2020-01-21,31813
2.056437e6,247.3825,246.61,247.05,248.52,246.34,2020-01-22,22748
2.903206e6,245.3573,244.5,245.58,247.0,242.88,2020-01-23,34373
2.945008e6,242.4464,245.07,241.92,245.7093,240.6,2020-01-24,39306
2.557355e6,237.7109,236.37,238.14,238.99,235.0112,2020-01-27,33492
3.192872e6,241.6925,239.49,242.58,243.58,238.05,2020-01-28,38088
3.762797e6,241.2726,244.52,240.12,246.5,239.5697,2020-01-29,47787
3.306198e6,241.2553,237.69,244.13,244.34,236.73,2020-01-30,41025
3.587391e6,239.3917,241.99,237.75,242.89,236.88,2020-01-31,46250
2.777772e6,240.3294,238.36,239.01,242.39,238.05,2020-02-03,33862
3.105535e6,242.6625,242.88,241.94,243.74,241.55,2020-02-04,31849
3.177269e6,244.2418,244.99,244.3,245.13,243.0,2020-02-05,40116
2.271835e6,242.8719,245.35,241.82,245.77,241.18,2020-02-06,29415
3.0581e6,238.2611,239.75,238.0,240.52,236.55,2020-02-07,36247
2.613026e6,236.923,237.4,237.36,237.87,235.4556,2020-02-10,25888
2.260935e6,237.6233,239.0,236.46,239.55,236.22,2020-02-11,29203
2.15797e6,238.9673,238.01,238.65,241.18,237.72,2020-02-12,25525
1.478633e6,238.1205,237.85,238.35,238.97,236.57,2020-02-13,20300
1.741243e6,237.2304,237.94,237.08,239.01,236.23,2020-02-14,24108
2.788492e6,233.2679,236.55,233.21,237.07,231.2,2020-02-18,36248
2.244891e6,236.4383,235.0,237.33,237.8,233.28,2020-02-19,29491
3.213862e6,233.2156,236.41,232.73,236.9,231.25,2020-02-20,39229
3.183622e6,230.0282,230.91,230.62,231.7994,228.37,2020-02-21,34847
4.207298e6,224.467,223.23,224.54,226.69,222.54,2020-02-24,48363
5.378629e6,219.7981,224.78,217.61,225.87,215.89,2020-02-25,67273
4.215674e6,217.2338,218.7,215.78,220.0,214.76,2020-02-26,54551
5.907936e6,209.3293,210.49,205.69,213.48,205.37,2020-02-27,65946
6.844658e6,198.3809,199.09,200.77,202.245,194.85,2020-02-28,82577
5.334878e6,204.1733,201.41,209.47,209.62,197.63,2020-03-02,64391
5.72896e6,205.5225,209.0,203.43,211.79,202.12,2020-03-03,74374
3.569606e6,205.8669,205.84,208.74,208.92,202.7,2020-03-04,43335
4.191855e6,199.8156,201.33,198.79,203.465,196.95,2020-03-05,50489
5.137074e6,192.4821,190.68,192.85,196.3,189.28,2020-03-06,60321
6.533156e6,174.2567,173.58,172.81,179.25,170.16,2020-03-09,88472
6.875181e6,179.6214,181.62,184.35,185.395,173.285,2020-03-10,82912
5.356964e6,175.0048,178.48,171.89,180.77,170.97,2020-03-11,70262
8.46133e6,156.1893,160.0,150.68,166.745,150.0,2020-03-12,99383
6.490238e6,165.0972,162.82,177.17,177.56,152.35,2020-03-13,83730
6.888049e6,159.3665,150.23,154.66,169.54,150.0,2020-03-16,86624
6.947774e6,157.8167,157.0,158.67,166.74,150.0,2020-03-17,86579
9.62792e6,142.3587,150.0,140.02,155.97,135.41,2020-03-18,109592
6.631399e6,145.2703,137.38,149.49,152.49,130.85,2020-03-19,81135
8.334957e6,143.7189,148.99,138.41,149.19,138.29,2020-03-20,79685
5.555174e6,136.5288,136.03,134.97,141.935,133.26,2020-03-23,69085
6.70873e6,149.6585,144.32,153.6,153.9,143.63,2020-03-24,78309
8.683678e6,154.8786,154.6,155.13,162.21,145.32,2020-03-25,94785
6.869043e6,163.1389,156.37,165.79,167.66,154.31,2020-03-26,75889
4.246598e6,160.135,159.08,158.34,163.73,157.0,2020-03-27,54203
4.205626e6,158.0414,158.52,159.62,160.43,153.18,2020-03-30,50936
3.623661e6,156.3838,158.13,154.59,161.1,153.72,2020-03-31,48194
4.768843e6,146.7911,146.1,145.29,149.57,145.0,2020-04-01,59830
4.503967e6,147.6814,143.02,149.93,150.453,141.67,2020-04-02,49976
2.846514e6,147.4928,149.2,146.93,150.9195,145.23,2020-04-03,38618
4.774545e6,156.8175,155.47,158.23,158.93,153.77,2020-04-06,52636
5.049087e6,166.0472,166.0,166.02,169.1388,162.45,2020-04-07,58657
5.242179e6,173.892,168.55,176.96,178.0974,168.55,2020-04-08,59110
6.516779e6,183.9515,180.58,184.26,187.328,179.77,2020-04-09,71720
4.843944e6,181.4059,183.85,179.18,184.97,179.13,2020-04-13,52889
4.207781e6,177.8748,182.35,178.23,183.38,174.543,2020-04-14,52834
6.104143e6,177.6379,170.63,178.52,181.68,169.15,2020-04-15,73559
4.709735e6,175.5065,177.22,177.04,178.44,172.39,2020-04-16,62106
5.559147e6,181.4766,183.49,183.49,185.28,178.29,2020-04-17,63155
4.733745e6,182.0658,179.7,180.4,186.32,178.0221,2020-04-20,57304
3.877828e6,175.1137,175.44,173.81,179.2,173.66,2020-04-21,47432
2.345583e6,175.8697,177.5,175.98,178.18,174.47,2020-04-22,31405
2.041686e6,176.4101,177.0,175.05,179.07,174.45,2020-04-23,27399
2.045926e6,176.0071,177.0,177.0,177.95,173.49,2020-04-24,25281
2.787085e6,181.9875,179.1,183.54,184.25,178.72,2020-04-27,32559
3.400172e6,187.3946,189.16,187.01,190.42,184.87,2020-04-28,41759
3.136661e6,191.2225,192.61,190.03,193.72,189.57,2020-04-29,39180
2.741276e6,184.4741,186.0,183.42,187.55,182.8999,2020-04-30,37113
2.702411e6,177.7578,179.0,177.1,179.595,176.65,2020-05-01,41157
3.026093e6,174.0313,175.0,176.03,176.31,171.72,2020-05-04,39302
3.324213e6,180.2743,179.1,178.3,182.6,178.14,2020-05-05,39879
2.44247e6,177.2545,179.68,176.92,181.2,175.2115,2020-05-06,34585
2.503125e6,181.83,179.18,182.32,183.38,179.18,2020-05-07,33300
2.309619e6,184.5038,185.03,185.39,185.91,182.74,2020-05-08,31540
2.252008e6,183.1919,182.54,183.16,184.85,181.26,2020-05-11,30769
3.576392e6,179.23,183.89,177.21,184.3,176.75,2020-05-12,41544
3.477279e6,172.7066,175.66,171.8,176.88,170.76,2020-05-13,50237
4.214307e6,171.1193,169.04,174.45,174.78,165.36,2020-05-14,57040
2.94356e6,172.2699,173.48,171.87,174.09,170.58,2020-05-15,34741
4.573169e6,179.3873,177.71,181.88,183.1,175.24,2020-05-18,58470
2.2517e6,179.8882,180.56,177.83,182.185,177.72,2020-05-19,31757
2.638008e6,181.9063,180.95,181.44,183.83,180.3,2020-05-20,34755
2.175574e6,180.0178,180.2,180.1,181.17,177.68,2020-05-21,28951
2.195542e6,179.5188,180.03,179.93,180.64,178.06,2020-05-22,27687
6.027746e6,193.381,185.63,196.06,197.1,185.22,2020-05-26,61477
8.288708e6,205.4621,203.0,209.66,210.71,200.01,2020-05-27,90243
4.972671e6,205.0254,210.84,201.22,211.31,201.21,2020-05-28,60266
3.880769e6,197.3903,197.23,196.49,200.92,194.65,2020-05-29,45921
2.277815e6,199.666,197.31,199.93,201.77,195.12,2020-06-01,27892
4.231823e6,203.7077,203.77,204.14,206.5,201.32,2020-06-02,50032
3.515755e6,209.7119,208.49,210.57,211.93,206.43,2020-06-03,45762
3.571769e6,212.3224,208.79,214.82,214.99,207.96,2020-06-04,53159
4.84057e6,219.9777,222.0,217.92,222.98,217.66,2020-06-05,64293
3.3178e6,220.3774,220.02,220.81,222.2646,218.24,2020-06-08,39612
2.502358e6,218.0678,215.74,218.1,220.02,215.16,2020-06-09,35791
3.119913e6,215.3306,217.39,213.52,219.8499,212.8,2020-06-10,43157
4.974586e6,198.9686,204.7,194.13,206.9,194.02,2020-06-11,72973
3.407429e6,200.0438,200.62,201.78,202.94,196.21,2020-06-12,53830
3.509119e6,202.1936,195.73,206.31,206.9932,195.15,2020-06-15,44509
3.146167e6,210.0833,214.98,209.59,214.98,203.73,2020-06-16,45946
1.816167e6,207.1392,210.0,206.19,210.79,205.44,2020-06-17,25827
2.075247e6,204.2608,203.99,203.84,207.26,202.67,2020-06-18,30054
5.619069e6,203.7155,207.05,201.63,207.4228,200.97,2020-06-19,45772
1.836925e6,203.1474,200.99,203.42,204.58,200.0,2020-06-22,25843
2.484982e6,205.3148,206.5,204.78,207.51,203.64,2020-06-23,33336
2.791039e6,199.2162,202.34,198.02,202.61,197.3801,2020-06-24,38616
3.498431e6,203.8649,197.86,207.1,207.39,197.61,2020-06-25,45629
9.614587e6,192.0621,199.0,189.19,200.2441,188.5075,2020-06-26,111341
3.797164e6,191.6895,191.38,193.47,193.9,188.66,2020-06-29,49238
3.140839e6,196.6213,193.84,197.62,198.41,193.62,2020-06-30,40308
2.667279e6,197.9748,198.88,197.57,199.74,195.52,2020-07-01,37558
2.731134e6,199.3791,202.5,197.4,203.0,197.13,2020-07-02,37695
3.60314e6,205.6014,201.335,207.36,207.7896,201.13,2020-07-06,46030
2.876693e6,200.985,205.5,199.36,205.71,199.19,2020-07-07,39340
2.819736e6,201.1608,199.54,202.25,203.25,199.02,2020-07-08,36917
3.191163e6,197.4133,202.11,196.83,202.5,195.0,2020-07-09,44974
4.42998e6,203.726,196.87,205.56,206.3199,196.83,2020-07-10,53867
4.504445e6,209.7741,209.0,208.88,212.98,207.0,2020-07-13,59601
5.267422e6,211.3247,211.43,214.01,214.3,207.01,2020-07-14,70686
1.2702248e7,218.3914,224.37,216.9,225.2399,214.69,2020-07-15,124628
5.842064e6,216.5205,213.51,214.67,220.455,213.5,2020-07-16,66778
3.729604e6,212.7776,214.9,211.41,215.17,211.25,2020-07-17,39918
2.297572e6,211.7078,210.73,211.71,213.165,210.32,2020-07-20,31828
3.440381e6,212.2794,212.25,212.02,213.81,210.39,2020-07-21,44151
4.998515e6,207.0385,210.5,206.0,211.0,205.35,2020-07-22,56781
4.133467e6,204.106,205.1,203.02,206.0221,202.05,2020-07-23,49416
3.230471e6,203.1279,203.0,201.47,204.93,201.32,2020-07-24,40321
2.649622e6,202.6546,200.1,203.02,204.18,199.59,2020-07-27,33400
2.163231e6,201.9037,201.91,201.62,203.6,201.09,2020-07-28,29508
2.66167e6,202.0957,201.7,202.58,203.89,199.62,2020-07-29,34367
3.099292e6,198.3829,199.5,199.53,199.99,196.3,2020-07-30,43841
2.421833e6,197.8167,199.84,197.96,199.84,196.51,2020-07-31,34316
2.322857e6,198.4175,198.49,199.39,199.88,196.53,2020-08-03,33960
1.970721e6,200.3502,199.35,201.64,201.72,198.475,2020-08-04,29920
2.351252e6,204.2011,203.17,204.52,204.8075,203.01,2020-08-05,31181
1.903975e6,204.7324,205.0,204.25,206.29,203.83,2020-08-06,28355
3.102202e6,205.6489,203.48,208.27,208.8,202.45,2020-08-07,38846
2.465866e6,209.2875,209.59,209.38,210.64,208.04,2020-08-10,33777
4.084252e6,213.8208,212.72,211.06,216.95,210.53,2020-08-11,58077
2.469109e6,212.5338,214.7,212.13,215.95,209.27,2020-08-12,35684
2.25851e6,209.0287,210.41,208.39,212.2,207.69,2020-08-13,32815
2.308456e6,208.0241,207.46,207.97,209.48,206.61,2020-08-14,29288
3.94916e6,203.6341,207.0,203.07,207.85,202.53,2020-08-17,42116
3.08845e6,201.9597,203.45,201.31,203.58,201.1,2020-08-18,34448
2.471752e6,204.0395,202.4,203.02,206.1,201.77,2020-08-19,31236
1.783717e6,201.8318,200.76,201.85,203.28,200.34,2020-08-20,26833
1.86118e6,201.8601,200.11,202.43,203.35,199.82,2020-08-21,24622
3.120453e6,204.9431,203.11,207.34,207.43,201.32,2020-08-24,38032
2.663877e6,206.9551,209.99,206.0,210.49,205.17,2020-08-25,37265
2.584644e6,206.4186,205.89,207.22,207.28,205.03,2020-08-26,27876
3.713669e6,210.3625,206.68,210.15,213.0,206.41,2020-08-27,48119
3.720272e6,208.6418,211.89,207.71,212.0,207.09,2020-08-28,34838
3.075317e6,205.0107,205.5,204.87,206.41,203.63,2020-08-31,39575
2.485729e6,205.1578,203.6,205.46,206.71,203.01,2020-09-01,34255
3.58936e6,208.7779,205.79,210.04,210.93,205.37,2020-09-02,40481
3.559395e6,209.7774,211.75,207.56,215.23,205.83,2020-09-03,46977
3.694699e6,209.6721,210.89,210.94,213.35,205.32,2020-09-04,56364
4.60606e6,203.4374,209.51,202.48,209.96,201.27,2020-09-08,61406
4.707608e6,203.012,204.19,202.22,204.83,202.03,2020-09-09,39139
2.536887e6,201.8358,203.73,200.01,205.35,199.55,2020-09-10,35223
2.390792e6,200.6482,200.24,200.92,201.91,198.95,2020-09-11,35378
2.783848e6,201.9518,203.3,201.34,203.3,200.67,2020-09-14,37801
3.737669e6,199.6525,202.0,198.0,202.585,197.98,2020-09-15,41841
3.596062e6,201.6413,198.49,200.68,203.8,198.07,2020-09-16,41157
4.313082e6,196.0438,198.21,194.83,199.89,194.51,2020-09-17,55252
9.60438e6,194.8301,195.01,194.86,196.65,192.3848,2020-09-18,51198
4.929419e6,191.1016,189.9,194.0,194.17,187.47,2020-09-21,66979
3.384341e6,191.0795,194.0,191.62,196.14,188.43,2020-09-22,46453
3.145584e6,188.509,192.0,186.12,192.915,185.865,2020-09-23,44018
5.167067e6,193.6826,188.98,195.11,197.4594,187.05,2020-09-24,67049
3.146545e6,193.0372,192.96,194.95,195.39,189.6085,2020-09-25,41022
3.313403e6,199.6439,197.78,199.07,201.865,197.15,2020-09-28,41810
2.430679e6,196.8708,198.16,196.79,198.77,195.43,2020-09-29,28948
3.114215e6,201.2384,198.68,200.97,203.08,198.36,2020-09-30,41900
2.317594e6,199.5538,201.53,198.55,203.13,197.8738,2020-10-01,37789
2.574155e6,198.9589,195.34,199.9,200.6999,195.29,2020-10-02,35984
2.582576e6,201.8059,201.93,201.8,202.84,199.59,2020-10-05,32574
2.870072e6,203.4935,204.25,201.09,206.09,199.9,2020-10-06,38557
2.384179e6,203.1345,203.9,203.6,205.0,201.17,2020-10-07,35033
2.356239e6,206.799,205.15,207.98,208.16,204.11,2020-10-08,31706
3.068308e6,207.8377,208.76,207.54,209.81,206.07,2020-10-09,29695
3.511979e6,212.7587,207.41,214.12,214.89,207.41,2020-10-12,46469
3.356226e6,211.3102,214.01,210.81,214.11,209.18,2020-10-13,46229
7.639278e6,212.3144,213.88,211.23,214.45,210.27,2020-10-14,85387
4.374353e6,208.9346,209.58,208.6,210.73,206.9,2020-10-15,54665
3.344811e6,207.7177,208.32,206.21,209.995,205.81,2020-10-16,41145
3.272198e6,206.2947,207.39,205.69,207.91,204.59,2020-10-19,38137
3.356674e6,208.7969,206.7,208.03,211.38,206.465,2020-10-20,37459
3.125804e6,204.2759,207.39,202.91,207.95,202.01,2020-10-21,43347
2.159824e6,204.7047,203.2,205.4,206.365,202.2,2020-10-22,33001
2.139399e6,205.666,206.76,205.04,208.21,204.02,2020-10-23,26795
3.275273e6,200.5176,202.49,201.14,202.81,198.51,2020-10-26,41659
3.454438e6,197.0226,200.0,195.68,200.59,195.41,2020-10-27,45440
4.273377e6,190.645,191.31,189.77,193.365,188.94,2020-10-28,60159
