volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
1.148664e7,59.7363,59.41,59.82,59.85,59.35,2019-12-26,62804
1.4086147e7,60.1386,59.91,60.08,60.48,59.9,2019-12-27,87823
1.2751111e7,59.6632,59.99,59.62,60.05,59.38,2019-12-30,88827
1.4435832e7,59.7527,59.62,59.85,59.93,59.36,2019-12-31,84357
1.7713404e7,60.7488,60.24,60.84,60.97,60.22,2020-01-02,117781
1.5298577e7,60.2146,59.81,60.1,60.7,59.81,2020-01-03,102254
1.7759137e7,59.9148,59.59,59.93,60.195,59.33,2020-01-06,112920
2.1875524e7,59.1203,59.78,58.93,59.8,58.89,2020-01-07,143637
2.3138184e7,58.9301,58.89,58.97,59.32,58.52,2020-01-08,142785
1.8818492e7,59.1946,59.05,59.3,59.51,58.83,2020-01-09,114779
1.5201929e7,59.3413,59.57,58.94,60.075,58.87,2020-01-10,111750
1.6455825e7,59.5249,59.17,59.59,59.775,59.08,2020-01-13,102410
1.7092446e7,59.4251,59.49,59.43,59.74,59.185,2020-01-14,110646
1.8459803e7,59.0934,59.3,58.94,59.65,58.75,2020-01-15,114956
2.136553e7,59.4792,59.26,59.66,59.84,59.07,2020-01-16,110681
2.1803446e7,59.5892,59.98,59.6,60.0,59.2403,2020-01-17,107752
2.8358468e7,60.7076,59.81,60.55,61.25,59.79,2020-01-21,164797
2.9475122e7,62.2058,61.04,62.73,62.85,60.97,2020-01-22,182033
4.2778737e7,64.0169,62.86,63.32,63.705,62.81,2020-01-23,238879
8.4711037e7,68.2479,66.57,68.47,69.29,66.46,2020-01-24,473035
3.0764002e7,66.2546,66.72,65.69,67.42,65.6,2020-01-27,207188
3.0755394e7,67.1688,66.5,67.31,67.58,65.94,2020-01-28,165633
1.8076688e7,66.7176,67.63,66.33,68.06,66.17,2020-01-29,125651
1.852236e7,65.879,65.64,66.47,66.5,64.93,2020-01-30,129315
2.5268428e7,64.3642,65.8,63.93,65.98,63.67,2020-01-31,168424
1.6654563e7,64.5927,64.455,64.42,65.04,64.3,2020-02-03,110801
2.0970754e7,65.4051,65.77,65.46,66.06,64.92,2020-02-04,135667
2.3401417e7,66.8695,66.69,67.34,67.6,66.13,2020-02-05,154035
1.7408038e7,67.0187,67.3,67.09,67.4,66.77,2020-02-06,101372
1.8134646e7,66.3874,66.86,66.02,67.3,66.01,2020-02-07,106310
2.2299288e7,66.0541,65.56,66.39,66.4,65.44,2020-02-10,94939
1.7975623e7,67.2527,66.83,67.41,67.71,66.57,2020-02-11,102986
1.55866e7,67.5655,67.6,67.46,68.09,67.31,2020-02-12,89385
1.1602733e7,67.3691,66.99,67.44,67.65,66.739,2020-02-13,81006
1.3379451e7,67.393,67.52,67.27,67.865,66.82,2020-02-14,91075
1.2766566e7,66.2168,66.66,66.14,66.69,65.88,2020-02-18,90200
1.3551202e7,66.7846,66.39,67.11,67.2,66.18,2020-02-19,81447
2.6452594e7,65.5265,67.04,65.45,67.29,64.56,2020-02-20,193001
2.0780465e7,64.5023,65.18,64.34,65.25,64.04,2020-02-21,108930
2.6903117e7,62.1182,61.6135,61.76,62.77,61.32,2020-02-24,182763
3.4488028e7,60.398,61.99,59.73,62.28,59.46,2020-02-25,263470
2.621774e7,59.9596,60.11,59.65,60.82,59.27,2020-02-26,200144
4.2226859e7,57.1752,57.93,55.83,58.51,55.8,2020-02-27,296095
6.0727999e7,54.8521,54.3,55.52,56.38,53.6,2020-02-28,454830
4.3140304e7,56.663,55.79,58.18,58.22,54.52,2020-03-02,306095
4.9740276e7,56.9075,58.03,55.97,59.02,55.4,2020-03-03,433974
2.9223071e7,57.8381,57.01,58.68,58.71,56.16,2020-03-04,204628
2.9099163e7,57.3725,57.06,56.96,58.66,56.61,2020-03-05,224124
3.6259158e7,55.3829,55.18,55.77,56.01,54.54,2020-03-06,302065
5.6196983e7,51.5244,51.92,50.85,52.71,50.0,2020-03-09,352290
3.6568951e7,52.4348,52.76,53.98,54.0,50.43,2020-03-10,220192
3.8573961e7,52.1458,52.39,51.66,53.54,51.01,2020-03-11,277822
5.0661745e7,47.3752,47.99,45.54,50.091,45.37,2020-03-12,400958
4.8805059e7,50.2897,48.26,54.43,55.0,47.74,2020-03-13,340275
5.3878939e7,47.9729,47.51,44.61,52.25,43.63,2020-03-16,377932
5.2085162e7,48.9945,45.755,50.08,51.63,45.2,2020-03-17,329860
4.9309879e7,47.4809,46.71,47.61,50.05,45.2,2020-03-18,324357
4.453803e7,47.1603,47.84,45.94,49.23,45.16,2020-03-19,294808
5.2344045e7,46.9172,46.51,45.83,49.42,45.47,2020-03-20,312571
4.6698478e7,48.703,46.02,49.58,50.49,45.9132,2020-03-23,336207
5.0019753e7,52.6864,53.14,52.4,54.64,51.35,2020-03-24,340458
4.1106063e7,51.858,52.48,51.26,53.785,49.91,2020-03-25,313683
4.1475406e7,54.7013,51.74,55.54,55.95,51.66,2020-03-26,261548
3.1633487e7,53.2229,53.42,52.37,54.64,52.065,2020-03-27,203021
3.162861e7,55.1665,52.99,55.49,56.1,52.83,2020-03-30,230810
4.8081861e7,54.3126,55.06,54.12,55.795,53.22,2020-03-31,265677
2.9586562e7,52.6889,52.5,51.88,54.69,51.43,2020-04-01,200153
2.7809987e7,53.5939,51.29,54.35,54.56,51.22,2020-04-02,194638
2.3906062e7,53.9237,53.85,54.13,55.13,52.73,2020-04-03,161803
3.2323387e7,57.6589,56.63,58.43,58.77,56.12,2020-04-06,220017
4.1410012e7,59.5448,59.94,58.4,61.49,58.21,2020-04-07,242048
2.67195e7,58.7508,58.99,58.98,59.51,57.91,2020-04-08,183719
4.0515419e7,57.3865,59.36,57.14,59.72,56.06,2020-04-09,264478
2.3251938e7,58.1339,56.57,58.7,58.77,56.57,2020-04-13,155356
2.5673992e7,60.2938,60.0378,60.66,60.9,59.51,2020-04-14,155118
2.2841552e7,58.939,59.74,58.87,59.83,58.385,2020-04-15,142948
2.4433516e7,60.1967,59.61,60.79,60.96,58.81,2020-04-16,157153
2.7385636e7,60.6289,62.02,60.36,62.13,59.825,2020-04-17,153500
2.6378309e7,59.3697,59.279,59.18,60.04,58.89,2020-04-20,130644
2.5248033e7,56.7921,58.11,56.36,58.6,55.93,2020-04-21,178507
2.3443474e7,59.6368,58.27,60.1,60.5,57.81,2020-04-22,143111
3.5089874e7,58.6111,59.6735,59.04,60.1,58.81,2020-04-23,219139
5.0210641e7,58.0049,56.2,59.26,59.4,56.1,2020-04-24,257440
2.5902236e7,59.1525,59.72,59.47,59.83,58.385,2020-04-27,146722
2.8784707e7,58.9766,59.99,58.75,60.22,58.26,2020-04-28,157266
