volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
6.823765e6,138.7966,137.89,139.04,139.1,137.78,2019-12-26,41960
7.966317e6,139.1197,139.3,139.14,139.77,138.6697,2019-12-27,46640
7.054312e6,139.0057,139.9,138.63,140.08,138.47,2019-12-30,51105
7.268873e6,139.0038,138.51,139.4,139.48,138.295,2019-12-31,46139
1.0959684e7,140.4548,139.79,141.09,141.1,139.265,2020-01-02,79031
1.0634795e7,138.3814,137.5,138.34,139.23,137.08,2020-01-03,76936
1.0418838e7,137.6877,136.56,138.23,138.27,136.5,2020-01-06,69883
1.0738251e7,136.4893,137.28,135.88,137.86,135.82,2020-01-07,92926
9.839457e6,136.811,135.7,136.94,137.58,135.6,2020-01-08,81006
9.629806e6,137.4105,138.05,137.44,138.23,137.04,2020-01-09,77388
1.0348383e7,136.6013,137.21,136.07,137.25,135.81,2020-01-10,77410
1.2553121e7,136.5166,136.19,137.2,137.2,135.755,2020-01-13,79878
2.5243192e7,139.4053,137.94,138.8,140.76,137.69,2020-01-14,160463
1.6649718e7,137.0228,137.85,136.72,138.6,136.15,2020-01-15,102297
1.0956458e7,137.3131,137.45,137.25,137.9,136.84,2020-01-16,82146
1.6157851e7,137.948,137.54,138.2,138.285,137.32,2020-01-17,74152
8.69113e6,137.2416,137.19,136.84,138.07,136.69,2020-01-21,65061
7.680781e6,136.7675,137.24,136.68,137.4,136.38,2020-01-22,54363
9.49009e6,135.8448,135.71,136.54,136.7447,134.72,2020-01-23,66960
1.5325599e7,133.7683,136.37,133.15,136.43,132.32,2020-01-24,102432
1.3057035e7,131.9116,130.27,132.03,132.94,129.72,2020-01-27,101137
1.3157377e7,134.3636,132.84,134.43,134.97,132.4784,2020-01-28,84905
9.465579e6,134.7071,134.81,134.23,135.54,133.69,2020-01-29,69453
9.223769e6,134.7816,132.69,135.89,136.13,132.69,2020-01-30,65716
1.3021384e7,132.8181,134.49,132.36,134.83,131.47,2020-01-31,91084
