volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
5.298057e6,188.8335,187.89,189.16,189.18,187.7,2019-12-26,38970
5.525233e6,189.4523,189.74,189.39,189.8862,188.471,2019-12-27,37609
4.90795e6,187.8985,189.31,187.83,189.4799,187.12,2019-12-30,43175
5.331059e6,187.3803,187.06,187.9,188.0,186.54,2019-12-31,46484
8.848461e6,190.577,189.0,191.12,191.14,188.72,2020-01-02,61140
5.05303e6,189.9028,188.41,189.6,190.96,187.92,2020-01-03,50204
1.0249722e7,188.7382,188.0,189.19,189.21,187.163,2020-01-06,55024
4.524394e6,189.2073,189.59,188.69,190.1,188.6,2020-01-07,52635
5.852167e6,191.4567,189.49,191.92,192.5,188.8,2020-01-08,60055
6.895216e6,193.1862,193.0,193.25,193.9215,192.52,2020-01-09,52060
6.700319e6,193.7933,193.5,193.77,194.57,193.11,2020-01-10,51172
1.1395733e7,195.1729,194.44,195.33,195.6,194.28,2020-01-13,49887
6.433256e6,195.9635,196.74,196.05,196.95,195.14,2020-01-14,66211
1.1012346e7,199.1789,197.0,199.8,200.15,196.32,2020-01-15,75599
1.0209953e7,200.7916,201.0,200.95,201.5,199.78,2020-01-16,70904
1.3428353e7,203.5309,201.76,204.7,204.75,199.98,2020-01-17,78662
1.5119302e7,207.1166,204.13,207.29,208.39,203.8,2020-01-21,102635
8.260373e6,208.4753,207.51,207.9,210.13,207.29,2020-01-22,76650
8.672974e6,206.6495,207.9,206.52,208.4,205.3,2020-01-23,75878
7.952556e6,205.6754,207.42,205.0,207.99,204.21,2020-01-24,77642
7.42179e6,201.7423,200.0,201.69,203.33,199.1,2020-01-27,81004
7.369938e6,203.0353,202.39,202.85,203.84,201.78,2020-01-28,71025
7.066376e6,204.6113,204.3,204.86,205.92,202.5128,2020-01-29,65774
8.709698e6,205.7345,204.0,208.21,208.5,203.32,2020-01-30,90504
1.7002848e7,200.4503,201.49,198.97,203.98,198.26,2020-01-31,164389
1.1103708e7,200.8475,199.94,200.81,202.26,199.85,2020-02-03,97636
1.0413718e7,203.7885,203.5,203.56,204.92,202.2272,2020-02-04,80180
8.846009e6,201.9635,205.5,202.81,205.6,199.95,2020-02-05,121524
7.179119e6,203.2258,203.05,203.04,204.63,202.475,2020-02-06,87906
5.815545e6,202.6976,201.98,202.74,203.83,201.09,2020-02-07,72556
6.351971e6,205.0891,201.97,205.99,206.13,201.86,2020-02-10,75633
1.035419e7,204.7647,207.5,203.94,207.67,203.64,2020-02-11,88603
7.554084e6,206.9835,205.0,207.44,208.1481,205.0,2020-02-12,86969
9.627584e6,207.4581,206.62,207.4,208.4673,206.05,2020-02-13,71057
6.687735e6,209.8818,208.29,210.29,210.775,208.01,2020-02-14,79197
7.864105e6,210.9256,210.0,211.2,211.5,209.36,2020-02-18,88318
6.093741e6,213.4093,212.52,213.31,214.17,211.715,2020-02-19,69778
8.759334e6,211.3592,212.13,211.45,213.69,208.28,2020-02-20,92722
9.629465e6,208.7851,209.9,208.81,210.22,207.42,2020-02-21,85444
1.3875833e7,199.8463,197.89,198.79,203.77,194.01,2020-02-24,161399
1.880361e7,192.3977,198.79,188.4,199.89,187.72,2020-02-25,227734
1.467454e7,189.8038,190.0,187.21,193.5126,187.03,2020-02-26,164803
1.7981727e7,182.7142,182.12,180.01,186.34,180.0,2020-02-27,194843
2.339882e7,177.7463,173.79,181.76,182.33,172.9835,2020-02-28,241318
1.7844935e7,187.6728,186.32,192.33,192.44,183.1,2020-03-02,198041
1.5561251e7,188.5344,193.2,185.73,194.04,184.5,2020-03-03,172522
1.1039753e7,190.7303,190.36,194.29,194.49,186.17,2020-03-04,125614
1.0333502e7,188.3037,191.24,186.96,191.92,185.64,2020-03-05,121460
1.5479713e7,183.0236,183.54,184.36,185.99,179.98,2020-03-06,153864
2.0488155e7,174.2577,171.21,171.13,179.57,168.31,2020-03-09,207335
1.6489085e7,178.4895,179.47,182.6,182.61,171.8815,2020-03-10,160232
1.4818568e7,174.0706,177.65,172.95,178.73,170.2,2020-03-11,171033
2.8178288e7,162.1021,158.5,160.08,172.0,156.99,2020-03-12,299031
2.0263351e7,169.0772,168.72,175.83,176.32,162.21,2020-03-13,213698
2.3691825e7,157.5299,151.14,152.01,165.31,147.98,2020-03-16,249990
2.2587116e7,156.233,155.75,157.89,163.7,149.25,2020-03-17,245328
2.3067932e7,145.8352,148.46,148.48,150.68,139.8,2020-03-18,236573
1.9675368e7,150.8613,146.92,152.25,157.25,141.47,2020-03-19,221781
1.9978333e7,151.1812,154.82,146.83,158.26,145.67,2020-03-20,195707
3.1026901e7,137.5711,141.33,135.74,143.35,133.93,2020-03-23,319760
2.4779069e7,152.4236,144.84,154.53,155.25,143.58,2020-03-24,255724
2.0972529e7,161.955,159.32,161.78,168.18,153.58,2020-03-25,251054
1.7261948e7,167.0743,162.08,168.88,169.53,161.79,2020-03-26,185224
1.5225234e7,162.0993,161.08,161.56,167.1,158.15,2020-03-27,155162
1.5945701e7,163.8642,161.04,165.57,165.87,160.69,2020-03-30,146512
2.0810064e7,163.3704,166.43,161.12,168.19,160.54,2020-03-31,198234
1.2875481e7,154.5062,156.32,153.11,158.07,151.4162,2020-04-01,151085
1.4220893e7,156.1232,152.53,157.39,158.35,151.29,2020-04-02,127272
1.2159379e7,152.9849,155.56,151.85,157.72,150.6,2020-04-03,145134
1.67054e7,165.6748,160.02,169.44,170.73,158.25,2020-04-06,177989
1.5755737e7,172.6506,177.76,168.59,178.7996,168.1,2020-04-07,185853
1.1330272e7,173.0172,171.01,174.94,176.0,167.9303,2020-04-08,128596
1.2453321e7,174.6346,176.27,173.69,177.19,172.85,2020-04-09,157119
1.4202453e7,168.5736,172.26,168.99,172.32,166.15,2020-04-13,134793
1.0184758e7,174.0617,173.09,174.62,175.43,170.83,2020-04-14,111180
1.2410547e7,166.5796,168.7,165.96,169.36,164.95,2020-04-15,155676
2.0563197e7,162.3174,167.11,162.42,168.0,159.8,2020-04-16,200807
1.6138532e7,168.2155,169.65,169.54,170.989,164.95,2020-04-17,149891
1.074861e7,165.3383,167.33,164.22,167.43,163.2,2020-04-20,119562
1.0765418e7,161.0222,162.0,160.53,162.57,159.15,2020-04-21,144737
1.4726945e7,165.8607,164.66,166.59,167.7,162.92,2020-04-22,102137
1.1606477e7,167.8281,167.88,166.38,170.41,166.21,2020-04-23,104293
8.511942e6,166.2759,168.44,167.32,168.75,164.01,2020-04-24,91320
1.0105769e7,170.2211,168.65,171.76,172.35,168.55,2020-04-27,111010
8.835625e6,172.5103,175.0,171.25,175.01,170.3848,2020-04-28,98019
1.3041084e7,180.3745,176.85,181.79,182.25,176.1,2020-04-29,129086
1.1545597e7,179.2403,181.78,178.72,181.83,177.655,2020-04-30,127791
1.0264632e7,176.6746,174.45,175.57,179.64,174.27,2020-05-01,112585
9.545561e6,175.2051,172.95,176.15,176.94,171.72,2020-05-04,88952
1.3691969e7,179.1975,179.09,178.44,181.102,178.26,2020-05-05,89959
8.665183e6,179.1143,179.72,178.78,180.51,177.88,2020-05-06,74109
9.418139e6,183.3883,181.75,182.72,184.98,181.71,2020-05-07,107809
6.675961e6,184.7762,185.03,185.09,185.75,183.62,2020-05-08,74833
8.872187e6,183.4046,183.87,183.56,184.62,181.43,2020-05-11,91577
8.399224e6,181.7756,183.56,179.47,183.99,179.37,2020-05-12,93253
1.3552746e7,177.4201,178.5,177.09,181.09,175.039,2020-05-13,111460
9.844874e6,177.8915,175.94,180.9,181.05,173.82,2020-05-14,109608
1.1088442e7,181.983,179.98,183.49,184.14,178.87,2020-05-15,92923
1.2102696e7,190.8343,188.0,191.38,192.83,187.4708,2020-05-18,108581
7.620038e6,192.0122,191.14,189.36,194.5,189.23,2020-05-19,94128
9.679495e6,193.6766,193.0,193.86,194.99,192.41,2020-05-20,85895
1.1422129e7,191.2985,193.5,190.62,193.616,190.02,2020-05-21,84253
