volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
1.282799e6,58.3268,58.23,58.38,58.4,58.18,2019-12-26,4797
1.86072e6,58.6849,58.74,58.65,58.77,58.575,2019-12-27,7227
3.276138e6,58.3691,58.67,58.19,58.7,58.18,2019-12-30,9242
2.328214e6,58.3556,58.29,58.6,58.6,58.095,2019-12-31,7024
2.946362e6,58.9481,58.91,59.09,59.09,58.8,2020-01-02,10366
3.193691e6,58.4892,58.3,58.35,58.665,58.28,2020-01-03,12016
2.538895e6,58.4247,58.19,58.57,58.58,58.19,2020-01-06,9259
3.108182e6,58.304,58.42,58.28,58.42,58.22,2020-01-07,7269
5.36836e6,58.4457,58.17,58.43,58.59,58.165,2020-01-08,10628
2.325936e6,58.4257,58.48,58.49,58.5,58.32,2020-01-09,8027
3.997011e6,58.3309,58.42,58.21,58.5,58.125,2020-01-10,8531
3.17588e6,58.3715,58.25,58.5,58.5,58.145,2020-01-13,8744
3.060655e6,58.4846,58.33,58.54,58.6,58.31,2020-01-14,7597
1.693713e6,58.5695,58.54,58.56,58.66,58.45,2020-01-15,6950
1.924033e6,58.6944,58.65,58.84,58.84,58.56,2020-01-16,7415
1.551769e6,58.9981,59.06,59.07,59.07,58.91,2020-01-17,6279
2.274633e6,58.747,58.86,58.64,58.88,58.64,2020-01-21,8312
2.718244e6,58.7145,58.82,58.7,58.8331,58.64,2020-01-22,6764
8.717977e6,58.351,58.37,58.46,58.52,58.06,2020-01-23,11590
3.088455e6,58.3813,58.74,58.25,58.74,58.17,2020-01-24,8777
2.510388e6,57.1749,57.17,57.05,57.35,57.05,2020-01-27,8489
2.809267e6,57.5252,57.28,57.64,57.66,57.225,2020-01-28,8916
1.565608e6,57.7515,57.73,57.71,57.875,57.58,2020-01-29,5910
3.469407e6,57.4369,57.25,57.68,57.71,57.18,2020-01-30,11031
4.373256e6,56.873,57.23,56.79,57.26,56.61,2020-01-31,13826
1.9869e6,56.8928,56.79,56.81,57.0949,56.78,2020-02-03,8663
2.055181e6,57.7457,57.68,57.76,57.82,57.635,2020-02-04,7947
4.475835e6,58.3305,58.31,58.33,58.42,58.18,2020-02-05,9840
1.601047e6,58.4029,58.4,58.43,58.47,58.32,2020-02-06,5887
2.581385e6,58.0007,58.07,57.87,58.14,57.86,2020-02-07,8259
3.273058e6,58.0176,57.85,58.05,58.09,57.83,2020-02-10,6017
5.30496e6,58.4773,58.39,58.48,58.58,58.37,2020-02-11,8909
3.950055e6,58.7929,58.79,58.84,58.84,58.635,2020-02-12,6192
1.985075e6,58.4589,58.35,58.45,58.575,58.2,2020-02-13,8271
1.480498e6,58.4015,58.53,58.46,58.56,58.31,2020-02-14,6847
1.664343e6,58.2114,58.14,58.21,58.31,58.1138,2020-02-18,7416
4.401341e6,58.5432,58.45,58.59,58.59,58.41,2020-02-19,6892
2.772747e6,58.2993,58.4,58.24,58.56,57.99,2020-02-20,7611
2.703158e6,58.0535,58.14,58.05,58.2,57.92,2020-02-21,8505
4.013701e6,55.7477,55.53,55.55,56.0,55.5,2020-02-24,16055
6.440401e6,54.8589,55.6,54.29,55.62,54.26,2020-02-25,21213
7.047392e6,54.6942,54.74,54.34,55.145,54.28,2020-02-26,23837
1.2154714e7,53.4555,53.49,52.65,54.08,52.63,2020-02-27,40739
1.5231266e7,51.7072,51.45,52.27,52.34,50.96,2020-02-28,58728
1.2743436e7,52.4595,52.44,53.14,53.17,51.87,2020-03-02,37341
8.94403e6,53.2242,53.77,52.69,54.3,52.34,2020-03-03,36411
1.0438272e7,54.103,53.77,54.51,54.58,53.31,2020-03-04,25403
8.09065e6,52.8464,53.09,52.67,53.41,52.48,2020-03-05,30854
7.275588e6,51.8805,51.81,51.95,52.28,51.385,2020-03-06,28756
1.1730778e7,48.3414,48.63,47.47,49.39,47.34,2020-03-09,44271
1.517787e7,48.3493,49.24,49.15,49.395,47.41,2020-03-10,54488
1.414603e7,46.7458,47.75,46.33,47.91,45.9,2020-03-11,47397
1.0307532e7,41.6058,42.76,41.08,42.86,40.43,2020-03-12,42203
8.30966e6,42.2784,43.74,43.64,43.7862,40.78,2020-03-13,39581
8.743265e6,38.7575,37.68,38.5,39.97,37.16,2020-03-16,37768
8.596056e6,39.386,38.64,40.11,40.17,38.02,2020-03-17,40130
1.1919421e7,37.196,37.46,37.15,38.36,36.29,2020-03-18,56165
1.0622546e7,38.0235,37.13,38.06,38.84,36.92,2020-03-19,43474
8.073902e6,38.5601,39.11,37.54,39.6,37.5,2020-03-20,39494
1.0564302e7,37.4314,37.68,37.1,38.11,36.93,2020-03-23,52913
1.2440557e7,40.0086,39.838,40.46,40.71,39.34,2020-03-24,49461
9.388242e6,41.8469,41.08,41.99,42.7,40.36,2020-03-25,44788
7.054959e6,43.3319,42.11,44.05,44.125,42.1,2020-03-26,39325
9.956057e6,42.5347,42.1,42.59,43.35,41.72,2020-03-27,46565
7.243748e6,42.8976,42.44,43.3,43.33,42.23,2020-03-30,30053
7.212288e6,43.153,43.05,43.28,43.68,42.735,2020-03-31,30269
6.739445e6,41.8766,42.02,41.38,42.4,41.34,2020-04-01,27458
7.919333e6,42.0036,41.39,42.17,42.46,41.36,2020-04-02,33392
5.149399e6,41.2766,41.59,41.29,41.675,40.96,2020-04-03,22789
8.166044e6,43.0394,42.69,43.33,43.479,42.54,2020-04-06,28805
7.963876e6,43.9553,44.69,43.59,44.76,43.495,2020-04-07,30326
4.803125e6,44.0595,43.9,44.25,44.36,43.55,2020-04-08,21227
6.024695e6,45.1754,44.93,45.36,45.505,44.71,2020-04-09,27401
6.509074e6,44.7,45.12,44.74,45.34,44.38,2020-04-13,19727
5.354871e6,45.4879,45.38,45.5,45.785,45.29,2020-04-14,23454
5.693362e6,43.7567,43.9,43.64,44.025,43.53,2020-04-15,22854
6.226271e6,43.6384,43.98,43.77,44.06,43.3,2020-04-16,26639
4.621668e6,45.02,45.05,45.25,45.3261,44.68,2020-04-17,18614
5.913349e6,44.9763,44.7,44.6,45.3545,44.6,2020-04-20,26166
5.453376e6,43.8422,43.88,43.69,44.32,43.56,2020-04-21,25449
3.865545e6,44.3132,44.4,44.39,44.44,44.16,2020-04-22,15411
4.978228e6,44.459,44.42,44.12,45.09,43.975,2020-04-23,21015
3.506936e6,44.4632,44.51,44.74,44.76,44.14,2020-04-24,14175
3.700601e6,45.1354,44.92,45.33,45.41,44.875,2020-04-27,15088
4.813875e6,45.8206,46.21,45.55,46.23,45.55,2020-04-28,18314
4.247007e6,46.8437,46.58,46.93,47.075,46.51,2020-04-29,16764
5.637624e6,46.1104,46.31,46.07,46.5,45.825,2020-04-30,25167
4.499166e6,45.2386,45.43,45.11,45.595,44.96,2020-05-01,16687
4.787537e6,44.8028,44.79,45.09,45.09,44.57,2020-05-04,18715
6.174787e6,45.1802,45.21,44.93,45.41,44.89,2020-05-05,18076
5.135919e6,44.9442,45.29,44.64,45.33,44.64,2020-05-06,20707
4.193243e6,45.3922,45.32,45.42,45.635,45.14,2020-05-07,15515
3.907588e6,46.0745,45.94,46.19,46.21,45.9,2020-05-08,14204
2.674211e6,45.8409,45.67,45.94,46.06,45.58,2020-05-11,11764
5.105764e6,45.8314,46.14,45.36,46.2,45.36,2020-05-12,16310
7.641762e6,44.9289,45.48,44.79,45.51,44.54,2020-05-13,35324
7.487141e6,43.9795,43.69,44.39,44.4381,43.385,2020-05-14,29620
3.831351e6,44.3425,44.28,44.47,44.605,44.1,2020-05-15,17112
4.881969e6,46.2092,45.68,46.48,46.62,45.67,2020-05-18,18952
5.125135e6,46.1559,46.18,45.79,46.385,45.79,2020-05-19,19857
4.990122e6,46.811,46.73,46.86,47.06,46.575,2020-05-20,15820
5.429178e6,46.5992,46.88,46.44,47.01,46.31,2020-05-21,18628
3.357763e6,46.2524,46.21,46.38,46.415,46.02,2020-05-22,13435
4.627096e6,47.7616,47.73,47.63,47.92,47.575,2020-05-26,18708
4.200894e6,47.9982,48.18,48.21,48.27,47.655,2020-05-27,18359
3.855753e6,48.9733,48.78,48.71,49.2572,48.67,2020-05-28,16440
6.924822e6,48.6193,48.83,48.76,48.9,48.245,2020-05-29,24022
4.153692e6,49.5341,49.11,49.86,49.86,49.04,2020-06-01,15518
5.368764e6,50.2528,50.17,50.41,50.415,50.06,2020-06-02,17631
7.462186e6,51.7015,51.17,51.81,52.01,51.12,2020-06-03,26664
6.726538e6,51.8359,51.53,51.8,52.06,51.46,2020-06-04,24451
7.668768e6,52.8227,52.9,52.73,53.16,52.57,2020-06-05,27686
5.929376e6,53.0304,52.99,53.37,53.37,52.67,2020-06-08,20741
7.330144e6,52.4444,52.21,52.42,52.65,52.12,2020-06-09,17377
4.76384e6,52.3367,52.57,52.19,52.76,52.03,2020-06-10,18906
7.488719e6,49.8605,50.76,49.13,50.92,49.03,2020-06-11,29510
6.223086e6,49.8904,50.61,50.06,50.73,49.25,2020-06-12,28577
5.141281e6,50.0985,49.25,50.54,50.66,49.1,2020-06-15,21681
6.648653e6,51.139,51.47,51.09,51.6,50.48,2020-06-16,26368
3.245109e6,51.3196,51.5,51.25,51.57,51.08,2020-06-17,13903
3.43608e6,50.8595,50.79,50.88,51.1,50.68,2020-06-18,14230
3.49703e6,50.9324,51.5,50.61,51.6,50.5,2020-06-19,14214
3.326508e6,50.7809,50.66,50.98,51.04,50.455,2020-06-22,12620
7.398141e6,51.5557,51.62,51.29,51.7092,51.23,2020-06-23,19112
4.574366e6,50.0955,50.65,49.85,50.74,49.71,2020-06-24,17773
3.914701e6,50.1789,49.92,50.63,50.69,49.625,2020-06-25,15467
4.899138e6,49.9675,50.54,49.78,50.54,49.695,2020-06-26,18166
3.772945e6,50.224,50.2,50.35,50.45,49.91,2020-06-29,14885
5.776834e6,50.2287,49.97,50.33,50.561,49.83,2020-06-30,15977
5.112408e6,50.595,50.37,50.71,50.82,50.31,2020-07-01,17204
3.011715e6,51.3022,51.36,51.19,51.61,51.09,2020-07-02,12748
3.731352e6,52.0529,52.0,52.1,52.19,51.82,2020-07-06,10997
2.295265e6,51.5884,51.68,51.3,51.83,51.28,2020-07-07,9375
