volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.28207e6,91.5462,91.42,91.75,91.77,91.29,2019-12-26,25505
4.300288e6,91.9564,91.96,92.04,92.18,91.7,2019-12-27,24842
3.508984e6,91.9036,91.89,92.13,92.21,91.62,2019-12-30,40599
4.682008e6,92.5532,92.09,92.79,92.83,92.0,2019-12-31,30874
5.174162e6,91.6746,93.19,91.7,93.2399,91.1,2020-01-02,38820
5.070888e6,92.0477,91.24,92.27,92.46,91.03,2020-01-03,37015
4.951461e6,92.3562,92.17,92.38,92.71,91.8699,2020-01-06,33971
6.580451e6,91.2961,92.18,91.35,92.18,90.8545,2020-01-07,45500
6.807846e6,91.559,91.39,91.63,91.81,91.06,2020-01-08,35296
4.253022e6,91.6506,91.61,91.58,91.87,91.355,2020-01-09,27177
5.874944e6,92.0727,91.78,92.28,92.385,91.528,2020-01-10,33470
5.608473e6,93.0218,92.37,93.39,93.4,92.34,2020-01-13,37583
4.160125e6,92.8679,93.3,93.04,93.35,92.5238,2020-01-14,33688
4.500319e6,93.8252,93.31,93.88,94.08,93.27,2020-01-15,30475
4.455997e6,94.3901,94.03,94.63,94.63,93.87,2020-01-16,30565
3.615666e6,94.7843,94.58,94.72,95.03,94.52,2020-01-17,27376
4.276344e6,95.3032,94.84,95.62,95.69,94.59,2020-01-21,28757
5.061648e6,95.2292,95.85,94.98,96.15,94.82,2020-01-22,32115
4.864958e6,95.4872,95.09,95.78,95.82,94.69,2020-01-23,29292
3.541442e6,95.6001,95.9,95.45,96.04,95.16,2020-01-24,28011
3.093259e6,95.0332,94.96,94.99,95.31,94.73,2020-01-27,27112
3.032193e6,95.4124,95.15,95.37,95.67,94.97,2020-01-28,24621
3.813372e6,95.2034,95.66,95.02,95.78,94.93,2020-01-29,31466
4.165783e6,94.9518,94.77,95.09,95.285,94.6,2020-01-30,32992
6.394694e6,94.1847,95.0,93.93,95.1,93.67,2020-01-31,43228
7.82214e6,94.4328,93.88,94.24,94.95,93.85,2020-02-03,46719
4.4757e6,95.1703,94.58,95.21,95.6,94.32,2020-02-04,35878
4.4596e6,95.2806,95.39,95.27,95.63,95.05,2020-02-05,33406
3.368273e6,95.6322,95.55,95.59,95.87,95.41,2020-02-06,26134
3.202652e6,95.5599,95.72,95.57,95.83,95.32,2020-02-07,26401
4.507315e6,96.3667,95.95,96.64,96.66,95.84,2020-02-10,27397
5.386636e6,97.4193,96.97,97.37,97.9556,96.97,2020-02-11,37476
6.341342e6,97.7328,97.53,97.95,98.245,97.13,2020-02-12,44162
3.716036e6,98.4688,97.93,98.54,98.7349,97.75,2020-02-13,31142
3.031171e6,99.2732,98.77,99.56,99.58,98.64,2020-02-14,25022
4.287471e6,99.3532,99.62,99.45,99.69,98.88,2020-02-18,34800
4.453005e6,98.4167,99.5,98.11,99.5,98.095,2020-02-19,32904
5.593732e6,98.8982,98.16,99.28,99.33,97.865,2020-02-20,34315
3.715536e6,99.4915,99.27,99.57,99.72,99.03,2020-02-21,31733
5.280132e6,98.3763,98.39,98.21,99.126,97.75,2020-02-24,39830
7.421707e6,96.4002,98.44,95.55,98.62,95.29,2020-02-25,56444
9.458049e6,95.3685,95.74,94.52,96.46,94.47,2020-02-26,66400
1.1959077e7,91.7607,93.1,89.49,93.295,89.49,2020-02-27,93047
2.2685131e7,86.8725,87.5,87.33,88.2,84.66,2020-02-28,138486
1.438648e7,89.295,87.65,91.06,91.07,87.16,2020-03-02,100603
1.4708885e7,91.4795,91.18,90.85,93.31,90.1,2020-03-03,111617
1.0685461e7,93.4064,92.26,94.28,94.4,92.13,2020-03-04,73698
9.842563e6,92.1068,92.72,92.26,93.44,91.15,2020-03-05,80040
1.034161e7,89.5237,90.235,90.67,91.01,87.79,2020-03-06,85880
1.4117057e7,84.6826,86.0,83.68,86.525,83.56,2020-03-09,89021
1.1840808e7,84.0938,85.05,86.54,86.62,81.83,2020-03-10,99280
1.6561428e7,81.6614,84.65,81.34,84.65,80.53,2020-03-11,105675
1.6959576e7,74.2643,75.9,73.1,78.525,72.6,2020-03-12,93172
1.110225e7,76.1662,77.33,79.48,79.5663,73.02,2020-03-13,75397
1.1661131e7,69.7704,71.88,65.39,74.35,65.24,2020-03-16,82009
9.179725e6,67.9001,66.63,69.17,70.5,64.44,2020-03-17,76153
1.5802714e7,63.2799,65.04,62.59,67.44,60.5,2020-03-18,106591
1.3202673e7,62.9459,61.71,62.81,64.25,60.0,2020-03-19,85982
1.8913725e7,62.9131,63.55,59.68,65.2,59.35,2020-03-20,158884
1.5898458e7,57.1892,59.39,56.91,59.5,55.58,2020-03-23,107740
1.4487476e7,60.3891,59.61,62.03,62.26,58.78,2020-03-24,106982
1.5286296e7,65.5706,62.29,65.37,68.77,61.83,2020-03-25,114790
1.4567728e7,68.493,65.98,69.98,70.25,65.58,2020-03-26,106186
1.1577637e7,69.7007,67.79,70.05,71.83,67.4,2020-03-27,90450
1.2840719e7,69.9538,70.76,71.58,71.83,68.44,2020-03-30,85180
1.6873215e7,69.1217,71.06,69.85,71.22,67.9502,2020-03-31,114823
1.2274776e7,64.7597,66.51,65.26,66.8,63.89,2020-04-01,94633
1.0968466e7,65.0539,64.32,65.48,66.84,64.17,2020-04-02,109203
9.044572e6,64.2825,64.99,64.53,65.88,63.27,2020-04-03,73109
8.44835e6,68.828,66.81,69.31,69.68,66.81,2020-04-06,66062
7.736387e6,71.7484,71.99,69.95,73.35,69.92,2020-04-07,63351
9.672185e6,73.0767,71.0,74.72,75.16,70.1,2020-04-08,71853
1.3892027e7,78.6966,75.98,78.91,79.985,75.98,2020-04-09,111375
1.024761e7,75.8746,78.41,75.59,78.61,75.07,2020-04-13,68773
9.439554e6,77.6934,77.09,77.71,78.53,77.09,2020-04-14,68349
8.61721e6,74.7377,75.31,74.63,76.17,73.83,2020-04-15,64008
6.294185e6,73.9267,74.77,73.78,75.21,73.28,2020-04-16,45346
8.658509e6,75.7319,75.92,76.11,76.51,75.07,2020-04-17,64232
6.692222e6,74.1821,74.54,73.28,74.96,73.26,2020-04-20,51508
8.670784e6,71.8128,71.36,71.95,72.55,70.99,2020-04-21,66479
6.51514e6,73.1377,73.06,73.05,73.66,72.45,2020-04-22,50037
7.690808e6,72.973,73.27,72.44,73.89,72.19,2020-04-23,56498
6.573165e6,72.5207,72.97,72.75,73.12,71.87,2020-04-24,47167
7.712543e6,74.7316,73.41,75.24,75.51,73.25,2020-04-27,50707
8.214295e6,76.6753,76.68,75.86,77.8,75.8,2020-04-28,60697
7.345611e6,77.4586,77.5,77.0,78.05,76.68,2020-04-29,51861
