volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.306746e6,51.2057,51.06,51.24,51.395,51.01,2019-12-26,15542
2.602598e6,50.9028,51.34,50.83,51.34,50.795,2019-12-27,19110
3.17511e6,50.7888,51.14,50.7,51.14,50.65,2019-12-30,18989
4.742497e6,50.8571,50.73,50.97,51.0,50.51,2019-12-31,22112
4.45264e6,51.5045,51.28,51.62,51.69,51.055,2020-01-02,25313
5.205923e6,50.9924,50.99,51.09,51.155,50.595,2020-01-03,31630
3.315428e6,50.8686,50.63,50.95,51.03,50.32,2020-01-06,26495
6.660779e6,51.3236,51.01,51.29,51.62,50.74,2020-01-07,34653
9.92026e6,51.9557,51.47,51.83,52.57,51.44,2020-01-08,48982
5.836091e6,52.3871,52.18,52.37,52.725,52.1344,2020-01-09,37403
5.56031e6,52.432,52.4,52.47,52.595,52.15,2020-01-10,38618
6.976971e6,52.5723,52.62,52.58,52.76,52.33,2020-01-13,31301
6.658794e6,52.2484,52.4,52.19,52.565,52.02,2020-01-14,37106
4.611697e6,51.9303,52.02,51.85,52.31,51.745,2020-01-15,30517
5.434918e6,52.1529,52.23,52.2,52.41,51.91,2020-01-16,31306
6.476787e6,52.521,52.34,52.61,52.655,52.19,2020-01-17,33553
4.71846e6,51.9059,52.19,51.76,52.34,51.69,2020-01-21,29123
3.572305e6,51.8613,52.0,51.9,52.13,51.67,2020-01-22,26674
4.308128e6,51.6719,51.67,51.8,51.96,51.01,2020-01-23,24851
3.966438e6,51.2099,51.9,51.27,51.9,50.6961,2020-01-24,28726
6.56247e6,50.1671,50.09,50.09,50.41,49.92,2020-01-27,48527
4.143099e6,50.6377,50.35,50.55,50.9559,50.2,2020-01-28,26040
3.910346e6,50.6877,50.78,50.49,51.02,50.46,2020-01-29,26683
4.630715e6,50.7922,50.0,51.28,51.29,49.92,2020-01-30,36161
9.50337e6,49.8188,50.63,49.71,50.655,49.49,2020-01-31,49055
5.330671e6,49.8818,49.75,49.69,50.3,49.68,2020-02-03,33110
4.816755e6,50.3764,50.53,50.2,50.77,50.18,2020-02-04,39957
7.672827e6,51.5243,51.16,51.53,51.74,50.97,2020-02-05,55535
