volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
2.957348e6,91.3212,91.6,91.34,91.72,91.07,2019-12-26,22264
3.649926e6,91.4617,91.68,91.5,91.7,91.27,2019-12-27,25411
3.813344e6,91.0773,91.53,91.03,91.69,90.73,2019-12-30,32665
4.540217e6,90.7895,90.92,90.95,90.99,90.44,2019-12-31,28284
8.015635e6,91.3871,91.08,92.04,92.14,90.365,2020-01-02,58517
5.806915e6,91.4909,90.68,91.25,92.07,90.51,2020-01-03,40132
7.288838e6,91.5831,91.23,91.64,91.735,90.99,2020-01-06,39345
1.0801601e7,89.5605,90.8,89.2,91.12,89.12,2020-01-07,75213
1.4741322e7,88.7956,89.09,88.6,89.5,88.41,2020-01-08,80812
9.397659e6,89.4,88.95,89.38,90.05,88.78,2020-01-09,64678
5.78786e6,89.6777,89.72,89.53,90.11,89.445,2020-01-10,43831
9.92883e6,89.4277,89.52,89.51,89.63,89.02,2020-01-13,37892
8.34114e6,89.7186,89.27,89.93,89.93,88.87,2020-01-14,42652
9.319195e6,91.2443,90.1,91.54,91.61,90.09,2020-01-15,60892
7.030383e6,91.3673,91.86,91.18,92.0554,91.05,2020-01-16,41741
1.0845765e7,91.1094,91.28,90.97,91.63,90.86,2020-01-17,55365
9.760688e6,90.0863,90.72,89.97,90.97,89.71,2020-01-21,62762
7.579911e6,89.8593,90.17,89.65,90.46,89.62,2020-01-22,48300
1.2724838e7,88.6353,89.66,88.56,89.66,88.26,2020-01-23,66207
1.4395353e7,86.6068,88.63,85.98,88.825,85.58,2020-01-24,93853
1.0512062e7,86.0033,85.1,86.1,86.505,84.71,2020-01-27,64733
9.189264e6,86.3188,86.44,86.25,86.71,85.9,2020-01-28,55651
8.244132e6,87.5,86.6,87.24,88.16,86.43,2020-01-29,54108
1.0619807e7,86.5699,86.95,86.5,87.13,86.2,2020-01-30,67450
9.342868e6,85.6124,86.38,85.44,86.67,85.0,2020-01-31,57335
9.43717e6,87.1988,86.04,87.34,88.22,86.04,2020-02-03,63698
1.4614796e7,88.7466,88.43,88.36,89.2,88.06,2020-02-04,92089
2.82984e7,85.3802,84.68,85.83,86.74,84.0,2020-02-05,161289
1.5604808e7,85.727,86.02,85.68,86.225,85.26,2020-02-06,85600
1.1012752e7,85.1702,85.89,85.08,85.94,84.83,2020-02-07,61656
1.0239547e7,85.6372,85.08,85.66,85.98,84.94,2020-02-10,65416
9.924419e6,85.2406,85.86,85.25,86.0,84.945,2020-02-11,56898
1.8966579e7,83.5893,85.04,83.25,85.23,82.9,2020-02-12,99588
1.8700342e7,82.0299,82.93,81.97,82.93,81.45,2020-02-13,108080
8.494302e6,82.3454,82.23,82.65,82.8,81.67,2020-02-14,54318
9.774419e6,82.6392,82.88,82.46,83.11,82.255,2020-02-18,58511
1.1385867e7,82.0999,83.08,82.0,83.11,81.57,2020-02-19,68814
1.0609234e7,82.2843,82.22,82.49,82.83,81.72,2020-02-20,75145
9.375965e6,82.2271,82.19,82.34,82.63,81.71,2020-02-21,49573
1.340283e7,81.755,80.61,81.33,82.5881,80.57,2020-02-24,86662
1.2724426e7,80.5191,81.53,80.27,81.94,79.8532,2020-02-25,92265
1.1663725e7,80.4557,80.66,79.94,81.63,79.77,2020-02-26,83331
1.529463e7,79.9104,80.71,78.08,81.75,78.0,2020-02-27,104926
2.8359773e7,75.7662,76.68,76.56,77.49,74.18,2020-02-28,179938
1.8270788e7,79.9226,77.13,81.37,81.55,77.08,2020-03-02,142601
1.6943442e7,79.7218,81.4,79.13,82.4,77.91,2020-03-03,127890
1.9573466e7,81.981,81.5,82.97,83.07,79.88,2020-03-04,97386
1.4564165e7,81.6618,81.53,81.58,82.77,80.94,2020-03-05,93954
1.3924882e7,81.2458,79.97,82.2,82.62,79.43,2020-03-06,101942
