volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
494410.0,42.0075,41.89,42.13,42.13,41.87,2019-12-26,2223
639905.0,42.1485,42.26,42.13,42.26,42.03,2019-12-27,2409
1.220551e6,41.8644,42.13,41.84,42.13,41.7,2019-12-30,3214
767508.0,41.8076,41.75,41.91,41.95,41.6902,2019-12-31,2183
2.224749e6,42.2903,42.21,42.5,42.5,42.11,2020-01-02,3720
2.555806e6,42.2675,42.0,42.19,42.3966,41.9203,2020-01-03,5138
1.760782e6,42.2666,41.88,42.39,42.41,41.87,2020-01-06,3644
1.0016123e7,42.4225,42.39,42.35,42.475,42.26,2020-01-07,7434
1.728711e6,42.6402,42.36,42.62,42.8101,42.32,2020-01-08,4513
1.59783e6,42.9605,42.96,43.04,43.04,42.825,2020-01-09,3831
809731.0,43.0097,43.12,42.91,43.16,42.85,2020-01-10,3078
1.023515e6,43.2068,43.07,43.35,43.35,43.025,2020-01-13,3724
994675.0,43.2474,43.32,43.19,43.38,43.1201,2020-01-14,4123
706269.0,43.3227,43.2,43.31,43.4243,43.185,2020-01-15,2924
1.128016e6,43.59,43.52,43.69,43.705,43.46,2020-01-16,3246
954438.0,43.8197,43.87,43.94,43.95,43.73,2020-01-17,2742
853374.0,43.9023,43.8,43.9,44.005,43.78,2020-01-21,3868
3.984984e6,44.0397,44.06,43.89,44.18,43.89,2020-01-22,5685
1.280666e6,43.8774,43.85,44.0,44.01,43.7,2020-01-23,3971
1.478893e6,43.7436,44.13,43.61,44.18,43.44,2020-01-24,5233
1.101066e6,42.9224,42.78,42.85,43.085,42.6546,2020-01-27,4731
3.425078e6,43.3742,43.12,43.46,43.55,43.01,2020-01-28,3811
1.452725e6,43.6816,43.74,43.53,43.795,43.4,2020-01-29,3926
1.213495e6,43.3717,43.26,43.65,43.69,43.14,2020-01-30,4030
1.578333e6,43.0704,43.73,42.89,43.73,42.75,2020-01-31,5144
1.259633e6,43.3667,43.07,43.35,43.54,43.06,2020-02-03,4446
913738.0,44.0722,43.89,44.13,44.1965,43.78,2020-02-04,3808
894863.0,44.2933,44.62,44.36,44.6361,44.11,2020-02-05,3752
1.064197e6,44.5678,44.53,44.66,44.66,44.36,2020-02-06,3670
1.12283e6,44.475,44.48,44.42,44.6521,44.33,2020-02-07,3969
963684.0,44.6642,44.29,44.94,44.94,44.29,2020-02-10,3428
1.372926e6,45.0808,45.13,44.9,45.2524,44.83,2020-02-11,3951
784284.0,45.1622,45.15,45.26,45.27,44.995,2020-02-12,2969
729375.0,45.2412,45.05,45.21,45.41,44.99,2020-02-13,3033
636732.0,45.3108,45.32,45.4,45.41,45.2,2020-02-14,2951
915675.0,45.2535,45.16,45.3,45.39,45.1006,2020-02-18,4274
5.16649e6,45.6766,45.5,45.63,45.73,45.46,2020-02-19,5997
1.172095e6,45.2213,45.54,45.32,45.6575,44.8,2020-02-20,5377
1.323985e6,44.7045,45.11,44.64,45.1379,44.47,2020-02-21,5289
1.928522e6,43.1437,42.97,43.03,43.5199,42.61,2020-02-24,9461
3.216539e6,42.2914,43.31,41.81,43.43,41.655,2020-02-25,10776
2.323554e6,42.1154,41.97,41.84,42.68,41.6255,2020-02-26,7678
4.023772e6,40.8017,40.85,39.84,41.5059,39.84,2020-02-27,14084
8.579734e6,39.156,38.54,39.9,39.92,38.3353,2020-02-28,21610
5.975848e6,40.7637,40.25,41.76,41.76,39.767,2020-03-02,15142
2.423554e6,41.1606,41.9,40.48,42.37,40.14,2020-03-03,10970
2.246384e6,41.5402,41.29,42.19,42.23,40.9,2020-03-04,8449
3.750858e6,41.3475,41.19,40.82,41.7,40.51,2020-03-05,13606
2.454278e6,39.712,39.5,40.09,40.31,39.09,2020-03-06,9729
7.864867e6,37.8018,37.25,37.13,38.53,36.99,2020-03-09,17334
4.827371e6,38.4209,38.61,39.27,39.27,37.2,2020-03-10,17717
4.227636e6,37.6249,38.19,37.34,38.37,36.8739,2020-03-11,18533
1.0222773e7,34.7889,34.73,33.97,36.5,33.9,2020-03-12,30985
9.851403e6,35.3537,35.47,37.14,37.2,34.18,2020-03-13,33469
6.851126e6,33.8219,33.07,32.69,35.1197,32.08,2020-03-16,23670
8.150457e6,34.038,33.47,34.43,35.0177,32.3404,2020-03-17,29939
8.216723e6,32.4395,32.4,32.99,33.64,31.3298,2020-03-18,35952
6.27264e6,33.5225,32.94,33.33,34.33,32.0487,2020-03-19,28289
5.757926e6,32.8321,33.88,31.92,34.12,31.81,2020-03-20,27539
1.0122276e7,31.2006,31.67,31.23,32.01,30.39,2020-03-23,44676
6.211126e6,33.4729,32.81,34.02,34.06,32.76,2020-03-24,27659
6.429721e6,34.7698,34.3,34.21,35.58,33.47,2020-03-25,30753
6.528532e6,35.5866,34.64,36.26,36.34,34.64,2020-03-26,26099
8.782036e6,35.2356,35.3,34.98,36.0,34.76,2020-03-27,29524
6.54463e6,36.0291,35.34,36.22,36.3103,35.16,2020-03-30,14612
3.118064e6,36.0681,36.1,35.74,36.57,35.56,2020-03-31,14195
4.455003e6,34.3509,34.43,34.16,34.9961,33.88,2020-04-01,13839
2.809564e6,34.5341,34.05,34.91,34.945,33.94,2020-04-02,14008
3.570433e6,34.4268,34.8,34.44,35.06,34.01,2020-04-03,14232
2.336425e6,36.342,35.8,36.95,37.15,35.6299,2020-04-06,10722
4.425211e6,37.5461,38.18,36.85,38.23,36.8,2020-04-07,16105
3.15023e6,37.6439,37.28,37.9,38.023,36.8733,2020-04-08,16622
5.072949e6,38.2429,38.37,38.24,38.55,37.91,2020-04-09,18780
2.43119e6,37.8665,38.02,38.11,38.23,37.465,2020-04-13,10329
3.319371e6,39.3624,38.95,39.57,39.67,38.77,2020-04-14,15330
4.728243e6,38.8359,38.76,38.91,39.19,38.54,2020-04-15,12767
2.518638e6,39.1309,39.24,39.31,39.47,38.78,2020-04-16,11216
2.269738e6,39.8308,40.06,40.08,40.1268,39.5,2020-04-17,9630
3.224321e6,39.7127,39.59,39.46,40.05,39.4258,2020-04-20,11133
2.742995e6,38.346,38.91,38.15,39.0197,37.96,2020-04-21,12695
3.016706e6,39.1898,38.96,39.19,39.45,38.79,2020-04-22,11434
2.743899e6,39.422,39.36,39.18,39.84,39.12,2020-04-23,10639
1.514091e6,39.4397,39.39,39.76,39.81,39.0402,2020-04-24,6886
1.928096e6,40.1186,40.11,40.14,40.27,39.99,2020-04-27,6070
2.832375e6,40.0044,40.61,39.67,40.66,39.62,2020-04-28,10609
1.860343e6,40.8239,40.54,40.92,41.13,40.36,2020-04-29,7595
4.130489e6,40.7498,40.87,40.84,41.013,40.53,2020-04-30,11148
