volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
643602.0,34.9087,34.92,34.94,34.9637,34.86,2019-12-26,1991
621715.0,34.9688,35.03,34.95,35.03,34.9,2019-12-27,1575
876605.0,34.8444,34.99,34.8,34.99,34.75,2019-12-30,2599
1.024575e6,34.796,34.75,34.91,34.92,34.72,2019-12-31,2046
2.986862e6,34.9168,35.07,35.03,35.1,34.86,2020-01-02,2738
2.048815e6,34.8143,34.7,34.79,34.875,34.66,2020-01-03,3172
1.845881e6,34.7831,34.57,34.84,34.855,34.5624,2020-01-06,2095
2.0964061e7,34.6677,34.75,34.71,34.8,34.64,2020-01-07,6246
1.231996e6,34.8452,34.72,34.8,34.96,34.69,2020-01-08,2482
2.880903e6,34.8984,34.97,34.95,34.98,34.855,2020-01-09,2662
564671.0,34.9161,35.0,34.83,35.015,34.795,2020-01-10,2138
907602.0,34.9055,34.89,34.98,34.98,34.8039,2020-01-13,2102
1.425923e6,34.9904,34.93,34.99,35.08,34.89,2020-01-14,2098
1.115069e6,35.0537,34.97,35.05,35.15,34.92,2020-01-15,2179
1.38643e6,35.2418,35.17,35.3,35.31,35.16,2020-01-16,2226
934839.0,35.3494,35.37,35.36,35.38,35.31,2020-01-17,1790
847967.0,35.2484,35.26,35.21,35.3194,35.1844,2020-01-21,2053
807533.0,35.2739,35.32,35.23,35.35,35.2051,2020-01-22,1839
933144.0,35.1316,35.15,35.25,35.26,34.96,2020-01-23,2114
973206.0,34.9253,35.26,34.9,35.26,34.74,2020-01-24,2291
694894.0,34.4738,34.4,34.42,34.5564,34.32,2020-01-27,2252
5.027205e6,34.6861,34.54,34.62,34.75,34.49,2020-01-28,2594
1.825417e6,34.6311,34.74,34.46,34.74,34.46,2020-01-29,3186
1.122478e6,34.3307,34.25,34.6,34.62,34.14,2020-01-30,2252
1.209776e6,34.0621,34.45,33.99,34.45,33.87,2020-01-31,2720
1.352247e6,34.1791,34.13,34.1,34.3627,34.06,2020-02-03,2480
779236.0,34.5839,34.45,34.49,34.65,34.45,2020-02-04,1680
1.48799e6,35.015,34.79,35.12,35.1465,34.79,2020-02-05,2155
837363.0,35.1579,35.26,35.13,35.26,35.0995,2020-02-06,1925
