volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
11108.0,78.9831,78.89,79.0821,79.5,78.89,2019-12-26,99
8760.0,79.2417,79.36,79.1354,79.36,79.1017,2019-12-27,107
18453.0,78.8186,79.26,78.6991,79.26,78.57,2019-12-30,140
9934.0,79.1482,79.01,78.87,91.845,78.58,2019-12-31,91
35129.0,79.2287,79.15,79.57,79.59,79.065,2020-01-02,187
29532.0,79.0868,78.95,79.0583,79.3081,78.59,2020-01-03,179
39178.0,79.0994,78.63,79.27,79.42,78.63,2020-01-06,127
22728.0,79.1724,79.15,79.0813,79.29,79.0,2020-01-07,134
26911.0,79.6442,79.24,79.5279,79.87,79.12,2020-01-08,174
12865.0,80.0466,80.11,80.0509,80.24,79.88,2020-01-09,139
14528.0,80.0903,80.29,79.8636,80.3,79.73,2020-01-10,164
25323.0,80.2947,80.14,80.4188,80.42,80.0267,2020-01-13,176
19823.0,80.3722,80.3,80.2549,81.23,80.22,2020-01-14,155
30276.0,80.5759,80.32,80.4342,80.8818,80.3,2020-01-15,160
30423.0,80.9618,80.88,81.1233,81.1242,80.8521,2020-01-16,199
11436.0,81.3521,81.33,81.4739,81.4739,81.2426,2020-01-17,122
30969.0,81.4135,81.45,81.2949,81.51,81.26,2020-01-21,163
26880.0,81.6338,81.68,81.45,82.73,81.36,2020-01-22,224
20106.0,81.2985,81.5,81.4755,81.5,80.9008,2020-01-23,195
24161.0,81.204,81.82,80.7556,81.82,80.49,2020-01-24,145
31566.0,79.6025,79.54,79.5437,79.87,79.2,2020-01-27,223
97882.0,80.4244,80.02,80.34,80.56,79.7587,2020-01-28,279
34698.0,80.6317,80.69,80.3126,80.905,80.3126,2020-01-29,205
32666.0,80.0379,79.91,80.55,80.55,79.64,2020-01-30,138
24986.0,79.4063,80.56,79.1689,80.56,78.91,2020-01-31,217
26454.0,79.8182,79.38,79.74,80.111,79.38,2020-02-03,184
42851.0,81.1159,80.75,80.9499,81.21,80.75,2020-02-04,153
45987.0,81.6476,81.88,81.8,81.91,81.39,2020-02-05,177
29341.0,82.0975,82.21,82.19,82.21,81.951,2020-02-06,146
34973.0,81.9586,82.2,81.7876,82.2,81.665,2020-02-07,153
35092.0,82.0476,81.62,82.3166,82.32,81.5999,2020-02-10,223
21868.0,82.7844,82.79,82.5055,82.94,82.46,2020-02-11,141
76536.0,82.9777,83.02,83.02,83.089,82.7951,2020-02-12,197
22999.0,82.9881,82.74,82.8968,83.188,82.7299,2020-02-13,134
19328.0,83.0076,83.03,83.0581,83.13,82.8487,2020-02-14,114
88440.0,82.8337,83.01,82.82,83.01,82.615,2020-02-18,133
17571.0,83.2729,83.23,83.2543,83.39,83.19,2020-02-19,124
16586.0,82.8727,83.08,82.9509,83.29,82.39,2020-02-20,119
24189.0,82.0963,82.61,82.0584,82.61,81.84,2020-02-21,169
49974.0,79.6476,79.63,79.41,80.129,79.14,2020-02-24,400
51953.0,78.0839,79.75,76.9667,79.83,76.84,2020-02-25,345
33924.0,77.279,77.35,76.859,78.1726,76.6899,2020-02-26,219
92046.0,74.7498,75.21,73.29,76.22,73.29,2020-02-27,481
206445.0,71.1974,71.0,72.98,72.98,70.56,2020-02-28,450
95862.0,74.3443,73.34,76.02,76.02,72.55,2020-03-02,412
100088.0,75.1269,76.42,73.91,76.9432,73.56,2020-03-03,404
38641.0,75.5562,75.46,77.1,77.1,74.92,2020-03-04,211
44807.0,75.0213,75.24,74.68,75.85,74.09,2020-03-05,306
43711.0,72.6545,72.39,73.4,73.67,71.7,2020-03-06,300
70988.0,68.8312,69.13,68.2571,70.259,67.75,2020-03-09,513
146377.0,69.3195,70.57,71.252,71.252,67.86,2020-03-10,488
56735.0,68.3253,69.3,67.99,69.63,67.13,2020-03-11,343
138556.0,62.9434,63.51,61.52,66.0,61.52,2020-03-12,675
59668.0,64.2952,65.33,67.15,67.27,61.845,2020-03-13,427
55536.0,61.17,60.0,59.47,63.5599,59.47,2020-03-16,443
62954.0,61.8016,60.38,63.0,63.39,58.7302,2020-03-17,413
50402.0,58.2818,59.1,59.275,60.33,56.521,2020-03-18,395
44669.0,59.9669,59.0,59.91,61.1578,57.695,2020-03-19,272
75947.0,59.5179,61.16,57.42,61.16,57.42,2020-03-20,414
59252.0,55.6411,57.13,55.5892,57.13,54.3,2020-03-23,416
251085.0,59.345,58.42,60.465,60.465,58.21,2020-03-24,492
64754.0,61.9314,61.7,61.31,63.41,59.9,2020-03-25,420
219500.0,63.3045,61.21,64.74,64.88,61.21,2020-03-26,614
55115.0,63.0794,63.55,62.73,64.389,62.3152,2020-03-27,314
182587.0,64.4328,63.21,64.99,65.08,63.0274,2020-03-30,821
32897.0,64.5037,64.67,63.8571,65.26,63.5301,2020-03-31,244
66953.0,61.3665,61.82,60.9893,62.2359,60.55,2020-04-01,465
30354.0,61.5982,60.91,62.235,62.34,60.7916,2020-04-02,158
29285.0,61.2725,61.86,61.4046,62.38,60.82,2020-04-03,230
27437.0,64.8211,64.83,65.8846,66.07,64.0,2020-04-06,213
17843.0,67.0294,67.66,65.55,67.98,65.55,2020-04-07,201
91960.0,67.3731,66.53,67.8582,68.07,66.03,2020-04-08,740
86226.0,68.6808,69.15,68.8763,69.47,68.2864,2020-04-09,502
36588.0,67.8606,68.81,68.17,68.81,67.185,2020-04-13,311
80023.0,69.9538,69.53,70.31,70.38,69.31,2020-04-14,625
44247.0,68.7812,68.77,68.72,69.22,68.25,2020-04-15,362
59565.0,68.7011,68.94,69.19,69.31,68.43,2020-04-16,480
59827.0,70.3156,71.2,70.86,71.2,69.92,2020-04-17,462
54458.0,70.0633,69.89,69.8381,70.74,69.73,2020-04-20,371
52645.0,67.8415,68.9,67.7,68.9,67.4,2020-04-21,348
75248.0,69.0311,68.91,69.2004,70.0148,68.5544,2020-04-22,230
83879.0,69.8463,69.71,69.03,70.1024,69.011,2020-04-23,236
21608.0,69.3765,69.71,69.89,70.12,68.93,2020-04-24,227
20882.0,70.883,70.49,71.05,71.1833,70.4846,2020-04-27,220
36459.0,71.102,71.95,70.599,71.95,70.58,2020-04-28,239
105881.0,72.5609,71.83,72.49,72.83,71.7801,2020-04-29,424
113255.0,71.5958,72.43,71.8,72.43,71.27,2020-04-30,582
105550.0,69.79,70.36,69.7101,70.36,69.5501,2020-05-01,337
39361.0,69.4712,69.66,70.0,70.05,68.96,2020-05-04,259
21813.0,71.1002,70.72,70.76,71.38,70.64,2020-05-05,217
36035.0,70.9883,71.48,70.28,71.48,70.28,2020-05-06,342
32751.0,71.1973,71.13,71.07,71.5,70.9,2020-05-07,207
21291.0,72.0319,71.83,72.1513,72.18,71.7351,2020-05-08,191
29960.0,71.9604,71.65,72.24,72.55,71.65,2020-05-11,185
17071.0,71.8311,72.88,70.81,72.88,70.795,2020-05-12,184
