volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
5.135011e6,44.4543,44.35,44.55,44.55,44.25,2019-12-26,21685
8.329389e6,44.6329,44.74,44.61,44.75,44.52,2019-12-27,28353
1.0131811e7,44.5167,44.75,44.36,44.76,44.32,2019-12-30,38920
6.689787e6,44.4346,44.43,44.47,44.55,44.3,2019-12-31,36763
1.3657583e7,45.3182,45.07,45.53,45.53,45.02,2020-01-02,45984
1.2644443e7,44.8626,44.83,44.72,45.03,44.715,2020-01-03,53483
1.0455434e7,44.5594,44.4,44.64,44.65,44.39,2020-01-06,40666
1.1968729e7,44.599,44.54,44.62,44.68,44.45,2020-01-07,39125
1.1182745e7,44.8,44.51,44.82,45.025,44.4701,2020-01-08,37733
1.803613e7,45.0345,45.14,45.05,45.16,44.92,2020-01-09,35317
1.5006048e7,45.3113,45.32,45.27,45.43,45.2,2020-01-10,35830
9.116071e6,45.7577,45.51,45.89,45.92,45.45,2020-01-13,31704
1.3384785e7,45.608,45.62,45.68,45.68,45.46,2020-01-14,39446
1.3151164e7,45.4182,45.54,45.39,45.59,45.305,2020-01-15,32985
1.4705186e7,45.5677,45.63,45.62,45.66,45.48,2020-01-16,37592
1.3202104e7,45.7916,45.76,45.91,45.91,45.66,2020-01-17,28926
1.4916933e7,44.8838,44.97,44.77,45.02,44.73,2020-01-21,54107
1.5754148e7,45.0581,45.18,45.04,45.225,44.935,2020-01-22,42948
1.5536017e7,44.3997,44.36,44.63,44.74,44.15,2020-01-23,49305
1.9760538e7,44.3485,44.7,44.29,44.7,44.07,2020-01-24,41765
2.0100608e7,42.8091,42.5,42.8,43.02,42.37,2020-01-27,99573
1.4046661e7,43.1188,42.98,43.16,43.25,42.79,2020-01-28,44571
9.250968e6,43.3865,43.51,43.36,43.55,43.26,2020-01-29,25630
1.6702976e7,42.5192,42.45,42.77,42.81,42.2401,2020-01-30,57046
1.5846473e7,41.9298,42.18,42.01,42.23,41.7735,2020-01-31,40930
2.3772181e7,42.3182,42.06,42.31,42.4499,42.06,2020-02-03,73298
1.5457908e7,43.4244,43.35,43.32,43.566,43.3044,2020-02-04,51267
2.0217389e7,43.5916,44.06,43.56,44.1,43.47,2020-02-05,41389
9.713945e6,43.6408,43.85,43.54,43.8698,43.505,2020-02-06,29465
8.372877e6,43.0126,43.17,42.95,43.17,42.8732,2020-02-07,35736
8.391535e6,43.1031,42.97,43.22,43.22,42.97,2020-02-10,52507
8.511182e6,43.8051,43.68,43.77,43.965,43.6534,2020-02-11,25891
1.0239747e7,44.2522,44.14,44.33,44.37,44.02,2020-02-12,24486
1.4498148e7,43.8875,43.89,43.86,44.04,43.75,2020-02-13,28326
8.475095e6,43.8048,44.02,43.77,44.04,43.62,2020-02-14,29376
8.77582e6,43.5845,43.57,43.62,43.71,43.48,2020-02-18,28280
9.978878e6,43.964,43.96,43.98,44.035,43.913,2020-02-19,36110
1.3474561e7,43.4112,43.73,43.38,43.7694,43.23,2020-02-20,32152
8.191793e6,43.2532,43.31,43.22,43.4,43.11,2020-02-21,28745
1.7949997e7,41.7498,41.5,41.7,41.926,41.45,2020-02-24,80700
2.1405593e7,41.7431,42.27,41.37,42.3001,41.3537,2020-02-25,60881
2.5333861e7,41.9071,41.85,41.63,42.24,41.62,2020-02-26,72156
3.5481229e7,41.0195,41.14,40.63,41.41,40.6,2020-02-27,110895
5.5180378e7,39.7776,39.48,40.52,40.57,39.22,2020-02-28,130410
4.0421152e7,40.7397,40.5,41.3,41.3,40.29,2020-03-02,115287
5.0463477e7,41.3574,41.39,41.1,41.97,40.75,2020-03-03,111895
2.5404007e7,41.5517,41.56,41.68,41.72,41.32,2020-03-04,51659
2.5088011e7,41.027,41.37,40.88,41.51,40.63,2020-03-05,65094
3.6326898e7,39.9898,40.13,40.11,40.27,39.655,2020-03-06,101636
3.8454841e7,37.387,37.19,37.12,37.95,36.95,2020-03-09,146149
4.4044474e7,38.54,38.72,38.99,39.0262,37.95,2020-03-10,127228
4.1817807e7,37.5575,38.07,37.3,38.2,37.09,2020-03-11,112655
4.2803363e7,33.6507,34.01,33.55,34.49,32.8301,2020-03-12,132496
4.2422376e7,35.0529,36.51,35.9,36.5162,34.12,2020-03-13,126177
4.4861604e7,32.2605,31.76,31.56,33.25,31.0,2020-03-16,120443
4.1478449e7,32.9764,32.38,33.54,33.61,31.85,2020-03-17,128404
3.8045763e7,30.8542,30.74,30.81,31.9,30.035,2020-03-18,124915
4.1294196e7,30.9138,30.68,30.98,31.47,30.18,2020-03-19,94770
5.013308e7,31.7616,32.45,31.12,32.56,31.04,2020-03-20,113395
5.5762158e7,30.4918,30.84,30.46,30.97,29.955,2020-03-23,134448
4.0980758e7,32.1866,32.16,32.38,32.47,31.92,2020-03-24,100590
