v,vw,o,c,h,l,t,n
1.772262e6,30.7932,30.97,30.69,31.1,30.64,2019-12-24,11302
3.355676e6,30.6949,30.72,30.72,30.9,30.49,2019-12-26,17506
1.787882e6,30.6574,30.71,30.59,30.84,30.57,2019-12-27,12610
2.258721e6,30.3956,30.64,30.36,30.75,30.28,2019-12-30,15184
1.843203e6,30.5425,30.28,30.56,30.69,30.28,2019-12-31,16968
3.108887e6,30.5847,30.7,30.72,30.79,30.42,2020-01-02,21473
1.945965e6,30.3494,30.25,30.39,30.52,30.12,2020-01-03,16333
4.656152e6,30.0041,30.2,29.99,30.27,29.86,2020-01-06,25552
4.221641e6,29.7809,29.81,29.72,30.01,29.54,2020-01-07,23661
4.059339e6,30.2913,29.79,30.28,30.59,29.79,2020-01-08,25712
4.199498e6,30.1941,30.48,30.23,30.59,30.03,2020-01-09,26486
3.054867e6,30.0359,30.17,29.95,30.31,29.865,2020-01-10,17496
3.324562e6,29.8878,29.95,30.01,30.02,29.705,2020-01-13,22089
3.154648e6,30.2223,29.88,30.25,30.54,29.8,2020-01-14,22172
2.724357e6,30.3025,30.25,30.33,30.5,29.97,2020-01-15,19852
3.925958e6,30.6954,30.53,30.76,30.77,30.46,2020-01-16,26439
4.035965e6,30.5225,30.92,30.45,30.92,30.42,2020-01-17,23544
9.192415e6,30.362,30.2,30.26,30.84,30.14,2020-01-21,41364
7.632786e6,32.0823,31.82,32.31,32.37,31.32,2020-01-22,50815
6.558289e6,32.429,32.27,32.7,32.73,31.83,2020-01-23,36950
4.723208e6,32.1655,32.69,32.14,32.7,31.89,2020-01-24,34567
4.152772e6,31.4072,31.44,31.36,31.555,31.235,2020-01-27,26131
3.602971e6,31.794,31.67,31.75,32.095,31.53,2020-01-28,16665
2.777738e6,32.2843,31.93,32.25,32.48,31.9,2020-01-29,22833
4.355276e6,32.3057,31.74,32.45,32.495,31.69,2020-01-30,21273
3.982042e6,32.0805,32.2,32.03,32.325,31.85,2020-01-31,30742
3.858043e6,32.1412,32.17,31.97,32.6,31.925,2020-02-03,22037
4.234278e6,32.2149,32.36,32.18,32.43,31.993,2020-02-04,26847
3.302097e6,32.8104,32.61,32.86,32.95,32.56,2020-02-05,23548
3.456002e6,32.7171,33.05,32.63,33.1,32.58,2020-02-06,18641
2.729878e6,32.5067,32.38,32.57,32.63,32.175,2020-02-07,16306
2.740804e6,32.5524,32.5,32.62,32.7,32.33,2020-02-10,15492
2.772545e6,32.9235,32.83,32.81,33.1125,32.78,2020-02-11,18173
2.559546e6,33.0279,33.08,32.95,33.34,32.81,2020-02-12,17058
2.031135e6,32.9983,32.94,33.06,33.11,32.78,2020-02-13,15515
1.784719e6,32.9056,33.08,32.85,33.1,32.715,2020-02-14,12183
2.849542e6,32.1436,32.7,32.03,32.85,31.94,2020-02-18,18490
1.8950269e7,28.4563,28.3,28.33,28.84,28.06,2020-02-19,90013
1.1030245e7,28.9239,28.5,29.4,29.44,28.38,2020-02-20,61035
7.349182e6,28.7933,29.27,28.47,29.595,28.44,2020-02-21,50241
5.945755e6,27.5819,27.47,27.41,27.92,27.15,2020-02-24,42914
7.727936e6,26.4395,27.42,26.11,27.54,25.965,2020-02-25,53257
5.569415e6,26.1458,26.35,25.97,26.67,25.8,2020-02-26,44266
6.727193e6,25.4306,25.33,25.39,26.02,24.455,2020-02-27,50526
8.355909e6,24.8749,24.46,25.07,25.335,24.4223,2020-02-28,60315
4.96277e6,25.1984,25.22,25.62,25.63,24.735,2020-03-02,35087
6.023712e6,24.8988,25.51,24.63,25.65,24.555,2020-03-03,46101
4.263144e6,25.4545,24.99,25.84,26.055,24.85,2020-03-04,31196
4.470629e6,24.7283,24.92,24.73,25.02,24.48,2020-03-05,34305
5.020644e6,24.2711,23.88,24.29,24.925,23.77,2020-03-06,40195
5.280367e6,21.5131,22.56,21.06,22.89,20.65,2020-03-09,45610
4.773878e6,22.0322,21.91,22.41,22.55,21.16,2020-03-10,35265
6.206576e6,21.0557,21.77,20.72,21.99,20.36,2020-03-11,50228
6.792277e6,19.2633,19.34,19.58,20.08,18.585,2020-03-12,42984
6.681049e6,19.8793,20.68,20.57,21.05,18.96,2020-03-13,49411
5.957431e6,17.3216,18.62,16.09,18.89,16.06,2020-03-16,45780
1.1960409e7,15.897,16.42,16.07,17.34,14.22,2020-03-17,76103
1.3209428e7,12.2196,15.21,12.34,15.4,10.22,2020-03-18,81970
1.5139471e7,12.9367,12.11,12.88,13.935,11.2502,2020-03-19,87450
1.2290925e7,12.5533,13.22,11.7,13.81,11.66,2020-03-20,91898
1.1359554e7,11.3681,11.61,12.13,12.34,10.61,2020-03-23,98367
1.1931535e7,13.9549,13.23,14.27,14.3,12.9486,2020-03-24,81584
1.2005922e7,16.0802,15.7,16.37,16.975,15.04,2020-03-25,84559
1.1223961e7,17.4679,16.94,17.17,18.54,16.55,2020-03-26,83318
5.568284e6,15.8633,16.14,15.77,16.3479,15.44,2020-03-27,36919
5.961557e6,15.2203,15.73,15.32,15.87,15.0,2020-03-30,43281
