v,vw,o,c,h,l,t,n
2.373525e6,148.1319,147.68,148.5,148.53,146.78,2019-12-23,21834
990245.0,147.6997,148.7,147.48,148.8,147.29,2019-12-24,11922
1.591119e6,147.7823,147.9,148.22,148.23,146.99,2019-12-26,17434
1.570037e6,148.3012,148.64,148.28,148.9299,147.99,2019-12-27,16711
1.820474e6,147.6747,148.42,147.52,148.47,147.01,2019-12-30,22311
1.970235e6,147.5358,147.43,147.68,148.23,146.79,2019-12-31,22251
3.382215e6,149.5302,149.0,150.53,150.55,147.977,2020-01-02,29080
3.166053e6,148.373,148.77,148.44,149.96,147.45,2020-01-03,29301
2.585576e6,147.8875,147.27,148.34,148.56,146.5408,2020-01-06,24347
2.890769e6,146.5368,147.35,146.38,147.57,145.51,2020-01-07,32610
2.18205e6,147.6376,146.83,147.68,148.57,146.4584,2020-01-08,25684
2.329154e6,147.1076,147.81,147.31,147.969,146.51,2020-01-09,24216
2.418658e6,146.5296,147.45,146.13,147.72,145.83,2020-01-10,23354
3.399743e6,146.2451,146.53,146.82,146.83,145.55,2020-01-13,33646
2.792123e6,147.1065,147.45,146.68,147.98,146.31,2020-01-14,27353
2.67323e6,145.8422,146.22,145.57,146.74,145.2,2020-01-15,27346
3.103017e6,147.1406,146.43,147.87,147.93,146.24,2020-01-16,32521
3.639175e6,147.5058,147.21,147.78,148.2742,146.6,2020-01-17,28331
2.524006e6,146.2789,147.2,145.85,147.87,145.69,2020-01-21,27087
3.631429e6,143.6275,146.25,142.63,146.56,142.52,2020-01-22,40974
3.226188e6,141.7097,141.81,142.75,143.21,139.8,2020-01-23,33264
2.561477e6,140.6889,142.55,140.38,142.7,139.26,2020-01-24,29918
2.98675e6,136.3512,136.9,135.73,137.81,135.57,2020-01-27,35944
2.809218e6,136.8691,137.02,136.74,137.6,135.62,2020-01-28,31672
2.65776e6,136.3921,137.59,135.78,137.76,135.67,2020-01-29,33857
3.91353e6,134.5459,134.76,135.37,135.97,132.91,2020-01-30,42229
6.856529e6,132.224,133.82,131.35,134.99,130.54,2020-01-31,63007
4.483254e6,130.7558,131.44,129.77,133.16,129.3,2020-02-03,44840
3.572018e6,133.7509,133.0,133.51,134.78,132.68,2020-02-04,41531
4.487744e6,136.8706,135.55,137.44,137.47,135.44,2020-02-05,42517
2.327126e6,137.0879,138.2,137.25,138.33,136.13,2020-02-06,27397
3.845976e6,134.0792,136.04,133.37,136.49,133.0,2020-02-07,38062
2.383915e6,133.8819,133.04,134.32,134.33,132.78,2020-02-10,23680
2.428446e6,136.4276,135.49,136.19,137.23,135.06,2020-02-11,26518
3.301866e6,139.2604,138.4,139.59,139.94,138.2,2020-02-12,34604
3.400209e6,139.7397,140.0,139.72,140.5,138.43,2020-02-13,33274
2.870683e6,137.7525,139.49,137.99,139.6155,136.89,2020-02-14,30167
3.93891e6,136.5429,137.46,136.58,138.57,135.08,2020-02-18,28145
2.174449e6,136.8011,136.79,136.86,137.2099,136.06,2020-02-19,20719
