v,vw,o,c,h,l,t,n
5.5254672e7,9.4469,9.5,9.44,9.57,9.4,2019-12-23,51807
1.2033994e7,9.4547,9.44,9.47,9.49,9.43,2019-12-24,20888
2.9237221e7,9.4493,9.47,9.45,9.49,9.43,2019-12-26,35844
2.8603056e7,9.3868,9.45,9.36,9.46,9.345,2019-12-27,49008
3.658986e7,9.2877,9.34,9.25,9.35,9.23,2019-12-30,63514
3.2717984e7,9.2915,9.25,9.3,9.33,9.24,2019-12-31,56230
4.4037216e7,9.298,9.29,9.42,9.42,9.19,2020-01-02,75295
4.5422189e7,9.22,9.31,9.21,9.37,9.15,2020-01-03,72598
4.3955374e7,9.1306,9.1,9.16,9.17,9.06,2020-01-06,67709
4.5729797e7,9.1975,9.2,9.25,9.25,9.12,2020-01-07,69798
4.6289819e7,9.2346,9.23,9.25,9.3,9.17,2020-01-08,73172
5.2282622e7,9.2414,9.3,9.26,9.31,9.18,2020-01-09,68598
4.0096286e7,9.29,9.27,9.25,9.36,9.25,2020-01-10,64883
4.9091183e7,9.2006,9.25,9.24,9.26,9.11,2020-01-13,71557
4.329929e7,9.2775,9.22,9.29,9.33,9.21,2020-01-14,72656
5.6298732e7,9.2221,9.27,9.19,9.3,9.18,2020-01-15,82766
4.46782e7,9.1975,9.23,9.17,9.28,9.15,2020-01-16,71594
4.3542668e7,9.1716,9.19,9.16,9.23,9.13,2020-01-17,73377
5.0129355e7,9.1691,9.15,9.21,9.22,9.1,2020-01-21,79137
4.0321242e7,9.1881,9.22,9.16,9.25,9.15,2020-01-22,69347
7.6199554e7,9.0819,9.14,9.14,9.16,8.93,2020-01-23,78218
6.8585503e7,9.0101,9.11,9.0,9.12,8.96,2020-01-24,92608
6.1839358e7,8.8938,8.88,8.89,8.96,8.78,2020-01-27,94224
8.5675982e7,8.9447,8.94,8.97,9.0,8.86,2020-01-28,114198
5.9494564e7,8.8845,8.85,8.86,8.955,8.84,2020-01-29,75511
4.3350714e7,8.7787,8.81,8.84,8.84,8.73,2020-01-30,78236
6.0248995e7,8.7985,8.78,8.82,8.84,8.74,2020-01-31,79177
7.1896266e7,9.0089,8.85,8.98,9.14,8.85,2020-02-03,107252
8.6653953e7,9.0694,9.08,9.18,9.24,9.07,2020-02-04,153925
1.4830891e8,8.3126,8.41,8.31,8.48,8.26,2020-02-05,269018
6.991978e7,8.273,8.37,8.25,8.38,8.25,2020-02-06,118725
9.9536551e7,8.1154,8.21,8.11,8.21,8.02,2020-02-07,144988
7.2780067e7,8.082,8.15,8.06,8.15,8.05,2020-02-10,99865
8.0939969e7,8.1181,8.1,8.1,8.15,8.08,2020-02-11,105391
1.12302362e8,8.2659,8.14,8.24,8.33,8.13,2020-02-12,111647
6.8288571e7,8.2727,8.21,8.25,8.36,8.21,2020-02-13,94917
4.6885663e7,8.1352,8.27,8.1,8.27,8.08,2020-02-14,77199
6.5953912e7,8.0605,8.12,8.06,8.1499,8.02,2020-02-18,97907
7.0127646e7,8.0179,8.06,8.0,8.1,8.0,2020-02-19,88615
5.3260861e7,8.0335,8.0,8.03,8.07,7.99,2020-02-20,77667
5.9499564e7,7.9228,8.02,7.89,8.03,7.89,2020-02-21,112663
1.12646474e8,7.6155,7.7,7.57,7.7197,7.55,2020-02-24,172756
1.10086198e8,7.3855,7.68,7.23,7.68,7.22,2020-02-25,168610
9.3461228e7,7.3227,7.3,7.21,7.46,7.21,2020-02-26,162810
1.20716374e8,7.0731,7.13,6.97,7.28,6.92,2020-02-27,179036
1.18488854e8,6.8307,6.84,6.96,6.96,6.67,2020-02-28,204563
9.8393435e7,7.0812,7.11,7.2,7.23,6.88,2020-03-02,152381
9.8701252e7,7.058,7.29,6.97,7.34,6.89,2020-03-03,201158
7.1555856e7,7.0131,7.09,7.08,7.09,6.92,2020-03-04,120240
7.9293369e7,6.8093,6.96,6.74,6.97,6.71,2020-03-05,142022
1.11673583e8,6.5046,6.6,6.49,6.68,6.4,2020-03-06,174624
1.03903555e8,5.9801,5.97,5.9,6.14,5.87,2020-03-09,208704
1.04134124e8,6.0936,6.26,6.26,6.29,5.8,2020-03-10,202938
9.9602609e7,5.9841,6.06,5.9,6.11,5.88,2020-03-11,160263
9.1793412e7,5.3518,5.38,5.35,5.69,5.2,2020-03-12,179769
1.28556962e8,5.4317,5.87,5.63,5.9,5.12,2020-03-13,232276
1.10311304e8,5.0583,5.04,5.01,5.22,5.0,2020-03-16,202912
1.05556176e8,4.9476,5.08,5.01,5.14,4.7,2020-03-17,216872
1.27676802e8,4.4168,4.75,4.5,4.84,4.1,2020-03-18,245709
1.28499827e8,4.3496,4.33,4.47,4.58,4.1,2020-03-19,247362
1.31168906e8,4.4171,4.54,4.33,4.75,4.25,2020-03-20,257406
1.37211864e8,4.1458,4.27,4.01,4.52,3.96,2020-03-23,289694
1.48417372e8,4.7212,4.47,4.95,4.99,4.26,2020-03-24,328527
2.02905252e8,5.5547,5.77,5.39,5.87,5.12,2020-03-25,440573
1.39957727e8,5.353,5.36,5.25,5.65,5.16,2020-03-26,306497
1.08715522e8,5.1236,5.07,5.19,5.3,4.91,2020-03-27,230319
9.9376963e7,5.0167,5.11,5.03,5.1197,4.93,2020-03-30,197524
2.33228242e8,4.9184,5.03,4.83,5.19,4.75,2020-03-31,293506
1.20694628e8,4.5088,4.63,4.4,4.77,4.36,2020-04-01,241350
9.2263668e7,4.3708,4.39,4.36,4.57,4.25,2020-04-02,198634
8.6377156e7,4.2622,4.4,4.24,4.42,4.17,2020-04-03,177787
1.0421081e8,4.5213,4.54,4.53,4.67,4.41,2020-04-06,185327
1.17612182e8,4.8305,4.85,4.71,5.03,4.63,2020-04-07,233813
1.17996867e8,4.979,4.86,5.03,5.09,4.8,2020-04-08,203677
1.78340586e8,5.5066,5.51,5.37,5.75,5.24,2020-04-09,335618
1.00894032e8,5.1406,5.43,5.16,5.43,5.02,2020-04-13,197797
7.6031153e7,5.2827,5.27,5.29,5.44,5.16,2020-04-14,155785
7.6373073e7,5.0348,5.06,5.03,5.14,4.95,2020-04-15,155941
5.9932131e7,4.9566,5.06,4.94,5.0697,4.89,2020-04-16,141984
9.3842759e7,5.1313,5.17,5.12,5.28,5.03,2020-04-17,177338
7.2854695e7,5.0055,5.01,4.98,5.09,4.91,2020-04-20,147567
8.3996167e7,4.8033,4.89,4.77,4.92,4.72,2020-04-21,166020
6.3160965e7,4.7896,4.87,4.77,4.89,4.75,2020-04-22,142372
6.2497221e7,4.8935,4.8,4.89,4.98,4.77,2020-04-23,133577
5.4923316e7,4.8722,4.93,4.87,4.96,4.8,2020-04-24,116017
9.1892685e7,5.0797,4.91,5.17,5.19,4.88,2020-04-27,159887
1.08598139e8,5.3895,5.49,5.38,5.54,5.215,2020-04-28,228722
1.28005192e8,5.3592,5.33,5.26,5.5,5.2104,2020-04-29,248290
9.4858589e7,5.127,5.16,5.09,5.24,5.06,2020-04-30,167128
8.384725e7,4.9464,5.02,4.92,5.05,4.9,2020-05-01,171313
8.5356295e7,4.8457,4.88,4.86,4.97,4.77,2020-05-04,155051
9.7232608e7,5.0143,4.99,4.97,5.09,4.94,2020-05-05,156035
9.041307e7,4.9039,5.05,4.87,5.09,4.82,2020-05-06,163394
6.7892325e7,4.9151,4.9,4.87,4.98,4.85,2020-05-07,131244
1.02177102e8,5.1169,4.96,5.24,5.25,4.95,2020-05-08,173865
7.6783785e7,5.1269,5.18,5.12,5.19,5.05,2020-05-11,126829
7.1622154e7,5.0699,5.15,4.98,5.22,4.97,2020-05-12,118774
1.00892629e8,4.7816,5.0,4.72,5.01,4.66,2020-05-13,201886
1.08983524e8,4.7663,4.645,4.89,4.92,4.52,2020-05-14,185562
8.1652013e7,4.8711,4.8,4.9,4.94,4.75,2020-05-15,130918
1.38105618e8,5.2405,5.12,5.31,5.33,5.12,2020-05-18,203546
9.5793337e7,5.3431,5.27,5.3,5.45,5.15,2020-05-19,158447
8.8760846e7,5.4626,5.38,5.49,5.54,5.37,2020-05-20,138392
8.7823149e7,5.6008,5.45,5.63,5.69,5.44,2020-05-21,144914
7.7312474e7,5.6057,5.68,5.65,5.73,5.5,2020-05-22,125782
8.7787609e7,5.8851,5.92,5.84,5.99,5.82,2020-05-26,150373
1.1173402e8,5.9987,6.01,6.03,6.09,5.84,2020-05-27,166785
7.7960929e7,5.9171,6.05,5.85,6.07,5.81,2020-05-28,130277
9.4016697e7,5.7017,5.75,5.71,5.8,5.57,2020-05-29,138426
6.2799318e7,5.8287,5.73,5.87,5.88,5.67,2020-06-01,112815
8.0835245e7,5.9099,5.96,5.9,6.0,5.83,2020-06-02,128786
1.00297187e8,6.1223,5.99,6.19,6.27,5.92,2020-06-03,167328
1.16766211e8,6.3844,6.2,6.57,6.58,6.12,2020-06-04,189110
2.11388536e8,7.2739,7.24,7.34,7.5,7.02,2020-06-05,328349
1.15468584e8,7.5516,7.53,7.53,7.74,7.37,2020-06-08,213524
1.1761874e8,7.2375,7.22,7.24,7.44,7.05,2020-06-09,211146
1.48731543e8,6.9436,7.33,6.81,7.34,6.77,2020-06-10,266697
1.18778427e8,6.2243,6.07,6.13,6.46,6.04,2020-06-11,216497
9.0180732e7,6.4554,6.56,6.46,6.63,6.3,2020-06-12,163126
1.05793221e8,6.4155,6.18,6.5,6.58,6.11,2020-06-15,178822
1.10887661e8,6.6401,6.87,6.55,6.87,6.44,2020-06-16,182379
6.8517602e7,6.4009,6.56,6.33,6.56,6.31,2020-06-17,122780
6.1943465e7,6.3353,6.26,6.33,6.45,6.19,2020-06-18,115601
1.29047165e8,6.3819,6.64,6.23,6.69,6.23,2020-06-19,161716
7.2730364e7,6.2253,6.27,6.28,6.28,6.13,2020-06-22,115075
8.7408854e7,6.1989,6.33,6.15,6.38,6.14,2020-06-23,125047
7.6330392e7,5.9879,6.06,5.95,6.1225,5.86,2020-06-24,139651
7.4436852e7,5.9516,5.86,6.03,6.05,5.8,2020-06-25,126264
1.1902912e8,5.9003,6.04,5.91,6.07,5.81,2020-06-26,132930
5.9055423e7,5.9916,5.91,6.01,6.07,5.81,2020-06-29,102580
6.236394e7,6.0306,5.98,6.08,6.1,5.9,2020-06-30,94514
6.3304905e7,6.0209,6.1,5.98,6.18,5.95,2020-07-01,99179
6.8077433e7,6.0849,6.1,6.05,6.17,6.0,2020-07-02,104444
6.4989928e7,6.16,6.14,6.19,6.2,6.11,2020-07-06,102261
5.7332995e7,6.1422,6.14,6.12,6.2,6.09,2020-07-07,87905
6.1389825e7,6.0938,6.13,6.09,6.18,6.05,2020-07-08,86127
8.3387666e7,5.903,6.09,5.84,6.1,5.82,2020-07-09,122716
7.4694685e7,5.9674,5.8,6.1,6.1,5.74,2020-07-10,118988
8.1376394e7,6.1325,6.15,6.06,6.22,6.05,2020-07-13,136452
1.07636666e8,6.2768,6.18,6.36,6.39,6.08,2020-07-14,168360
1.0329023e8,6.6711,6.54,6.74,6.78,6.52,2020-07-15,170498
9.432011e7,6.8185,6.66,6.86,6.9,6.63,2020-07-16,136691
8.2041074e7,6.795,6.9,6.8,6.91,6.73,2020-07-17,113757
7.2229651e7,6.6699,6.8,6.66,6.85,6.58,2020-07-20,101736
6.388252e7,6.7292,6.71,6.68,6.81,6.64,2020-07-21,95800
