v,vw,o,c,h,l,t,n
5.601605875e6,88.9272,88.0,89.28,89.36,88.0,2019-12-23,81004
2.654191625e6,89.348,88.8,89.52,89.6,88.72,2019-12-24,42640
3.845242625e6,89.54,89.44,89.84,89.84,89.04,2019-12-26,54770
3.8226615e6,89.3552,89.36,89.44,89.68,89.04,2019-12-27,59403
6.086636e6,88.5896,88.56,88.64,89.28,88.24,2019-12-30,118123
7.154333e6,88.488,88.0,89.28,89.28,87.68,2019-12-31,83428
1.10239125e7,93.1552,89.84,95.44,95.64,89.84,2020-01-02,155726
1.095139425e7,94.0928,92.56,95.76,96.0,92.24,2020-01-03,141831
1.4116818125e7,96.6304,94.72,97.12,97.68,94.72,2020-01-06,176625
9.001959e6,96.5424,97.2,96.4,97.88,95.36,2020-01-07,115459
7.02991925e6,95.6816,95.92,95.52,96.4,94.96,2020-01-08,90569
5.01462925e6,95.4288,96.56,95.28,96.72,94.64,2020-01-09,72452
7.406098125e6,94.1288,94.72,93.36,95.28,92.72,2020-01-10,91049
8.368021125e6,96.0384,93.92,96.96,97.2,93.44,2020-01-13,104390
5.72398e6,96.6536,97.28,96.24,97.52,95.92,2020-01-14,91112
5.85282225e6,95.1984,96.16,94.96,96.16,94.64,2020-01-15,91715
4.652795125e6,95.0672,95.52,94.72,95.84,94.56,2020-01-16,78263
6.35231125e6,94.5368,94.8,94.48,95.44,94.08,2020-01-17,77993
5.558403625e6,93.5048,93.92,93.28,94.4,92.88,2020-01-21,90657
7.787045125e6,91.6048,93.68,90.96,93.68,90.8,2020-01-22,101070
9.26779225e6,93.932,93.84,94.16,94.8,92.76,2020-01-23,131959
7.519838125e6,93.8496,95.04,93.68,95.12,92.96,2020-01-24,109489
6.085276375e6,91.9272,91.6,91.52,92.696,91.04,2020-01-27,99535
7.966813625e6,93.5936,92.16,93.84,94.56,91.76,2020-01-28,129236
2.7955639375e7,102.4656,100.56,103.52,104.0,99.92,2020-01-29,379150
1.222279025e7,101.3968,103.12,101.84,103.92,100.0,2020-01-30,199194
9.8534255e6,99.9648,101.44,99.6,101.92,98.72,2020-01-31,142293
6.40199375e6,99.4048,99.68,98.08,101.44,98.0,2020-02-03,104985
5.648500875e6,100.4568,99.92,100.64,100.96,99.1184,2020-02-04,94919
6.35617425e6,102.0856,102.08,102.88,102.88,100.56,2020-02-05,108699
8.054756375e6,103.5288,103.52,103.6,104.0,102.64,2020-02-06,112161
8.52588975e6,103.6376,104.16,102.64,104.72,102.48,2020-02-07,120858
4.2584415e6,103.036,102.72,103.28,103.76,102.16,2020-02-10,75744
5.17982225e6,102.9432,103.6,102.8,103.84,102.24,2020-02-11,83457
8.32289e6,104.7624,103.6,105.28,106.08,103.04,2020-02-12,106854
6.459682125e6,104.072,104.64,103.52,105.28,103.2,2020-02-13,102800
