v,vw,o,c,h,l,t,n
2.980673e6,36.6124,36.73,36.58,36.74,36.5,2019-12-24,16604
5.474891e6,36.4512,36.59,36.48,36.6,36.33,2019-12-26,25529
5.812535e6,36.553,36.56,36.56,36.71,36.43,2019-12-27,34540
5.45671e6,36.4418,36.5,36.44,36.64,36.2,2019-12-30,33676
5.23212e6,36.5805,36.37,36.6,36.735,36.32,2019-12-31,30889
7.538762e6,37.0518,37.0,37.38,37.38,36.55,2020-01-02,41983
9.292589e6,36.3677,36.73,36.32,36.92,36.11,2020-01-03,49064
8.532596e6,35.8918,35.95,35.84,36.18,35.8,2020-01-06,44801
1.772462e7,35.174,35.75,35.15,35.84,34.74,2020-01-07,83595
1.3327146e7,34.6785,35.04,34.65,35.2,34.41,2020-01-08,72241
9.759538e6,34.9044,34.99,35.08,35.1,34.5301,2020-01-09,48692
9.723131e6,34.7059,35.15,34.65,36.45,34.505,2020-01-10,54545
7.611077e6,34.8616,34.69,34.98,35.0,34.49,2020-01-13,41217
6.935768e6,35.1849,35.0,35.15,35.35,34.96,2020-01-14,42211
7.282691e6,35.1225,35.0,35.15,35.32,34.89,2020-01-15,44422
7.38569e6,35.4425,35.21,35.55,35.58,35.15,2020-01-16,43521
1.0508503e7,35.5718,35.57,35.6,35.7286,35.41,2020-01-17,43813
1.1734705e7,35.1073,35.36,34.99,35.55,34.96,2020-01-21,50378
7.503811e6,35.0348,35.13,34.91,35.3455,34.86,2020-01-22,41511
8.680109e6,34.6697,34.77,34.88,34.995,34.01,2020-01-23,48007
9.47168e6,34.3792,34.9,34.31,34.99,34.01,2020-01-24,54234
1.0516919e7,33.5196,33.63,33.41,33.76,33.17,2020-01-27,60974
8.965169e6,33.6308,33.57,33.64,33.86,33.34,2020-01-28,46426
7.066186e6,33.7189,33.8,33.6,34.04,33.59,2020-01-29,33584
1.1612875e7,33.2291,33.4,33.33,33.45,32.97,2020-01-30,63859
1.8850553e7,33.3661,33.25,33.39,33.49,33.14,2020-01-31,77974
1.8125297e7,33.8924,33.56,33.72,34.34,33.52,2020-02-03,80464
1.4481681e7,34.5647,34.35,34.37,34.82,34.2,2020-02-04,82546
1.9264658e7,34.7577,34.9,35.03,35.45,34.19,2020-02-05,107200
1.1978476e7,34.4795,35.05,34.33,35.1,34.25,2020-02-06,69383
1.4593779e7,33.7575,34.08,33.63,34.16,33.425,2020-02-07,73301
1.2447001e7,34.0259,33.99,34.25,34.3,33.67,2020-02-10,70288
1.2869848e7,34.8516,34.34,35.01,35.26,34.07,2020-02-11,74967
1.228342e7,35.4952,35.33,35.49,35.79,35.13,2020-02-12,64188
7.680326e6,35.3191,35.21,35.29,35.53,35.16,2020-02-13,42428
9.0161e6,34.7709,35.3,34.76,35.39,34.42,2020-02-14,49261
1.0962338e7,34.3362,34.25,34.41,34.74,33.955,2020-02-18,58384
9.210685e6,34.8831,34.53,34.92,35.1,34.52,2020-02-19,50164
8.013128e6,35.1798,34.66,35.29,35.4,34.59,2020-02-20,47566
8.707234e6,34.6005,34.99,34.65,35.08,34.41,2020-02-21,44425
1.5082054e7,33.1574,33.64,33.09,33.75,32.79,2020-02-24,79998
1.4756636e7,32.0163,33.25,31.75,33.28,31.395,2020-02-25,84638
1.4609867e7,32.1649,32.1,32.0,32.61,31.8853,2020-02-26,85797
1.5138311e7,31.1278,31.3,30.71,31.915,30.55,2020-02-27,92221
2.1178103e7,29.9525,29.78,30.5,30.5,29.33,2020-02-28,124597
1.5179749e7,30.7241,30.52,31.42,31.45,29.74,2020-03-02,88411
1.5968248e7,30.9691,31.5,30.52,32.3,30.26,2020-03-03,104718
1.639342e7,31.1054,31.0,31.53,31.565,30.355,2020-03-04,87922
1.8205232e7,30.3483,30.54,30.1,30.77,30.01,2020-03-05,111932
2.0257692e7,28.8657,29.21,28.69,29.54,28.45,2020-03-06,122600
2.8350796e7,25.0322,26.0,24.69,26.12,24.15,2020-03-09,154851
1.8509999e7,25.8745,25.98,27.12,27.14,24.59,2020-03-10,104386
2.1527817e7,26.1466,26.0,26.0,26.62,25.76,2020-03-11,140670
2.0706377e7,23.2527,23.6,23.04,24.345,22.5,2020-03-12,110606
1.8155074e7,23.9145,24.6,24.71,25.33,22.9,2020-03-13,109267
1.8056903e7,21.5826,21.51,21.0,22.41,21.0,2020-03-16,110191
2.3687929e7,20.1158,21.31,20.32,21.58,19.5,2020-03-17,146757
3.9910187e7,16.458,18.83,16.8,19.05,14.325,2020-03-18,217876
3.4758574e7,17.4305,16.34,17.71,18.99,15.0,2020-03-19,184527
3.6977066e7,18.3636,18.42,18.14,18.9569,17.68,2020-03-20,211391
2.5913253e7,17.7789,18.01,17.6,18.56,17.23,2020-03-23,179109
2.4488178e7,20.3726,19.32,21.11,21.6697,18.6,2020-03-24,152336
2.7965324e7,22.046,23.0,21.49,23.145,21.0,2020-03-25,179941
1.7237137e7,22.3236,21.64,22.56,22.97,21.0601,2020-03-26,113744
1.8672289e7,21.4154,21.37,21.38,21.96,20.74,2020-03-27,117774
1.891937e7,21.2875,22.31,21.32,22.48,20.6259,2020-03-30,116907
2.0552446e7,21.2308,20.97,20.78,22.21,20.55,2020-03-31,117797
