v,vw,o,c,h,l,t,n
2.605233e6,176.5349,177.38,176.43,177.38,175.81,2019-12-23,18286
651039.0,176.1645,176.44,176.31,176.85,175.73,2019-12-24,7539
1.287924e6,176.4197,176.56,176.88,176.9,175.72,2019-12-26,13875
1.327318e6,176.6952,177.08,176.48,177.24,176.29,2019-12-27,14271
1.687069e6,176.4588,176.56,176.42,177.0,175.76,2019-12-30,19909
1.749865e6,176.5403,176.46,177.0,177.08,175.46,2019-12-31,16772
2.897991e6,179.5401,177.5,180.79,180.8,177.14,2020-01-02,30062
2.846844e6,178.5342,178.34,178.86,179.83,177.41,2020-01-03,31630
3.313709e6,177.549,177.84,177.51,178.38,176.93,2020-01-06,28433
3.031719e6,176.981,177.37,177.61,178.07,175.59,2020-01-07,28667
2.572098e6,177.9449,177.67,177.76,179.1,176.73,2020-01-08,26216
1.821268e6,178.8816,178.7,179.07,179.425,178.06,2020-01-09,17133
1.710927e6,178.9082,179.9,178.68,179.9,178.14,2020-01-10,20977
2.301627e6,180.6224,179.25,181.27,181.34,178.69,2020-01-13,24819
2.236309e6,180.3636,180.49,180.45,181.215,179.51,2020-01-14,23601
2.643466e6,181.0298,181.29,180.73,182.44,179.85,2020-01-15,24943
2.252145e6,181.9435,181.5,182.26,182.49,180.79,2020-01-16,21265
2.931166e6,183.1431,182.86,183.23,184.06,182.53,2020-01-17,21125
2.233274e6,181.5262,183.04,180.93,183.2999,180.47,2020-01-21,21890
1.909173e6,180.4858,181.56,180.05,181.8794,179.81,2020-01-22,19521
2.460712e6,179.7926,179.81,179.58,180.54,179.03,2020-01-23,22807
2.763398e6,177.7286,179.92,177.13,180.2619,176.49,2020-01-24,27430
2.53987e6,174.3296,174.27,173.54,175.34,173.47,2020-01-27,30027
2.22172e6,175.4458,174.12,175.46,176.75,173.24,2020-01-28,24229
2.232231e6,176.4777,177.0,175.67,177.74,175.63,2020-01-29,22703
3.115611e6,176.769,173.8,178.34,178.77,173.8,2020-01-30,31517
5.562505e6,173.5129,177.91,173.22,177.91,171.3354,2020-01-31,55729
3.577873e6,172.6805,174.46,171.32,175.62,170.67,2020-02-03,37673
3.037747e6,175.0835,174.08,175.21,176.06,174.0,2020-02-04,29735
2.862059e6,176.8251,176.91,176.9,177.63,175.4,2020-02-05,29606
2.490307e6,176.8777,178.0,176.35,178.0,176.16,2020-02-06,24310
3.281573e6,175.5626,175.85,175.28,176.715,174.7,2020-02-07,33130
2.430673e6,176.2419,174.92,176.95,177.12,174.5,2020-02-10,28848
2.970629e6,179.1771,178.25,179.15,179.94,177.2,2020-02-11,33999
2.993432e6,180.8042,179.48,181.18,181.64,179.05,2020-02-12,30174
2.006037e6,179.8018,180.33,180.12,180.9538,178.69,2020-02-13,28704
2.516141e6,180.7597,180.51,180.81,181.86,179.975,2020-02-14,28445
1.85361e6,179.6649,180.1,179.42,180.4894,178.95,2020-02-18,22988
2.487889e6,180.9815,179.83,180.86,181.675,179.5,2020-02-19,28012
2.371665e6,180.4885,180.93,180.7,182.21,179.01,2020-02-20,26507
