v,vw,o,c,h,l,t,n
1.243822e6,134.9532,135.61,134.98,135.62,134.61,2019-12-24,13456
2.16785e6,134.9025,134.98,134.91,135.3055,134.65,2019-12-26,17320
2.812233e6,135.3262,135.0,135.27,135.75,134.87,2019-12-27,25357
4.178506e6,133.2149,135.2,132.81,135.3,132.5,2019-12-30,37209
3.852677e6,133.5052,132.53,134.04,134.12,132.4,2019-12-31,32744
3.222966e6,135.2494,135.0,135.42,135.92,134.7701,2020-01-02,35855
2.472337e6,134.3145,133.57,134.34,134.86,133.56,2020-01-03,24750
2.506132e6,133.837,133.42,134.1,134.24,133.2,2020-01-06,27137
3.339233e6,134.1264,133.69,134.19,134.96,133.4,2020-01-07,30076
4.41593e6,135.1128,134.51,135.31,135.86,133.92,2020-01-08,36117
3.820694e6,136.4667,135.74,136.74,136.79,135.31,2020-01-09,30680
3.328677e6,136.9225,137.0,136.69,137.87,136.31,2020-01-10,29821
3.667857e6,136.0081,135.48,136.6,136.64,135.07,2020-01-13,32631
3.75974e6,136.2333,136.28,135.82,137.139,135.55,2020-01-14,33732
4.116059e6,136.982,136.0,136.62,138.055,135.71,2020-01-15,39508
4.372921e6,137.6516,137.32,137.98,138.19,137.01,2020-01-16,36649
6.141668e6,137.4434,136.54,138.31,138.33,136.16,2020-01-17,44528
7.374977e6,139.3995,137.81,139.17,139.35,137.6,2020-01-21,66667
1.680652e7,144.0542,143.32,143.89,145.79,142.55,2020-01-22,125525
5.831422e6,142.9853,144.2,142.87,144.4097,142.15,2020-01-23,49395
5.668444e6,141.5105,143.39,140.56,143.92,140.46,2020-01-24,53014
4.282305e6,138.9065,138.5,138.62,140.069,138.1,2020-01-27,42608
3.522642e6,139.7354,139.5,139.55,140.47,138.75,2020-01-28,32450
3.208946e6,138.4061,139.17,137.69,139.58,137.595,2020-01-29,31429
5.139212e6,136.7082,136.76,136.77,136.97,134.97,2020-01-30,51614
1.9330297e7,142.9155,142.9,143.73,144.05,140.79,2020-01-31,153978
9.058867e6,146.3409,144.25,146.27,147.28,143.9,2020-02-03,81635
5.733846e6,148.6029,147.78,149.11,149.38,146.88,2020-02-04,56242
1.4591698e7,155.2606,150.21,156.33,157.44,150.15,2020-02-05,126147
8.678208e6,156.8449,156.82,156.76,158.75,155.42,2020-02-06,74934
6.544891e6,153.8426,154.55,153.41,155.54,152.92,2020-02-07,57639
5.365505e6,153.2836,152.97,154.43,154.44,151.58,2020-02-10,44132
3.965206e6,153.6111,155.12,153.48,155.22,152.7304,2020-02-11,40706
4.58033e6,154.8383,153.75,155.31,155.6,153.52,2020-02-12,40957
3.914638e6,154.274,154.37,154.31,154.83,153.41,2020-02-13,37237
6.181849e6,151.1665,154.42,150.7,154.56,149.77,2020-02-14,59889
3.512171e6,150.5119,149.79,151.1,151.38,149.64,2020-02-18,33325
2.813757e6,150.8453,151.54,150.86,151.89,150.31,2020-02-19,30363
