v,vw,o,c,h,l,t,n
6.708345e6,146.2955,145.74,146.44,146.76,145.3401,2019-12-23,41528
4.363453e6,145.8878,146.0,145.93,146.01,145.26,2019-12-24,18586
3.064354e6,145.6452,145.97,145.83,146.1827,145.16,2019-12-26,25893
3.505049e6,145.8183,146.2,145.75,146.55,145.54,2019-12-27,24397
2.981259e6,145.3739,145.78,145.3,146.2,145.03,2019-12-30,29458
4.483978e6,145.5442,145.1,145.87,146.01,144.78,2019-12-31,34352
5.769137e6,145.6247,145.87,145.97,146.02,145.08,2020-01-02,49942
6.142654e6,144.3506,143.5,144.28,145.373,143.0,2020-01-03,47778
7.887529e6,143.7024,144.0,144.1,144.2,142.85,2020-01-06,57123
7.500798e6,144.2253,144.01,144.98,145.45,141.38,2020-01-07,67139
6.713852e6,144.9191,144.87,144.96,145.98,143.7,2020-01-08,51096
6.229902e6,145.3948,145.76,145.39,146.03,144.99,2020-01-09,48754
5.137019e6,145.2851,145.75,145.06,146.18,144.9,2020-01-10,38436
4.726249e6,145.5273,145.48,145.7,145.79,144.72,2020-01-13,35326
7.158346e6,145.9606,145.05,146.52,146.61,144.73,2020-01-14,48522
5.061211e6,146.903,146.4,147.01,147.395,146.24,2020-01-15,43772
6.599303e6,147.938,147.42,148.2,148.84,146.2,2020-01-16,51135
1.0356562e7,148.8192,148.41,149.17,149.41,147.93,2020-01-17,53708
9.754719e6,149.4749,148.58,149.27,150.17,148.5,2020-01-21,67340
1.0384213e7,147.8213,146.7,148.25,149.18,146.0,2020-01-22,76002
8.786563e6,148.1214,148.04,148.53,148.77,146.755,2020-01-23,54488
9.171279e6,148.4169,148.58,148.32,148.945,147.93,2020-01-24,58955
7.727434e6,148.5639,147.52,148.75,149.46,147.0,2020-01-27,56848
7.455866e6,149.5597,148.46,149.5,150.57,148.15,2020-01-28,45859
6.395873e6,150.557,149.45,150.54,151.19,149.13,2020-01-29,49145
6.593361e6,149.8686,150.03,150.36,150.51,149.05,2020-01-30,57635
8.773264e6,149.0038,149.75,148.87,150.0,148.64,2020-01-31,66196
5.909659e6,150.0118,149.42,150.17,150.49,149.24,2020-02-03,47149
6.720127e6,151.851,151.49,151.6,152.75,151.2,2020-02-04,51757
6.120372e6,153.3246,151.72,153.99,154.02,151.31,2020-02-05,53755
6.348814e6,153.6856,154.25,153.53,154.5,152.74,2020-02-06,51800
5.811309e6,152.0311,153.34,151.89,153.455,151.55,2020-02-07,46183
4.954533e6,151.6876,151.68,151.86,151.91,150.8911,2020-02-10,37420
3.79777e6,152.0252,152.29,151.99,152.38,151.54,2020-02-11,37443
5.320856e6,151.2623,151.87,151.09,152.15,150.92,2020-02-12,41340
5.65967e6,150.2853,150.16,150.09,151.045,149.88,2020-02-13,42037
5.829692e6,149.8084,150.56,150.13,150.64,149.15,2020-02-14,42010
7.408517e6,149.5348,150.47,149.14,150.74,149.06,2020-02-18,47269
6.24893e6,148.8736,149.21,148.94,149.76,148.58,2020-02-19,48180
7.580282e6,148.3044,148.61,148.37,149.38,147.4043,2020-02-20,53996
8.250462e6,149.0795,148.09,149.93,150.24,147.54,2020-02-21,62303
1.08258e7,146.3807,146.5,145.91,149.0,145.25,2020-02-24,89610
1.069564e7,144.9746,145.99,144.65,146.75,143.83,2020-02-25,99906
1.0293122e7,144.3999,145.35,143.68,146.22,143.59,2020-02-26,87058
1.2790791e7,141.4607,142.56,139.12,144.77,138.95,2020-02-27,120574
2.024142e7,133.3967,135.36,134.48,137.29,130.82,2020-02-28,186417
1.1749137e7,137.421,134.78,140.02,140.13,134.0138,2020-03-02,117034
1.3903899e7,136.291,140.0,135.59,140.99,133.1,2020-03-03,141203
1.0768361e7,141.1209,137.68,143.48,143.64,137.14,2020-03-04,105038
1.1520184e7,141.1805,140.8,142.01,142.68,139.84,2020-03-05,102346
1.2499941e7,140.5362,138.48,142.03,143.01,137.41,2020-03-06,126587
1.4083316e7,136.9708,136.33,136.44,139.6799,134.9,2020-03-09,140508
1.2989962e7,138.8453,139.97,141.64,141.95,134.23,2020-03-10,130049
1.801844e7,133.7394,138.09,131.8,138.75,131.5,2020-03-11,160067
2.2053154e7,127.4251,127.31,125.41,133.765,124.5,2020-03-12,206500
2.0415521e7,129.4373,129.32,134.29,134.92,124.65,2020-03-13,212588
1.887793e7,129.0103,123.57,127.13,133.76,122.43,2020-03-16,190231
1.9213052e7,133.6693,128.55,136.59,136.77,127.81,2020-03-17,189503
1.7758726e7,132.6453,131.02,134.96,135.6696,128.71,2020-03-18,195544
1.869888e7,128.2952,134.99,127.05,134.99,126.15,2020-03-19,185747
2.1506031e7,123.2566,126.83,119.89,127.44,118.13,2020-03-20,172750
2.1233931e7,113.2436,117.0,111.14,118.56,109.16,2020-03-23,213334
1.7926721e7,117.1564,118.76,119.18,119.65,113.86,2020-03-24,171984
1.4284295e7,120.6172,118.91,119.4,123.96,116.7008,2020-03-25,141167
1.5226695e7,125.0364,120.57,126.57,127.1,120.38,2020-03-26,132503
1.2476622e7,123.3147,121.65,123.16,127.62,120.58,2020-03-27,115404
2.2129066e7,131.3541,128.46,133.01,133.99,127.5,2020-03-30,226544
1.6362103e7,132.1947,134.99,131.13,135.7097,130.05,2020-03-31,157980
1.2930794e7,128.588,127.7,128.81,130.23,125.5,2020-04-01,121856
1.1808123e7,130.7474,129.12,133.15,134.0,127.22,2020-04-02,114966
1.0234345e7,133.4882,132.38,134.17,134.785,131.58,2020-04-03,99458
1.5311909e7,138.0314,137.01,139.76,140.97,135.54,2020-04-06,139320
1.184479e7,139.4059,139.86,137.48,142.03,137.26,2020-04-07,122911
1.0921016e7,141.2953,137.75,143.26,144.13,137.3,2020-04-08,110314
1.1369778e7,142.1482,144.01,141.23,145.42,140.28,2020-04-09,126497
8.35804e6,139.523,140.0,139.77,141.4899,137.8404,2020-04-13,84026
1.4169329e7,145.9631,145.42,146.03,147.42,144.05,2020-04-14,128855
1.225109e7,146.2007,145.55,147.66,147.91,143.54,2020-04-15,113055
1.2428516e7,148.7037,148.31,149.67,150.68,146.44,2020-04-16,117344
1.1716094e7,151.1338,151.99,152.02,152.3,149.6,2020-04-17,101839
1.2441144e7,151.8391,150.93,151.67,153.0,150.09,2020-04-20,100798
1.0205984e7,150.0285,150.12,149.68,151.64,148.57,2020-04-21,97016
1.172392e7,153.5759,152.81,152.99,155.0,151.73,2020-04-22,105287
1.0830864e7,155.5319,154.25,155.51,157.0,153.6988,2020-04-23,99058
8.819234e6,154.6129,155.57,154.86,156.3,153.64,2020-04-24,76049
9.062745e6,154.7986,154.81,154.29,156.05,154.0,2020-04-27,73829
8.833404e6,152.0881,151.25,151.39,153.1,150.7,2020-04-28,83784
9.440038e6,150.5124,151.38,150.24,151.63,149.16,2020-04-29,93997
1.5084471e7,149.6015,148.46,150.04,150.43,147.16,2020-04-30,93076
7.451282e6,147.8279,149.62,148.29,149.67,146.79,2020-05-01,74798
7.334122e6,147.9672,148.77,148.27,149.08,147.09,2020-05-04,66236
6.689115e6,149.8718,149.0,149.5,150.78,148.64,2020-05-05,68683
6.311864e6,148.9576,150.0,148.08,150.32,148.04,2020-05-06,58381
5.698948e6,147.9469,149.37,147.59,149.525,147.1301,2020-05-07,58068
4.819815e6,148.5975,148.92,148.7,149.18,147.89,2020-05-08,47094
6.035326e6,149.1367,148.45,149.11,150.1,148.12,2020-05-11,52318
7.179683e6,148.4379,150.1,147.14,150.34,147.03,2020-05-12,67886
7.110841e6,147.1573,146.08,147.13,148.95,146.01,2020-05-13,72689
6.99769e6,146.608,145.39,147.64,147.76,144.257,2020-05-14,71002
1.0692167e7,148.9596,147.87,150.44,150.48,145.66,2020-05-15,78139
7.622052e6,151.3131,152.49,150.52,153.62,150.46,2020-05-18,76444
6.265652e6,149.4558,150.1,149.02,151.1,148.4,2020-05-19,63005
5.824664e6,148.5625,149.75,147.68,150.39,147.27,2020-05-20,62569
6.633494e6,147.0761,148.5,146.71,148.5,145.82,2020-05-21,70904
6.297477e6,144.7938,144.57,144.37,146.285,144.06,2020-05-22,65647
7.247173e6,145.4401,146.19,144.56,146.44,144.3,2020-05-26,69887
8.115153e6,144.0564,144.32,144.89,145.25,143.01,2020-05-27,80987
6.341576e6,147.1593,146.02,146.97,148.11,145.81,2020-05-28,62788
8.599366e6,148.01,147.96,148.75,149.35,145.33,2020-05-29,68388
6.250905e6,146.9303,147.29,147.19,148.34,146.01,2020-06-01,65166
6.185916e6,147.2623,147.06,148.25,148.35,146.12,2020-06-02,65280
6.444988e6,148.001,148.52,148.65,149.14,146.449,2020-06-03,65930
8.3454e6,146.4525,146.8,146.73,148.37,145.58,2020-06-04,76744
9.937812e6,147.8922,147.69,147.3,149.64,146.6,2020-06-05,87042
7.755233e6,146.6115,145.88,146.77,147.61,145.74,2020-06-08,71263
8.519769e6,147.3235,148.25,145.96,149.33,145.65,2020-06-09,83627
1.0274845e7,148.4908,146.6,147.8,150.03,146.6,2020-06-10,101526
1.2074333e7,142.9547,148.58,140.87,149.17,140.75,2020-06-11,148208
8.916589e6,142.1184,142.84,142.15,143.7067,140.28,2020-06-12,106553
8.801117e6,140.8383,141.0,141.25,142.397,139.3914,2020-06-15,94557
7.727426e6,144.2625,144.09,144.46,145.4219,142.77,2020-06-16,85516
5.194003e6,144.4691,144.9,144.02,145.42,143.47,2020-06-17,60883
4.93046e6,143.1953,142.52,143.41,144.115,141.87,2020-06-18,56259
1.4032081e7,144.5449,145.79,143.83,145.88,143.25,2020-06-19,75053
5.407441e6,142.9446,143.47,143.39,143.66,142.03,2020-06-22,60967
6.106877e6,143.334,143.74,142.86,144.08,142.68,2020-06-23,64696
8.365855e6,140.0973,141.49,139.82,142.19,138.72,2020-06-24,99125
7.520882e6,139.1891,140.57,139.67,140.57,137.54,2020-06-25,91762
1.2948789e7,137.9472,139.53,137.81,139.6,137.02,2020-06-26,93634
5.413005e6,138.8416,138.74,139.04,139.7,137.98,2020-06-29,53691
7.901669e6,139.9667,139.4,140.63,141.02,137.84,2020-06-30,58363
6.291571e6,140.7236,140.69,140.38,141.39,140.06,2020-07-01,61691
5.283934e6,140.9626,141.25,140.97,141.8386,140.33,2020-07-02,65163
6.311613e6,142.9505,142.17,142.98,143.77,141.88,2020-07-06,65878
5.745235e6,143.105,141.39,142.85,143.97,141.23,2020-07-07,56902
6.377394e6,142.7047,142.87,143.27,143.39,141.7,2020-07-08,65333
5.874588e6,142.5756,142.76,142.49,144.425,140.58,2020-07-09,65784
4.356185e6,142.307,142.75,142.37,142.87,141.425,2020-07-10,50055
7.08424e6,145.3757,143.61,145.21,146.639,143.28,2020-07-13,79306
7.575892e6,147.135,145.32,147.92,148.39,145.26,2020-07-14,72247
8.677317e6,148.751,149.73,148.26,150.205,148.23,2020-07-15,80247
9.415441e6,148.1348,148.68,149.25,149.34,146.68,2020-07-16,91535
8.132846e6,149.6553,150.0,149.35,150.5776,148.69,2020-07-17,72567
6.332357e6,149.5616,150.23,149.6,150.32,148.43,2020-07-20,63554
5.706929e6,150.326,149.6,149.74,151.6695,149.5,2020-07-21,60593
6.036043e6,149.2911,149.93,150.01,150.405,147.85,2020-07-22,55524
6.691766e6,150.0093,150.21,149.61,150.85,149.28,2020-07-23,63195
5.526991e6,148.1894,150.5,148.12,150.6,147.03,2020-07-24,64144
5.834706e6,147.544,147.37,147.18,148.92,146.86,2020-07-27,58598
4.910681e6,147.2462,147.4,146.83,147.99,146.75,2020-07-28,48179
4.624296e6,146.5261,146.39,146.54,147.47,146.07,2020-07-29,51226
6.05959e6,146.8625,147.44,146.84,147.5,146.14,2020-07-30,63268
8.380743e6,145.4388,146.66,145.76,147.45,143.96,2020-07-31,67994
4.186834e6,147.1463,146.39,147.35,147.79,146.15,2020-08-03,47029
4.25629e6,146.7151,146.99,147.22,147.22,145.8247,2020-08-04,47421
5.653935e6,148.4679,149.1,148.4,149.31,147.8,2020-08-05,70519
5.000423e6,147.428,148.4,147.55,149.25,146.5,2020-08-06,61585
3.722484e6,147.9791,147.51,148.6,148.65,147.15,2020-08-07,41436
4.169694e6,148.233,148.86,148.03,149.01,147.72,2020-08-10,43686
6.490972e6,147.755,149.14,146.97,149.23,146.37,2020-08-11,59851
5.352444e6,149.3456,147.54,149.66,150.24,147.49,2020-08-12,59071
5.268147e6,148.1707,148.54,148.0,149.19,147.53,2020-08-13,55858
4.384051e6,148.3841,147.61,148.24,149.34,147.58,2020-08-14,41400
4.401339e6,149.1998,148.32,148.99,150.23,148.23,2020-08-17,47446
4.396646e6,149.6693,149.26,150.09,150.1,148.57,2020-08-18,45107
7.94812e6,150.6868,149.58,150.39,151.58,149.32,2020-08-19,64006
4.976537e6,150.8811,149.75,151.42,151.58,149.5457,2020-08-20,52329
