v,vw,o,c,h,l,t,n
1.78984e6,19.6844,19.79,19.7,19.85,19.34,2019-12-23,10835
488921.0,19.5897,19.69,19.75,19.79,19.35,2019-12-24,4308
750317.0,19.8893,19.82,19.86,20.11,19.66,2019-12-26,6349
1.046852e6,19.5252,19.99,19.52,20.0,19.25,2019-12-27,8999
1.183298e6,19.1033,19.54,19.05,19.94,18.94,2019-12-30,10477
1.112406e6,19.4208,18.96,19.56,19.64,18.96,2019-12-31,8900
1.229434e6,19.1398,19.57,19.23,19.81,18.88,2020-01-02,10304
1.750976e6,19.0717,19.02,18.89,19.36,18.72,2020-01-03,7709
1.606505e6,18.2093,18.7,18.13,18.74,18.01,2020-01-06,11113
1.461935e6,17.9176,18.15,17.78,18.32,17.68,2020-01-07,9737
1.041551e6,17.9631,17.99,17.98,18.08,17.76,2020-01-08,7127
1.531344e6,18.4921,18.0,18.4,18.55,17.9,2020-01-09,9791
4.504819e6,20.035,21.0,19.14,21.0,19.05,2020-01-10,26149
2.207943e6,19.7648,19.26,20.26,20.36,18.6,2020-01-13,14525
1.782859e6,20.0156,20.45,20.0,20.4979,19.55,2020-01-14,11556
2.054963e6,20.3746,19.94,20.24,20.58,19.94,2020-01-15,12456
4.928102e6,21.3275,21.68,21.01,21.87,20.77,2020-01-16,27566
3.348525e6,20.9782,21.5,20.62,21.5,20.55,2020-01-17,15190
2.089578e6,21.1249,20.79,20.94,21.49,20.645,2020-01-21,14514
1.0920657e7,22.3904,22.08,21.97,23.2,21.7,2020-01-22,47551
3.663943e6,22.0134,22.17,21.47,22.65,21.4,2020-01-23,20916
2.947764e6,21.2218,21.6,21.12,21.8793,20.9,2020-01-24,15387
1.0294739e7,22.4367,22.1,22.74,23.12,21.12,2020-01-27,51501
5.649269e6,22.4609,23.5,22.36,23.5,21.8501,2020-01-28,28858
4.675832e6,21.4293,22.23,20.55,22.34,20.45,2020-01-29,24938
3.06181e6,21.1621,21.05,20.99,21.74,20.8,2020-01-30,18168
2.833631e6,20.5078,21.14,20.51,21.32,20.05,2020-01-31,20099
3.214618e6,20.423,20.66,20.38,21.06,19.7,2020-02-03,20709
1.824436e6,20.511,20.09,20.87,20.88,19.75,2020-02-04,12227
2.656824e6,20.1925,20.99,20.05,21.2,19.67,2020-02-05,16442
1.929739e6,19.9181,20.27,19.88,20.32,19.7,2020-02-06,13517
1.0144169e7,22.1316,19.79,23.24,23.39,19.79,2020-02-07,48819
9.356771e6,23.2902,23.5,23.65,23.95,22.3832,2020-02-10,48430
6.188339e6,21.6482,22.09,21.35,22.74,21.28,2020-02-11,33657
1.9231794e7,19.0855,19.64,19.01,19.67,18.5,2020-02-12,87668
6.837002e6,19.2325,19.36,19.045,19.8,18.89,2020-02-13,36692
5.384464e6,19.0097,19.27,19.0,19.29,18.85,2020-02-14,25020
4.129369e6,18.8466,19.14,18.91,19.35,18.57,2020-02-18,25954
3.148012e6,18.9697,19.09,18.92,19.24,18.725,2020-02-19,21069
4.562216e6,18.725,18.86,18.54,19.17,18.42,2020-02-20,21121
3.696712e6,18.177,18.47,18.23,18.55,17.91,2020-02-21,24501
7.605391e6,19.3863,19.23,18.59,19.28,18.3,2020-02-24,45691
6.5001881e7,22.9923,22.15,23.76,26.55,20.51,2020-02-25,309821
7.8016785e7,28.5437,29.05,29.16,29.98,27.08,2020-02-26,401291
6.8256337e7,30.1133,35.88,26.16,36.0,23.05,2020-02-27,363392
2.4425125e7,23.603,23.38,25.93,25.95,22.015,2020-02-28,125251
3.3084026e7,28.8382,27.0,29.88,30.75,25.21,2020-03-02,152228
1.7599114e7,27.5676,27.8035,27.91,28.6,26.6,2020-03-03,92680
1.1817666e7,27.7601,27.99,27.49,28.72,26.8,2020-03-04,61217
1.4669976e7,27.7922,27.49,28.01,28.95,26.535,2020-03-05,80807
2.1097488e7,28.9437,27.98,29.61,29.8,27.67,2020-03-06,111689
1.4124076e7,26.4929,30.0,24.29,30.0,24.16,2020-03-09,79620
1.3019516e7,22.468,25.71,22.34,25.94,21.28,2020-03-10,79007
1.4825434e7,24.0974,22.54,23.61,25.7491,22.5235,2020-03-11,85012
1.1305347e7,22.9997,22.8997,22.3,24.28,21.9,2020-03-12,70915
1.1853052e7,21.047,23.0,21.3,23.47,19.31,2020-03-13,82944
3.9850785e7,25.7404,23.76,26.49,27.8,22.22,2020-03-16,249726
4.4484144e7,29.9634,29.36,28.18,32.7,27.3148,2020-03-17,282956
2.870229e7,30.7496,27.13,31.58,32.54,26.55,2020-03-18,201241
3.6952753e7,30.2978,32.78,28.27,34.98,25.19,2020-03-19,219410
1.6522449e7,28.5833,29.25,28.2,30.23,26.2,2020-03-20,105473
1.1080845e7,27.8765,28.71,26.57,29.81,26.25,2020-03-23,87302
1.2550494e7,25.2796,27.09,25.82,27.25,24.36,2020-03-24,89227
9.651543e6,26.7055,25.0,27.13,27.98,24.79,2020-03-25,73053
5.585886e6,28.1282,27.56,27.94,28.79,27.56,2020-03-26,45516
