v,vw,o,c,h,l,t,n
6.508065e6,100.0579,100.23,100.04,100.69,99.55,2019-12-23,48726
3.383108e6,100.233,99.83,100.14,100.66,99.76,2019-12-24,25794
3.753113e6,100.5223,100.34,100.71,100.75,100.11,2019-12-26,27520
5.389014e6,101.4863,101.0,101.57,101.79,100.99,2019-12-27,40456
3.607787e6,100.9449,101.54,100.8,101.61,100.46,2019-12-30,35605
3.256081e6,101.0621,100.58,101.31,101.39,100.51,2019-12-31,26327
5.827081e6,101.6531,101.36,102.2,102.21,101.015,2020-01-02,46656
4.699747e6,101.6819,100.59,101.92,102.0,100.31,2020-01-03,38317
4.7732e6,101.4788,100.95,101.83,101.84,100.8686,2020-01-06,40385
6.937535e6,101.9042,101.81,101.78,102.74,100.8126,2020-01-07,52096
5.050731e6,101.6556,101.31,101.55,102.14,100.85,2020-01-08,46819
5.115329e6,101.7799,101.94,101.48,102.41,101.385,2020-01-09,47890
5.222581e6,101.1744,101.89,100.9,101.93,100.76,2020-01-10,42535
6.844347e6,101.9122,101.0,102.16,102.34,100.82,2020-01-13,34003
5.201984e6,103.0878,102.45,102.92,103.89,102.35,2020-01-14,43779
4.305583e6,102.8503,103.25,102.79,103.6999,102.475,2020-01-15,31512
6.677521e6,103.3321,102.88,103.37,103.57,102.85,2020-01-16,36621
6.911084e6,104.1534,103.43,104.53,104.55,103.34,2020-01-17,50086
5.020644e6,104.3626,104.25,104.58,104.69,103.81,2020-01-21,41458
5.136765e6,104.9095,105.0,104.49,105.62,104.42,2020-01-22,45592
7.194932e6,103.1492,104.03,103.02,104.37,102.62,2020-01-23,46458
3.94321e6,102.3679,103.59,102.03,103.89,101.66,2020-01-24,38624
9.999308e6,99.8847,98.21,100.24,100.71,98.01,2020-01-27,62544
5.79898e6,100.4597,100.34,100.41,101.05,99.52,2020-01-28,45770
4.595965e6,100.1658,101.07,99.84,101.3,99.17,2020-01-29,41122
7.162403e6,98.1289,99.02,98.19,99.75,97.37,2020-01-30,64577
8.941328e6,96.6939,98.11,96.3,98.45,95.92,2020-01-31,67413
9.926692e6,99.8581,99.0,99.27,100.92,98.57,2020-02-03,74292
6.760614e6,101.8266,101.91,101.38,102.78,101.26,2020-02-04,62130
6.275479e6,100.5134,101.76,100.54,101.97,99.53,2020-02-05,53943
5.744016e6,100.4042,100.9,100.27,101.53,100.155,2020-02-06,41057
4.219203e6,99.4478,99.81,99.44,100.4,98.97,2020-02-07,43090
