v,vw,o,c,h,l,t,n
4.813274e6,58.6421,58.71,58.57,59.0,58.42,2019-12-23,27740
1.475405e6,58.5677,58.9,58.35,58.92,58.275,2019-12-24,11510
2.738901e6,58.7542,58.34,58.9,59.02,58.3,2019-12-26,19466
3.647857e6,58.8432,58.92,59.02,59.03,58.38,2019-12-27,24717
3.265205e6,59.0664,59.09,58.91,59.6,58.81,2019-12-30,24354
3.305124e6,59.0644,58.82,58.96,59.47,58.81,2019-12-31,25522
5.583185e6,59.0966,59.28,59.08,59.59,58.6962,2020-01-02,35051
4.895885e6,58.9194,58.54,59.08,59.35,58.18,2020-01-03,34646
6.003622e6,59.2719,59.04,59.59,59.78,58.475,2020-01-06,41076
4.376063e6,59.1671,59.22,59.29,59.48,58.62,2020-01-07,36419
1.7434728e7,55.7353,56.05,55.83,56.8,54.91,2020-01-08,117368
8.471234e6,54.9462,55.79,54.68,56.09,54.615,2020-01-09,57454
6.688348e6,54.3298,54.84,54.22,54.88,54.06,2020-01-10,44718
5.51816e6,54.2176,54.2,54.06,54.66,53.98,2020-01-13,36988
4.466942e6,54.4358,54.04,54.62,54.71,53.82,2020-01-14,32898
3.49563e6,54.3422,54.54,54.43,54.7,54.08,2020-01-15,28321
4.974724e6,54.394,54.44,54.42,54.63,54.18,2020-01-16,30076
5.048287e6,54.5355,54.69,54.41,54.79,54.32,2020-01-17,32451
5.940731e6,53.896,54.39,53.87,54.39,53.46,2020-01-21,42062
3.703785e6,53.6498,53.73,53.42,54.04,53.4,2020-01-22,28344
4.993976e6,53.2567,53.34,53.3,53.6,52.81,2020-01-23,37618
6.41541e6,52.3075,53.32,52.04,53.3699,51.8945,2020-01-24,48981
5.108635e6,52.206,51.55,52.23,52.59,51.54,2020-01-27,40908
4.771222e6,52.6327,52.45,52.78,52.98,52.175,2020-01-28,33699
3.510453e6,52.5642,52.82,52.28,52.99,52.27,2020-01-29,25572
3.790868e6,51.6659,52.04,51.95,52.1274,51.18,2020-01-30,33919
6.532515e6,50.9998,51.71,50.85,51.915,50.66,2020-01-31,44100
5.153006e6,51.0737,51.04,50.95,51.485,50.92,2020-02-03,40601
4.911144e6,52.1449,51.56,52.34,52.425,51.335,2020-02-04,37236
5.386802e6,53.2013,52.85,52.98,53.65,52.5,2020-02-05,43885
4.400035e6,53.6207,53.51,53.49,54.245,53.17,2020-02-06,35644
