v,vw,o,c,h,l,t,n
4.705713e6,53.8503,53.95,53.82,54.04,53.735,2019-12-24,27392
1.2602096e7,54.2003,54.05,54.15,54.39,53.95,2019-12-26,48125
9.966329e6,53.9699,54.29,53.92,54.32,53.865,2019-12-27,52305
1.1015797e7,53.7691,54.17,53.6,54.26,53.5,2019-12-30,55060
1.2667144e7,53.6697,53.53,53.8,53.82,53.46,2019-12-31,53319
1.6999706e7,53.744,53.85,53.75,54.035,53.51,2020-01-02,75250
1.5804588e7,53.3216,53.11,53.42,53.615,52.9,2020-01-03,78818
1.3377216e7,53.051,52.74,53.1,53.2,52.72,2020-01-06,65976
1.3514725e7,52.7313,53.05,52.66,53.05,52.47,2020-01-07,65200
1.6715951e7,53.0115,52.84,52.82,53.33,52.795,2020-01-08,76326
2.1039557e7,52.679,53.2,52.73,53.2,52.48,2020-01-09,88246
1.3968536e7,52.6909,52.79,52.5,52.9,52.48,2020-01-10,64565
2.5495406e7,52.0424,52.5,52.11,52.5,51.83,2020-01-13,108111
5.7211242e7,49.9179,50.23,49.3,50.74,49.25,2020-01-14,255536
4.7762457e7,48.2586,48.83,48.32,48.84,47.98,2020-01-15,205334
3.733043e7,48.9752,48.46,49.25,49.32,47.84,2020-01-16,151263
3.1578413e7,49.0266,49.37,49.18,49.42,48.53,2020-01-17,107353
3.1189146e7,49.3005,49.09,48.94,49.88,48.8,2020-01-21,117100
2.0622328e7,48.5945,49.03,48.56,49.09,48.29,2020-01-22,94347
1.7465299e7,48.2049,48.39,48.22,48.45,47.98,2020-01-23,78990
2.1386781e7,47.5325,48.19,47.57,48.21,47.18,2020-01-24,106089
1.8467073e7,47.1319,46.89,47.1,47.415,46.74,2020-01-27,95612
1.6886188e7,47.4787,47.51,47.37,47.79,47.28,2020-01-28,77440
1.6354051e7,47.5265,47.42,47.27,47.895,47.26,2020-01-29,80029
1.4963026e7,47.5099,47.17,47.91,47.95,47.04,2020-01-30,78032
2.3256211e7,47.0203,47.42,46.94,47.45,46.75,2020-01-31,109175
