v,vw,o,c,h,l,t,n
2.284254e6,119.3917,119.13,119.51,119.6,119.01,2019-12-24,21790
4.259344e6,119.3152,119.61,119.52,119.85,118.95,2019-12-26,32684
3.599167e6,119.5651,119.94,119.59,119.94,119.245,2019-12-27,30974
3.005598e6,119.4745,119.8,119.4,119.81,119.13,2019-12-30,29237
4.97095e6,118.7311,119.5,118.84,119.8,118.19,2019-12-31,36215
6.793324e6,119.0897,118.86,118.94,119.89,118.7016,2020-01-02,61048
5.482362e6,118.0751,118.27,117.89,118.7886,117.59,2020-01-03,42196
6.569874e6,117.5241,117.4,117.65,118.09,116.77,2020-01-06,44341
6.937359e6,116.6731,117.26,116.56,117.515,116.2,2020-01-07,54641
5.961245e6,116.1901,116.3,116.16,116.73,115.68,2020-01-08,53486
5.676256e6,116.9471,116.15,117.36,117.37,116.0806,2020-01-09,49125
6.14664e6,116.427,117.24,116.38,117.34,115.98,2020-01-10,57645
6.208106e6,115.7796,116.38,115.88,116.55,115.37,2020-01-13,47857
6.688669e6,115.9534,115.47,116.18,116.2099,115.13,2020-01-14,46159
7.635157e6,115.0555,114.63,115.28,115.87,114.52,2020-01-15,62312
5.454999e6,115.7443,115.5,115.9,115.93,115.28,2020-01-16,39135
1.0727111e7,115.282,116.05,114.96,116.3,114.64,2020-01-17,65102
7.499828e6,115.268,114.59,115.59,115.69,114.5151,2020-01-21,61267
5.018318e6,116.1884,115.22,116.1,116.53,115.18,2020-01-22,46483
4.376465e6,115.6798,116.21,115.81,116.31,115.04,2020-01-23,39088
4.475208e6,114.8131,116.0,114.37,116.03,114.15,2020-01-24,44593
7.125277e6,115.3605,113.19,115.86,116.23,112.68,2020-01-27,60289
5.319941e6,116.5769,115.98,116.6,116.9,115.9496,2020-01-28,39100
3.836638e6,116.4178,116.56,115.89,117.12,115.89,2020-01-29,32130
4.63827e6,116.0774,115.61,116.58,116.72,115.3314,2020-01-30,44016
7.89572e6,114.6201,115.8,114.49,116.2599,113.9,2020-01-31,64985
4.453705e6,114.4953,114.9,114.27,115.39,114.1,2020-02-03,41360
5.324779e6,115.5174,115.24,115.27,116.24,114.89,2020-02-04,47185
5.728855e6,116.4303,115.6,116.81,116.95,114.85,2020-02-05,46175
5.465946e6,116.5707,116.83,116.31,117.23,116.06,2020-02-06,57460
3.750709e6,116.3708,116.11,116.45,116.76,115.76,2020-02-07,38319
6.25127e6,115.5965,115.75,115.25,116.98,115.045,2020-02-10,51320
5.881406e6,114.9976,115.43,115.4,115.5,114.44,2020-02-11,54568
4.812964e6,115.9766,115.5,115.85,116.42,115.41,2020-02-12,39825
5.385239e6,117.147,115.85,117.44,117.535,115.5809,2020-02-13,51278
8.204793e6,117.8682,117.67,117.89,118.57,117.155,2020-02-14,60596
1.1792698e7,119.051,118.47,119.63,119.95,117.36,2020-02-18,94280
7.341775e6,118.3547,119.5,117.68,119.94,117.68,2020-02-19,58660
5.130903e6,117.6044,117.21,117.69,118.11,116.86,2020-02-20,49688
6.53001e6,118.2946,117.44,118.58,118.75,117.31,2020-02-21,44804
6.81078e6,116.9408,117.46,116.32,118.46,115.952,2020-02-24,69094
7.847646e6,115.2426,116.35,114.39,117.07,114.05,2020-02-25,69726
6.810311e6,114.233,114.7,113.78,115.17,113.65,2020-02-26,67202
9.61165e6,112.0803,112.56,110.4,114.07,110.35,2020-02-27,95164
1.7774788e7,106.5821,107.69,107.68,108.52,104.37,2020-02-28,159090
1.7307004e7,114.0339,107.6,115.88,116.3973,107.29,2020-03-02,133977
1.1262851e7,114.2749,116.08,112.91,117.53,112.34,2020-03-03,111951
8.312574e6,115.4725,114.24,116.77,116.84,113.47,2020-03-04,76590
8.680919e6,115.7466,114.4,115.92,117.25,113.91,2020-03-05,84230
9.950194e6,115.7806,113.87,117.23,117.91,113.01,2020-03-06,101457
2.003774e7,117.8988,113.82,117.16,120.63,112.73,2020-03-09,191052
1.2735932e7,117.976,118.1,119.79,120.68,114.92,2020-03-10,130099
1.0673864e7,115.4204,117.51,114.43,119.03,112.8,2020-03-11,108356
1.9099859e7,106.7825,106.02,104.05,111.49,102.98,2020-03-12,178506
1.4468167e7,108.4006,108.24,114.1,114.59,103.88,2020-03-13,151366
1.2251302e7,108.1306,105.2,106.76,111.3292,102.0,2020-03-16,127531
1.7801867e7,116.1584,112.77,119.26,119.27,110.46,2020-03-17,182061
2.6119485e7,123.1019,115.0,122.58,128.08,114.5,2020-03-18,245916
1.9300137e7,122.3017,124.46,119.45,127.0,117.63,2020-03-19,166067
2.00161e7,116.2076,119.5,113.97,122.79,111.89,2020-03-20,160597
1.3398191e7,114.475,114.17,114.28,117.54,112.21,2020-03-23,138284
1.4454266e7,113.5932,115.87,115.03,117.37,111.31,2020-03-24,140928
1.7971123e7,110.243,112.97,109.4,114.0,108.05,2020-03-25,167366
1.9582805e7,108.5906,109.4,109.82,110.87,106.8466,2020-03-26,170571
1.2229344e7,109.9306,110.11,109.58,112.28,108.6007,2020-03-27,116100
9.937631e6,113.6558,111.86,115.19,115.8,110.9372,2020-03-30,98509
8.902117e6,114.4994,114.31,113.62,116.19,112.64,2020-03-31,87468
9.627005e6,114.3047,112.15,114.14,115.53,111.8,2020-04-01,95269
9.934162e6,116.2974,113.18,118.65,119.11,112.335,2020-04-02,85424
9.639953e6,118.3895,117.21,119.48,119.91,117.03,2020-04-03,86634
1.6250812e7,123.8132,119.06,126.07,126.39,118.94,2020-04-06,135808
1.404393e7,123.9737,123.98,121.99,126.49,121.64,2020-04-07,116533
9.418212e6,121.8159,123.69,121.84,123.81,120.59,2020-04-08,89741
1.1194954e7,121.4533,118.22,121.8,122.87,117.66,2020-04-09,117063
8.164669e6,124.1714,121.27,125.3,125.67,121.17,2020-04-13,78864
1.1612154e7,128.6151,127.1,129.0,129.79,126.0352,2020-04-14,100422
7.715251e6,128.6377,129.0,128.76,129.88,127.12,2020-04-15,80525
1.0758134e7,131.2133,129.0,132.33,132.92,128.25,2020-04-16,110194
1.0725546e7,131.2075,131.48,132.12,132.97,129.725,2020-04-17,104754
8.312627e6,131.37,132.39,129.85,133.38,129.76,2020-04-20,74969
9.4564e6,129.5142,130.07,129.21,131.03,128.16,2020-04-21,100869
6.606963e6,131.0343,130.0,131.59,132.38,128.9,2020-04-22,66962
9.803873e6,129.382,129.85,128.53,131.0895,127.73,2020-04-23,93778
5.863073e6,129.2483,129.35,129.44,129.89,128.56,2020-04-24,53496
6.063775e6,128.8739,130.0,128.3,130.3076,128.17,2020-04-27,57822
7.10842e6,128.616,128.28,128.0,130.24,127.7,2020-04-28,74728
1.5027313e7,124.0677,125.57,123.6,125.76,122.55,2020-04-29,147011
1.3653228e7,121.8228,123.08,121.55,123.4362,121.04,2020-04-30,110327
1.0471241e7,122.126,121.48,122.92,123.69,120.78,2020-05-01,105579
6.046624e6,123.2344,123.84,123.7,124.4,121.71,2020-05-04,66090
6.52394e6,124.5762,123.8,124.73,125.26,123.26,2020-05-05,68331
5.867192e6,124.1383,125.21,123.3,125.49,122.845,2020-05-06,57564
9.220895e6,122.5345,123.46,121.89,123.98,121.5,2020-05-07,68477
7.006561e6,122.3759,122.75,122.94,123.01,121.62,2020-05-08,69390
8.5404e6,123.6502,123.04,123.67,124.31,123.01,2020-05-11,61620
6.457658e6,124.6421,124.48,123.78,125.66,123.78,2020-05-12,67660
9.877875e6,124.3153,123.5,123.71,126.24,123.09,2020-05-13,91696
7.511901e6,122.9969,124.85,123.42,125.13,121.3001,2020-05-14,81398
1.0852349e7,124.8116,123.47,125.94,125.94,123.09,2020-05-15,81182
1.331334e7,127.4966,127.5,127.66,128.555,126.1,2020-05-18,124223
2.5210786e7,128.2317,131.75,124.95,131.99,124.81,2020-05-19,221257
1.0978825e7,125.5388,126.49,125.45,126.59,124.63,2020-05-20,97991
7.579685e6,125.1261,124.89,124.99,126.14,124.25,2020-05-21,71646
