timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,70.5,71.0,69.31,69.38,53.4229053515,949300,0.0,1.0
1999-11-02,69.19,71.75,69.13,69.75,53.7078069799,543000,0.0,1.0
1999-11-03,69.81,69.88,68.31,68.75,52.9378025787,924000,0.0,1.0
1999-11-04,69.69,70.75,69.44,70.13,54.0004086523,570400,0.0,1.0
1999-11-05,72.0,74.31,71.25,73.69,56.7416243204,1304900,0.0,1.0
1999-11-08,73.5,73.5,72.5,73.0,56.2103212836,651600,0.0,1.0
1999-11-09,73.5,73.56,71.75,71.88,55.3479163543,695600,0.0,1.0
1999-11-10,71.0,72.75,70.63,71.94,55.3941166184,678700,0.0,1.0
1999-11-11,72.0,73.5,71.56,73.31,56.449022648,574300,0.0,1.0
1999-11-12,73.94,79.81,73.75,79.75,61.4078509913,2227700,0.0,1.0
1999-11-15,78.75,79.94,77.25,78.0,60.0603432893,997100,0.0,1.0
1999-11-16,78.38,83.0,78.38,82.81,63.7640644588,1505100,0.0,1.0
1999-11-17,81.13,81.38,78.56,79.56,61.2615501551,1245400,0.0,1.0
1999-11-18,79.81,81.13,79.25,80.19,61.7466529278,1111500,0.0,1.0
1999-11-19,80.0,80.88,79.63,79.94,61.5541518276,329600,0.0,1.0
1999-11-22,79.5,80.25,78.5,79.69,61.3616507273,329900,0.0,1.0
1999-11-23,79.94,80.63,77.5,77.75,59.867842189,656300,0.0,1.0
1999-11-24,77.5,77.75,76.75,77.13,59.3904394603,515700,0.0,1.0
1999-11-26,77.19,77.75,76.63,77.31,59.5290402525,107600,0.0,1.0
1999-11-29,77.25,77.25,74.38,74.5,57.3653278853,517900,0.0,1.0
1999-11-30,74.75,77.13,74.5,75.13,57.850430658,925000,0.0,1.0
1999-12-01,74.75,76.19,74.75,76.19,58.6666353233,500000,0.0,1.0
1999-12-02,76.25,77.63,76.25,77.5,59.6753410888,453600,0.0,1.0
1999-12-03,78.5,80.69,78.38,79.06,60.8765479545,669500,0.0,1.0
1999-12-06,79.19,79.31,76.56,77.0,59.2903388882,295100,0.0,1.0
1999-12-07,77.25,80.94,77.25,80.94,62.3241562287,883100,0.0,1.0
1999-12-08,81.81,81.81,80.0,80.0,61.6003520916,732200,0.0,1.0
