timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,41.75,42.0,41.25,41.69,23.8658325961,3932900,0.0,1.0
1999-11-02,42.06,42.13,41.06,41.25,23.6139504578,2250000,0.0,1.0
1999-11-03,41.25,43.44,41.06,41.94,24.0089474473,7600400,0.0,1.0
1999-11-04,43.69,45.25,43.44,45.19,25.8694405137,9834800,0.0,1.0
1999-11-05,45.69,46.63,45.63,46.5,26.6193623343,7184900,0.0,1.0
1999-11-08,45.88,47.06,45.75,47.0,26.9055920368,7536900,0.0,1.0
1999-11-09,47.0,47.13,45.81,46.38,26.5506672057,5760500,0.0,1.0
1999-11-10,45.69,46.25,45.5,46.06,26.3674801961,3561800,0.0,1.0
1999-11-11,46.25,47.31,46.0,47.0,26.9055920368,2985900,0.0,1.0
1999-11-12,47.69,49.56,47.44,48.38,27.6955860158,6391000,0.0,1.0
1999-11-15,47.56,48.13,46.44,46.88,26.8368969082,2396900,0.0,1.0
1999-11-16,46.5,47.13,46.19,46.19,26.4418999187,2486800,0.0,1.0
1999-11-17,46.06,46.31,45.81,46.13,26.4075523544,2465700,0.0,1.0
1999-11-18,46.0,48.0,45.81,47.0,26.9055920368,7491500,0.0,1.0
1999-11-19,46.0,47.44,45.63,47.38,27.1231266107,5732100,0.0,1.0
1999-11-22,46.81,47.13,46.63,46.91,26.8540706904,3827500,0.0,1.0
1999-11-23,47.06,47.06,46.44,46.69,26.7281296213,2622700,0.0,1.0
1999-11-24,46.06,46.38,45.38,45.38,25.9782078007,2557700,0.0,1.0
1999-11-26,45.44,45.44,44.56,44.56,25.5087910885,1405700,0.0,1.0
1999-11-29,44.75,45.69,44.56,45.5,26.0748103253,2631100,0.0488,1.0
1999-11-30,45.5,46.38,45.0,45.13,25.8627734061,3006200,0.0,1.0
1999-12-01,45.13,46.75,45.0,46.02,26.3728081575,3369400,0.0,1.0
1999-12-02,46.06,46.06,44.88,45.19,25.8971577714,3755700,0.0,1.0
1999-12-03,45.63,46.06,45.25,45.88,26.2925779719,3549800,0.0,1.0
1999-12-06,45.31,46.25,45.25,46.06,26.3957310677,1583800,0.0,1.0
1999-12-07,45.69,45.75,44.5,44.69,25.6106213942,2930800,0.0,1.0
1999-12-08,44.81,45.31,44.38,44.56,25.5361219361,1940500,0.0,1.0
1999-12-09,44.75,45.25,44.38,44.64,25.5819677565,2958300,0.0,1.0
1999-12-10,43.25,43.69,42.69,43.25,24.7853966279,9404900,0.0,1.0
1999-12-13,43.13,43.25,42.0,42.0,24.0690556848,5097000,0.0,1.0
1999-12-14,42.0,42.06,41.25,41.25,23.639251119,5023900,0.0,1.0
1999-12-15,41.69,42.38,41.56,41.81,23.9601718615,2644500,0.0,1.0
1999-12-16,41.94,42.0,41.31,41.81,23.9601718615,2761700,0.0,1.0
1999-12-17,42.44,42.44,41.19,41.25,23.639251119,5302900,0.0,1.0
1999-12-20,41.88,42.94,41.63,42.3,24.2409775112,3302800,0.0,1.0
1999-12-21,41.63,42.19,40.94,41.63,23.8570187657,4031000,0.0,1.0
1999-12-22,41.5,41.69,41.0,41.06,23.5303672957,3837600,0.0,1.0
1999-12-23,41.13,41.13,39.56,40.5,23.2094465532,5596300,0.0,1.0
1999-12-27,40.94,42.0,40.81,40.81,23.3870991071,2753700,0.0,1.0
1999-12-28,41.5,41.56,40.25,40.63,23.2839460113,2932900,0.0,1.0
1999-12-29,40.38,40.56,40.0,40.19,23.0317939994,2706800,0.0,1.0
1999-12-30,39.81,40.25,39.63,39.81,22.8140263527,2406300,0.0,1.0
1999-12-31,39.94,40.5,38.81,40.31,23.1005627299,1444400,0.0,1.0
2000-01-03,39.94,40.06,39.5,39.63,22.7108732569,4520600,0.0,1.0
2000-01-04,39.31,39.56,38.38,38.81,22.2409535983,4216500,0.0,1.0
2000-01-05,38.81,40.38,38.81,39.63,22.7108732569,5231600,0.0,1.0
2000-01-06,39.13,39.38,38.69,38.88,22.2810686911,4809400,0.0,1.0
2000-01-07,39.0,40.0,38.88,39.88,22.8541414455,5124700,0.0,1.0
2000-01-10,40.0,41.0,39.75,40.06,22.9572945413,4113900,0.0,1.0
2000-01-11,40.13,41.5,40.13,41.0,23.4959829304,5440200,0.0,1.0
2000-01-12,40.94,43.06,40.63,42.75,24.4988602507,8090000,0.0,1.0
2000-01-13,42.69,43.63,41.88,42.31,24.2467082387,5700200,0.0,1.0
2000-01-14,42.81,42.81,41.88,42.61,24.418630065,3365400,0.0,1.0
2000-01-18,42.38,42.5,41.19,41.5,23.7825193076,3401100,0.0,1.0
2000-01-19,41.0,42.63,41.0,42.38,24.2868233315,3344700,0.0,1.0
2000-01-20,42.56,42.56,41.0,42.56,24.3899764273,3309700,0.0,1.0
2000-01-21,41.63,41.88,40.44,41.06,23.5303672957,3722600,0.0,1.0
2000-01-24,41.25,41.44,39.5,39.5,22.6363737988,3593500,0.0,1.0
2000-01-25,39.75,40.25,39.19,39.81,22.8140263527,3304500,0.0,1.0
2000-01-26,39.63,39.63,34.69,35.75,20.4873509698,16703200,0.0,1.0
2000-01-27,36.0,37.94,35.88,37.63,21.5647277481,12082200,0.0,1.0
2000-01-28,37.13,37.44,36.38,36.75,21.0604237242,4444200,0.0,1.0
2000-01-31,37.25,38.0,37.13,37.38,21.4214595595,4838300,0.0,1.0
2000-02-01,37.44,37.56,36.5,36.63,20.9916549937,4679500,0.0,1.0
2000-02-02,36.63,36.75,35.38,35.5,20.3440827812,5769100,0.0,1.0
2000-02-03,35.56,36.19,34.44,35.0,20.057546404,9225700,0.0,1.0
2000-02-04,35.88,35.88,34.62,35.12,20.1263151346,7752200,0.0,1.0
2000-02-07,35.25,35.63,34.0,34.94,20.0231620388,9992900,0.0,1.0
2000-02-08,36.0,37.63,35.5,36.31,20.8082717123,12144800,0.0,1.0
2000-02-09,36.69,36.69,35.38,35.88,20.5618504279,5915400,0.0,1.0
2000-02-10,35.5,36.25,35.13,35.5,20.3440827812,5353400,0.0,1.0
2000-02-11,35.06,35.44,34.81,34.94,20.0231620388,3920500,0.0,1.0
