timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,78.94,79.94,78.94,79.56,33.8144800665,2862700,0.0,1.0
1999-11-02,79.56,80.19,78.0,78.06,33.1769521618,3186000,0.0,1.0
1999-11-03,79.44,80.88,78.75,79.13,33.6317220671,4428900,0.0,1.0
1999-11-04,79.56,80.69,79.06,79.69,33.8697324849,4144900,0.0,1.0
1999-11-05,79.94,81.13,79.5,80.38,34.1629953211,3816200,0.0,1.0
1999-11-08,80.44,80.5,78.94,78.94,33.5509685325,2504200,0.0,1.0
1999-11-09,79.19,79.38,77.69,78.0,33.1514510456,2716100,0.0,1.0
1999-11-10,76.13,78.0,76.13,77.56,32.9644428602,3785200,0.0,1.0
1999-11-11,77.38,77.56,75.31,76.75,32.6201777916,3938200,0.0,1.0
1999-11-12,76.5,76.63,74.63,75.94,32.2759127231,3965900,0.0,1.0
1999-11-15,75.25,76.13,75.0,75.19,31.9571487707,3742700,0.0,1.0
1999-11-16,75.31,76.0,74.38,76.0,32.3014138393,5123800,0.0,1.0
1999-11-17,75.94,78.0,75.75,77.25,32.8326870932,4944800,0.0,1.0
1999-11-18,78.31,79.0,77.63,78.69,33.4447138817,3576700,0.0,1.0
1999-11-19,78.06,79.69,78.06,79.38,33.7379767179,4142700,0.0,1.0
1999-11-22,79.19,79.19,77.88,78.73,33.4617146259,3578100,0.0,1.0
1999-11-23,78.81,78.88,77.44,78.13,33.206703464,2486800,0.0,1.0
1999-11-24,78.19,80.06,78.0,79.69,33.8697324849,4190500,0.0,1.0
1999-11-26,79.94,80.0,79.63,79.88,33.9504860195,2056300,0.0,1.0
1999-11-29,79.69,80.31,78.88,80.0,34.0014882519,4443500,0.0,1.0
1999-11-30,79.56,79.75,77.94,78.69,33.4447138817,4077300,0.0,1.0
1999-12-01,77.75,78.13,75.13,76.39,32.5904264894,4222700,0.29,1.0
1999-12-02,74.5,76.13,74.5,75.38,32.1595280635,3472100,0.0,1.0
1999-12-03,76.19,77.44,75.75,77.38,33.0127922732,4405000,0.0,1.0
1999-12-06,77.75,77.75,75.06,75.67,32.2832513739,4449700,0.0,1.0
1999-12-07,75.63,75.63,72.5,73.19,31.2252037539,5461500,0.0,1.0
1999-12-08,74.25,74.31,72.38,73.3,31.2721332854,5175000,0.0,1.0
1999-12-09,74.0,74.88,71.0,71.19,30.3719395442,4865700,0.0,1.0
1999-12-10,71.69,72.69,70.88,71.44,30.4785975704,5287200,0.0,1.0
1999-12-13,70.25,71.0,68.0,68.25,29.1176411559,7737000,0.0,1.0
1999-12-14,68.0,69.69,66.81,69.69,29.7319913869,7336300,0.0,1.0
1999-12-15,68.69,71.94,68.69,71.69,30.5852555966,6678900,0.0,1.0
1999-12-16,71.5,71.5,68.63,69.44,29.6253333607,4909400,0.0,1.0
1999-12-17,70.25,70.38,66.56,66.56,28.3966328987,11138400,0.0,1.0
1999-12-20,66.63,67.69,66.19,66.63,28.4264971461,5166900,0.0,1.0
1999-12-21,66.38,67.31,66.06,66.06,28.1833168463,5411600,0.0,1.0
1999-12-22,66.06,68.25,66.06,67.19,28.6654111248,4767100,0.0,1.0
1999-12-23,69.88,70.25,69.06,69.75,29.7575893132,3967300,0.0,1.0
1999-12-27,69.44,70.75,69.25,70.5,30.0775633918,3297700,0.0,1.0
1999-12-28,70.25,70.38,68.81,69.75,29.7575893132,3573900,0.0,1.0
1999-12-29,70.0,70.0,67.56,68.25,29.1176411559,3433900,0.0,1.0
1999-12-30,68.06,68.75,67.31,67.81,28.9299230298,3329100,0.0,1.0
1999-12-31,67.88,68.13,66.94,67.19,28.6654111248,2476400,0.0,1.0
2000-01-03,68.63,68.63,67.5,67.63,28.8531292509,5978800,0.0,1.0
2000-01-04,67.0,67.81,64.75,65.25,27.8377448414,7533100,0.0,1.0
2000-01-05,65.06,68.88,65.06,68.25,29.1176411559,7598300,0.0,1.0
2000-01-06,67.81,69.19,67.69,68.38,29.1731033296,4760500,0.0,1.0
2000-01-07,69.81,75.25,69.63,74.94,31.9718099374,10373300,0.0,1.0
2000-01-10,74.75,74.81,72.13,72.75,31.0374856278,5726800,0.0,1.0
2000-01-11,72.06,73.69,71.38,72.81,31.063083554,5023300,0.0,1.0
2000-01-12,73.63,75.19,73.44,74.44,31.758493885,4990400,0.0,1.0
2000-01-13,74.81,76.13,73.81,74.75,31.8907498375,5353500,0.0,1.0
2000-01-14,75.25,75.94,72.69,74.13,31.6262379324,5540200,0.0,1.0
2000-01-18,73.13,73.56,70.56,70.81,30.2098193444,5299700,0.0,1.0
2000-01-19,71.75,72.69,71.25,71.5,30.5041954967,4761600,0.0,1.0
2000-01-20,71.94,73.19,71.44,72.94,31.1185457277,4986300,0.0,1.0
2000-01-21,74.5,74.5,71.56,72.44,30.9052296753,7928900,0.0,1.0
2000-01-24,73.0,73.0,69.06,70.25,29.9709053656,5189100,0.0,1.0
2000-01-25,71.13,72.0,70.63,70.88,30.2396835917,5446100,0.0,1.0
2000-01-26,71.0,73.0,70.63,72.81,31.063083554,5357500,0.0,1.0
2000-01-27,73.13,75.44,73.0,74.13,31.6262379324,7747200,0.0,1.0
2000-01-28,75.5,78.44,75.25,76.38,32.5861601684,9823000,0.0,1.0
2000-01-31,75.69,79.0,74.56,78.63,33.5460824043,8006300,0.0,1.0
2000-02-01,77.38,77.94,75.5,76.81,32.7696119734,5026400,0.0,1.0
2000-02-02,77.31,78.38,75.94,76.88,32.7994762208,4642700,0.0,1.0
2000-02-03,76.31,76.69,75.38,76.25,32.5306979947,3874000,0.0,1.0
2000-02-04,76.88,76.88,74.94,75.06,32.02300579,4262100,0.0,1.0
2000-02-07,74.25,75.44,73.75,75.25,32.1040658899,4170200,0.0,1.0
2000-02-08,75.5,75.88,75.06,75.44,32.1851259898,3939200,0.0,1.0
2000-02-09,74.13,74.19,70.88,71.38,30.4529996441,6927300,0.0,1.0
2000-02-10,70.0,70.25,68.0,69.0,29.4376152346,7019500,0.0,1.0
2000-02-11,67.63,68.13,64.31,65.25,27.8377448414,9213400,0.0,1.0
2000-02-14,65.5,66.44,64.0,66.06,28.1833168463,8933100,0.0,1.0
