timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-07-26,48.48,48.67,47.5,47.9,31.35100815,101000,0.0,1.0
2007-07-27,47.76,48.04,47.15,47.21,30.8993965503,579000,0.0,1.0
2007-07-30,47.87,48.14,47.66,47.96,31.3902787238,298400,0.0,1.0
2007-07-31,48.51,48.67,47.9,47.9,31.35100815,210400,0.0,1.0
2007-08-01,47.63,49.0,47.24,48.1,31.4819100629,353900,0.0,1.0
2007-08-02,47.92,48.14,47.66,47.96,31.3902787238,251800,0.0,1.0
2007-08-03,47.82,47.82,47.14,47.17,30.8732161677,309600,0.0,1.0
2007-08-06,47.29,47.9,47.25,47.89,31.3444630543,232100,0.0,1.0
2007-08-07,47.4,48.24,47.4,47.96,31.3902787238,181800,0.0,1.0
2007-08-08,48.4,48.9,48.38,48.68,31.8615256104,135700,0.0,1.0
2007-08-09,47.59,47.85,47.2,47.22,30.9059416459,195800,0.0,1.0
2007-08-10,47.25,47.25,46.19,46.59,30.4936006202,291300,0.0,1.0
2007-08-13,47.03,47.11,46.67,46.67,30.5459613853,133700,0.0,1.0
2007-08-14,46.91,46.91,46.05,46.07,30.1532556465,64200,0.0,1.0
2007-08-15,45.47,45.9888,44.97,44.98,29.439840221,345800,0.0,1.0
2007-08-16,44.73,44.79,43.69,44.77,29.3023932124,552000,0.0,1.0
2007-08-17,45.7,45.7,44.88,45.42,29.7278244295,403200,0.0,1.0
2007-08-20,45.63,45.63,45.0,45.46,29.754004812,672200,0.0,1.0
2007-08-21,45.33,45.6346,45.33,45.45,29.7474597164,41200,0.0,1.0
2007-08-22,46.18,46.59,46.18,46.59,30.4936006202,96800,0.0,1.0
2007-08-23,46.95,47.01,46.5,46.79,30.6245025331,329600,0.0,1.0
2007-08-24,46.81,47.54,46.79,47.54,31.1153847067,112700,0.0,1.0
2007-08-27,47.3,47.3,47.07,47.07,30.8077652112,111200,0.0,1.0
2007-08-28,46.76,46.76,45.9,45.92,30.0550792118,256100,0.0,1.0
2007-08-29,46.55,47.15,46.37,47.14,30.8535808808,177400,0.0,1.0
2007-08-30,46.43,47.13,46.43,46.8,30.6310476288,173300,0.0,1.0
2007-08-31,47.76,47.98,47.5328,47.86,31.3248277674,684900,0.0,1.0
2007-09-04,47.62,48.18,47.47,48.09,31.4753649672,136700,0.0,1.0
2007-09-05,47.35,47.41,47.13,47.26,30.9321220285,90600,0.0,1.0
2007-09-06,47.4146,47.66,47.19,47.54,31.1153847067,278000,0.0,1.0
2007-09-07,47.01,47.07,46.74,46.88,30.6834083939,197200,0.0,1.0
2007-09-10,47.0,47.0434,46.36,46.69,30.5590515766,176800,0.0,1.0
2007-09-11,47.16,47.54,47.16,47.53,31.108839611,685900,0.0,1.0
2007-09-12,47.3,47.67,47.25,47.49,31.0826592284,56200,0.0,1.0
2007-09-13,47.73,47.914,47.65,47.75,31.2528317152,137700,0.0,1.0
2007-09-14,47.28,47.63,47.23,47.54,31.1153847067,164700,0.0,1.0
2007-09-17,47.11,47.19,46.7,46.86,30.6703182026,99400,0.0,1.0
2007-09-18,47.12,48.48,47.06,48.35,31.6455374541,147200,0.0,1.0
2007-09-19,48.83,49.13,48.77,48.86,31.9793373321,115100,0.0,1.0
2007-09-20,48.88,49.1,48.74,48.76,31.9138863756,378600,0.0,1.0
2007-09-21,49.13,49.2646,48.99,49.11,32.1429647233,212800,0.0,1.0
2007-09-24,49.33,49.34,49.01,49.06,32.110239245,165400,0.0,1.0
2007-09-25,48.94,49.3,48.89,49.3,32.2673215406,56100,0.0,1.0
2007-09-26,49.54,49.59,49.34,49.48,32.3851332622,94000,0.0,1.0
2007-09-27,50.06,50.08,49.83,50.07,32.7712939054,191900,0.0,1.0
2007-09-28,50.14,50.31,49.89,50.14,32.8171095749,258000,0.0,1.0
2007-10-01,50.18,50.91,50.14,50.86,33.2883564615,640000,0.0,1.0
2007-10-02,50.77,50.78,50.48,50.7,33.1836349312,375000,0.0,1.0
2007-10-03,50.62,50.65,50.39,50.42,33.000372253,581100,0.0,1.0
2007-10-04,50.62,50.7146,50.42,50.64,33.1443643573,815600,0.0,1.0
2007-10-05,50.86,51.25,50.85,51.13,33.465074044,405800,0.0,1.0
2007-10-08,50.79,50.8,50.55,50.64,33.1443643573,245200,0.0,1.0
2007-10-09,50.76,51.27,50.76,51.27,33.556705383,183200,0.0,1.0
2007-10-10,51.04,51.1925,50.92,51.12,33.4585289483,202700,0.0,1.0
2007-10-11,51.68,51.92,51.28,51.37,33.6221563395,154000,0.0,1.0
2007-10-12,51.3,51.63,51.22,51.52,33.7203327742,180400,0.0,1.0
2007-10-15,51.51,51.52,50.94,51.08,33.4323485658,299500,0.0,1.0
2007-10-16,50.57,50.6146,50.3078,50.38,32.9741918704,476200,0.0,1.0
2007-10-17,51.04,51.07,50.57,50.9,33.3145368441,266400,0.0,1.0
2007-10-18,50.85,51.12,50.79,51.02,33.3930779919,165100,0.0,1.0
2007-10-19,50.74,50.75,49.92,49.95,32.6927527576,365600,0.0,1.0
2007-10-22,49.55,49.8,49.39,49.78,32.5814861316,493200,0.0,1.0
2007-10-23,50.47,50.61,50.17,50.6,33.1181839747,408300,0.0,1.0
2007-10-24,50.38,50.4616,49.73,50.44,33.0134624443,197500,0.0,1.0
2007-10-25,50.48,50.6699,50.27,50.62,33.131274166,513000,0.0,1.0
2007-10-26,51.26,51.62,51.194,51.57,33.7530582525,79500,0.0,1.0
2007-10-29,51.7,52.05,51.7,52.04,34.0606777479,135500,0.0,1.0
2007-10-30,51.67,51.81,51.6401,51.66,33.8119641133,126000,0.0,1.0
2007-10-31,51.93,52.6,51.8,52.36,34.2701208086,247300,0.0,1.0
2007-11-01,51.55,51.55,51.05,51.05,33.4127132788,514500,0.0,1.0
2007-11-02,51.11,51.41,50.86,51.35,33.6090661482,390400,0.0,1.0
2007-11-05,50.68,50.86,50.466,50.76,33.222905505,268000,0.0,1.0
2007-11-06,51.25,51.48,51.05,51.48,33.6941523916,191100,0.0,1.0
2007-11-07,51.24,51.33,50.43,50.49,33.0461879226,634900,0.0,1.0
2007-11-08,50.77,50.9,50.2,50.83,33.2687211746,358900,0.0,1.0
2007-11-09,50.65,50.65,49.54,49.64,32.4898547926,221900,0.0,1.0
2007-11-12,49.23,49.52,48.7901,48.85,31.9727922364,254500,0.0,1.0
2007-11-13,49.68,50.31,49.66,50.29,32.9152860096,346200,0.0,1.0
2007-11-14,51.02,51.02,50.0,50.11,32.797474288,118900,0.0,1.0
2007-11-15,49.5,49.68,48.89,49.2,32.2018705841,363100,0.0,1.0
2007-11-16,49.51,49.53,49.0,49.39,32.3262274014,518900,0.0,1.0
2007-11-19,49.5,49.5,47.92,48.15,31.5146355411,341900,0.0,1.0
2007-11-20,49.07,49.3,48.62,49.14,32.1626000102,321100,0.0,1.0
2007-11-21,49.12,49.12,47.81,48.14,31.5080904455,212800,0.0,1.0
2007-11-23,48.33,50.98,48.29,49.18,32.1887803928,137500,0.0,1.0
2007-11-26,49.62,49.62,48.43,48.43,31.6978982193,352100,0.0,1.0
2007-11-27,48.95,49.26,48.7,49.25,32.2345960623,254800,0.0,1.0
2007-11-28,49.4,50.6,49.4,50.53,33.0723683052,280400,0.0,1.0
2007-11-29,50.03,50.42,49.94,50.21,32.8629252444,177000,0.0,1.0
2007-11-30,50.42,51.18,50.22,50.39,32.9807369661,346200,0.0,1.0
2007-12-03,50.29,50.45,50.18,50.2,32.8563801488,245800,0.0,1.0
2007-12-04,50.2,50.48,49.82,49.85,32.6273018011,319400,0.0,1.0
2007-12-05,50.39,50.6958,50.344,50.55,33.0854584965,214700,0.0,1.0
2007-12-06,50.04,51.02,50.04,51.02,33.3930779919,375500,0.0,1.0
2007-12-07,50.79,50.9,50.72,50.82,33.2621760789,533500,0.0,1.0
2007-12-10,51.3,51.35,51.03,51.31,33.5828857656,230500,0.0,1.0
2007-12-11,50.5,51.39,49.93,50.06,32.7647488097,212500,0.0,1.0
2007-12-12,51.27,51.53,50.5,50.852,33.283120385,511500,0.0,1.0
2007-12-13,49.6,50.2,49.49,49.989,32.7182786306,512600,0.0,1.0
2007-12-14,49.97,49.97,48.6,48.64,31.8353452278,399900,0.0,1.0
2007-12-17,48.83,48.83,47.57,47.59,31.1481101849,349100,0.0,1.0
2007-12-18,48.08,48.36,47.5,48.11,31.4884551585,462100,0.0,1.0
2007-12-19,47.67,48.45,47.5,47.78,31.2724670022,387800,0.0,1.0
2007-12-20,47.78,48.054,47.69,47.94,31.3771885325,284100,0.0,1.0
2007-12-21,48.52,48.73,48.45,48.73,31.8942510887,743100,0.0,1.0
2007-12-24,49.32,49.32,47.74,47.95,32.074241219,307400,1.055,1.0
2007-12-26,47.92,49.0,47.88,48.2199,32.2547800658,219900,0.0,1.0
2007-12-27,50.4,50.4,47.77,47.778,31.9591886749,387000,0.0,1.0
2007-12-28,48.33,48.36,48.12,48.29,32.3016706666,388500,0.0,1.0
2007-12-31,48.29,48.4,47.75,47.92,32.0541739148,528900,0.0,1.0
2008-01-02,48.28,48.39,47.19,47.81,31.9805937993,688200,0.0,1.0
2008-01-03,47.86,48.02,47.77,47.89,32.0341066106,225300,0.0,1.0
2008-01-04,47.5,47.55,46.71,46.84,31.3317509634,411100,0.0,1.0
2008-01-07,46.66,47.0334,46.62,46.9,31.3718855718,759900,0.0,1.0
2008-01-08,47.37,47.5,46.48,46.52,31.1176997186,368600,0.0,1.0
2008-01-09,46.85,46.93,46.29,46.82,31.3183727606,229400,0.0,1.0
2008-01-10,46.7,47.93,46.26,46.77,31.2849272536,388200,0.0,1.0
2008-01-11,46.64,46.64,45.8,45.96,30.7431100401,207700,0.0,1.0
2008-01-14,46.76,46.7799,46.45,46.7,31.2381035438,172700,0.0,1.0
2008-01-15,46.44,46.44,45.15,45.2299,30.2547387468,322000,0.0,1.0
2008-01-16,45.0,45.14,43.21,44.3,29.6327192075,545800,0.0,1.0
2008-01-17,44.93,44.93,43.41,43.55,29.1310366024,484400,0.0,1.0
2008-01-18,44.44,44.56,43.469,43.71,29.2380622248,428600,0.0,1.0
2008-01-22,41.35,42.71,41.3,42.47,28.4086136511,165700,0.0,1.0
