timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-10,50.9,51.2,50.75,50.9,27.792240707,67500,0.0,1.0
2005-03-11,51.1,51.25,50.9,50.9,27.792240707,25200,0.0,1.0
2005-03-14,50.75,50.85,50.65,50.85,27.7649398811,26600,0.0,1.0
2005-03-15,50.95,50.95,50.7,50.7,27.6830374036,34900,0.0,1.0
2005-03-16,50.9,50.9,50.5,50.5,27.5738341002,9700,0.0,1.0
2005-03-17,50.5,50.6,50.45,50.5,27.5738341002,12500,0.0,1.0
2005-03-18,50.42,50.42,50.2,50.2,27.4100291452,9700,0.0,1.0
2005-03-21,50.05,50.05,49.6,49.85,27.2189233643,20100,0.0,1.0
2005-03-22,49.78,50.0,49.2,49.38,26.9622956014,25100,0.0,1.0
2005-03-23,48.8,49.05,48.8,49.05,26.7821101508,7300,0.0,1.0
2005-03-24,49.05,49.43,49.05,49.25,26.8913134542,18300,0.0,1.0
2005-03-28,49.0,49.25,49.0,49.15,26.8367118025,121100,0.0,1.0
2005-03-29,49.15,49.25,49.05,49.1485,26.8358927777,3000,0.0,1.0
2005-03-30,48.95,49.48,48.95,49.48,27.0168972531,12700,0.0,1.0
2005-03-31,49.55,49.55,49.2,49.25,26.8913134542,12600,0.0,1.0
2005-04-01,49.6,49.65,48.81,48.9,26.7002076733,54600,0.0,1.0
2005-04-04,48.7,49.05,48.5,49.05,26.7821101508,6800,0.0,1.0
2005-04-05,49.1985,49.27,49.07,49.12,26.820331307,18600,0.0,1.0
2005-04-06,49.36,49.56,49.1,49.51,27.0332777486,87600,0.0,1.0
2005-04-07,49.68,49.95,49.6,49.7,27.1370208868,58500,0.0,1.0
2005-04-08,49.65,49.9,49.5,49.65,27.1097200609,79800,0.0,1.0
2005-04-11,50.0,50.2,49.75,50.18,27.3991088148,59200,0.0,1.0
2005-04-12,49.64,50.19,49.5,50.19,27.40456898,21400,0.0,1.0
2005-04-13,49.75,49.9,49.35,49.35,26.9459151059,123200,0.0,1.0
2005-04-14,49.39,49.4,49.0,49.0,26.754809325,61600,0.0,1.0
2005-04-15,49.05,49.3,48.5,48.68,26.5800840396,61600,0.0,1.0
2005-04-18,48.45,48.69,48.45,48.69,26.5855442048,15300,0.0,1.0
2005-04-19,48.9,49.15,48.9,49.15,26.8367118025,20900,0.0,1.0
2005-04-20,48.74,48.9,48.44,48.45,26.4545002407,13700,0.0,1.0
2005-04-21,49.99,49.99,48.8,49.15,26.8367118025,15100,0.0,1.0
2005-04-22,49.15,49.2,48.75,48.75,26.6183051958,60600,0.0,1.0
2005-04-25,49.03,49.14,48.75,49.14,26.8312516373,5800,0.0,1.0
2005-04-26,48.8,48.9,48.65,48.65,26.5637035441,22400,0.0,1.0
2005-04-27,48.2,48.44,48.1,48.4,26.4271994149,6800,0.0,1.0
2005-04-28,48.0,48.0,47.68,47.68,26.0340675227,8900,0.0,1.0
2005-04-29,48.2,48.2,47.89,48.19,26.3125359463,12600,0.0,1.0
2005-05-02,48.19,48.25,48.05,48.2,26.3179961115,23700,0.0,1.0
2005-05-03,48.35,48.6,48.31,48.5,26.4818010666,156700,0.0,1.0
2005-05-04,48.74,49.29,48.73,49.29,26.9131541149,63900,0.0,1.0
2005-05-05,49.32,49.34,49.0,49.09,26.8039508115,88900,0.0,1.0
2005-05-06,49.0,49.09,48.72,48.72,26.6019247003,6500,0.0,1.0
2005-05-09,48.85,49.1,48.75,49.1,26.8094109767,52700,0.0,1.0
2005-05-10,48.58,48.7,48.25,48.25,26.3452969373,7100,0.0,1.0
2005-05-11,48.45,48.58,48.45,48.58,26.5254823879,21600,0.0,1.0
2005-05-12,48.45,48.46,47.86,48.0,26.2087928081,35700,0.0,1.0
2005-05-13,47.95,48.0,47.72,47.84,26.1214301654,8600,0.0,1.0
2005-05-16,47.75,48.14,47.7,47.98,26.1978724778,3100,0.0,1.0
2005-05-17,47.89,48.19,47.88,48.19,26.3125359463,10400,0.0,1.0
2005-05-18,48.34,48.9,48.34,48.9,26.7002076733,31100,0.0,1.0
2005-05-19,48.65,48.84,48.65,48.84,26.6674466823,3100,0.0,1.0
2005-05-20,48.55,48.78,48.37,48.7,26.5910043699,15600,0.0,1.0
2005-05-23,48.8,49.1,48.62,49.1,26.8094109767,24100,0.0,1.0
2005-05-24,48.86,48.88,48.5,48.75,26.6183051958,86800,0.0,1.0
2005-05-25,48.79,48.8,48.6,48.75,26.6183051958,29800,0.0,1.0
2005-05-26,48.85,48.9,48.85,48.9,26.7002076733,5300,0.0,1.0
2005-05-27,48.85,49.0,48.7,49.0,26.754809325,9900,0.0,1.0
2005-05-31,48.58,48.6,48.32,48.32,26.3835180935,42800,0.0,1.0
2005-06-01,48.34,48.7,48.34,48.5,26.4818010666,270700,0.0,1.0
2005-06-02,48.65,48.92,48.5,48.92,26.7111280036,11400,0.0,1.0
2005-06-03,48.65,48.8,48.35,48.5,26.4818010666,11900,0.0,1.0
2005-06-06,48.55,48.8,48.42,48.8,26.6456060216,8200,0.0,1.0
2005-06-07,48.85,49.2,48.8,48.95,26.7275084991,57700,0.0,1.0
2005-06-08,49.15,49.25,48.75,48.85,26.6729068474,18800,0.0,1.0
2005-06-09,48.7,49.2,48.67,49.06,26.787570316,45800,0.0,1.0
2005-06-10,49.05,49.05,48.4,48.85,26.6729068474,73400,0.0,1.0
2005-06-13,48.55,48.8,48.36,48.69,26.5855442048,21200,0.0,1.0
2005-06-14,48.7,48.84,48.53,48.55,26.5091018924,22100,0.0,1.0
2005-06-15,48.7,48.9,48.61,48.9,26.7002076733,9500,0.0,1.0
2005-06-16,48.91,48.99,48.8985,48.99,26.7493491598,7300,0.0,1.0
2005-06-17,49.6,49.98,49.4,49.8,27.1916225384,57300,0.0,1.0
2005-06-20,49.35,49.42,49.15,49.42,26.984136262,51400,0.0,1.0
2005-06-21,49.25,49.55,49.16,49.55,27.0551184092,21600,0.0,1.0
2005-06-22,49.54,49.54,49.4,49.48,27.0168972531,12300,0.0,1.0
2005-06-23,49.35,49.5,48.8,48.8,26.6456060216,20800,0.0,1.0
2005-06-24,49.1,49.11,48.91,49.0,26.754809325,10500,0.0,1.0
2005-06-27,48.9,48.9,48.72,48.9,26.7002076733,13000,0.0,1.0
2005-06-28,48.66,49.13,48.66,49.13,26.8257914722,3900,0.0,1.0
2005-06-29,49.02,49.25,48.9,49.1,26.8094109767,19200,0.0,1.0
2005-06-30,48.95,49.1,48.84,48.97,26.7384288295,70000,0.0,1.0
2005-07-01,49.1,49.15,48.79,49.0,26.754809325,35400,0.0,1.0
2005-07-05,48.5,48.8,48.5,48.8,26.6456060216,60100,0.0,1.0
2005-07-06,49.3,49.3,48.75,48.98,26.7438889946,108400,0.0,1.0
2005-07-07,48.0,48.69,48.0,48.69,26.5855442048,27100,0.0,1.0
2005-07-08,48.74,49.2,48.74,49.2,26.8640126283,18400,0.0,1.0
2005-07-11,49.44,49.79,49.25,49.52,27.0387379137,13100,0.0,1.0
2005-07-12,49.77,50.46,49.75,50.46,27.5519934396,15400,0.0,1.0
2005-07-13,51.0,51.0,49.83,50.06,27.3335868328,8100,0.0,1.0
2005-07-14,50.3,50.3,49.4,50.15,27.3827283193,9600,0.0,1.0
2005-07-15,49.9,50.07,49.67,50.07,27.339046998,16500,0.0,1.0
2005-07-18,50.02,50.02,49.67,49.67,27.1206403913,9700,0.0,1.0
2005-07-19,49.84,50.07,49.55,50.07,27.339046998,10800,0.0,1.0
2005-07-20,49.92,50.38,49.51,50.36,27.4973917879,22700,0.0,1.0
2005-07-21,50.19,50.5,50.19,50.47,27.5574536047,43900,0.0,1.0
2005-07-22,50.25,50.4,49.91,50.1,27.3554274935,7200,0.0,1.0
2005-07-25,50.0,50.2,49.9,50.1,27.3554274935,16700,0.0,1.0
2005-07-26,50.1,50.15,50.01,50.08,27.3445071632,8300,0.0,1.0
2005-07-27,50.4,50.52,50.21,50.52,27.5847544306,14400,0.0,1.0
2005-07-28,50.49,51.01,50.49,51.01,27.8523025238,10100,0.0,1.0
2005-07-29,51.05,51.05,50.32,50.32,27.4755511272,43600,0.0,1.0
2005-08-01,51.38,51.38,50.8,50.96,27.825001698,35300,0.0,1.0
2005-08-02,51.6,51.61,51.24,51.3,28.0106473137,19800,0.0,1.0
2005-08-03,51.85,51.85,51.44,51.79,28.2781954069,24300,0.0,1.0
2005-08-04,51.75,51.75,51.35,51.36,28.0434083047,15100,0.0,1.0
2005-08-05,51.4,51.5,51.16,51.38,28.054328635,50600,0.0,1.0
2005-08-08,51.0,51.94,50.5,51.45,28.0925497912,7200,0.0,1.0
2005-08-09,52.0,52.19,51.8,51.87,28.3218767283,53900,0.0,1.0
2005-08-10,52.4,52.6,52.1,52.15,28.474761353,37100,0.0,1.0
2005-08-11,52.9,52.94,52.5,52.58,28.7095484552,22500,0.0,1.0
2005-08-12,52.7,52.7,52.5,52.5,28.6658671339,6100,0.0,1.0
2005-08-15,52.14,52.64,52.14,52.5,28.6658671339,17600,0.0,1.0
2005-08-16,52.5,52.5,52.0,52.19,28.4966020137,7400,0.0,1.0
2005-08-17,51.55,51.94,51.51,51.51,28.1253107822,19700,0.0,1.0
2005-08-18,51.07,51.48,51.07,51.31,28.0161074789,9900,0.0,1.0
2005-08-19,51.8,51.81,51.22,51.35,28.0379481395,22300,0.0,1.0
2005-08-22,52.1,52.1,51.5,51.64,28.1962929294,37300,0.0,1.0
2005-08-23,51.8,51.8,51.31,51.4,28.0652489654,22000,0.0,1.0
2005-08-24,51.5,51.51,51.08,51.09,27.8959838452,27200,0.0,1.0
2005-08-25,51.33,51.39,51.13,51.15,27.9287448362,44400,0.0,1.0
2005-08-26,51.1,51.24,50.83,50.83,27.7540195508,70500,0.0,1.0
2005-08-29,50.8,51.04,50.68,50.83,27.7540195508,16600,0.0,1.0
2005-08-30,50.88,50.88,50.58,50.7,27.6830374036,28400,0.0,1.0
2005-08-31,50.92,51.75,50.92,51.75,28.2563547463,16900,0.0,1.0
2005-09-01,52.38,52.72,52.16,52.59,28.7150086204,14600,0.0,1.0
2005-09-02,52.75,52.86,52.63,52.74,28.7969110979,15600,0.0,1.0
2005-09-06,53.18,53.31,53.02,53.29,29.0972201822,10400,0.0,1.0
2005-09-07,53.25,53.4,53.01,53.18,29.0371583653,47800,0.0,1.0
2005-09-08,53.13,53.18,52.85,52.92,28.895194071,29800,0.0,1.0
2005-09-09,53.2,53.4,53.09,53.39,29.1518218339,25600,0.0,1.0
2005-09-12,52.95,53.12,52.6,52.82,28.8405924193,24800,0.0,1.0
2005-09-13,52.5,52.59,52.32,52.38,28.6003451519,28300,0.0,1.0
2005-09-14,52.64,52.8,52.34,52.34,28.5785044912,34400,0.0,1.0
2005-09-15,52.34,52.4,52.22,52.34,28.5785044912,21100,0.0,1.0
2005-09-16,52.7,52.93,52.55,52.9185,28.8943750462,88800,0.0,1.0
2005-09-19,52.68,52.68,52.39,52.4,28.6112654822,29700,0.0,1.0
2005-09-20,52.5,52.7285,52.05,52.21,28.507522344,25900,0.0,1.0
2005-09-21,52.45,52.5,51.99,51.99,28.3873987103,23400,0.0,1.0
2005-09-22,51.95,51.95,51.67,51.93,28.3546377193,40000,0.0,1.0
2005-09-23,51.74,51.79,51.51,51.79,28.2781954069,62800,0.0,1.0
2005-09-26,52.0,52.25,51.92,52.06,28.4256198665,16300,0.0,1.0
2005-09-27,51.93,52.12,51.74,52.06,28.4256198665,14600,0.0,1.0
2005-09-28,52.2,52.61,52.2,52.46,28.6440264732,40900,0.0,1.0
2005-09-29,52.28,52.89,52.12,52.89,28.8788135755,233200,0.0,1.0
2005-09-30,52.71,52.71,52.35,52.43,28.6276459777,66100,0.0,1.0
2005-10-03,52.37,52.53,52.29,52.29,28.5512036654,48200,0.0,1.0
2005-10-04,52.64,52.64,52.18,52.18,28.4911418485,50600,0.0,1.0
2005-10-05,52.27,52.43,51.87,51.87,28.3218767283,22200,0.0,1.0
2005-10-06,52.1,52.14,51.79,51.93,28.3546377193,41700,0.0,1.0
2005-10-07,51.98,51.98,51.79,51.85,28.310956398,19100,0.0,1.0
2005-10-10,51.95,51.95,51.57,51.68,28.2181335901,38500,0.0,1.0
2005-10-11,51.75,51.85,51.4,51.42,28.0761692957,6500,0.0,1.0
2005-10-12,51.6,51.67,51.0,51.0,27.8468423586,21800,0.0,1.0
2005-10-13,50.5,50.71,50.2,50.63,27.6448162474,45200,0.0,1.0
2005-10-14,51.02,51.39,50.9,51.29,28.0051871485,15100,0.0,1.0
2005-10-17,51.12,51.12,50.78,50.88,27.7813203766,21400,0.0,1.0
