timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-09-09,51.25,51.25,50.57,50.66,81.2455317379,53000,0.0,1.0
2010-09-10,50.84,50.93,50.648,50.89,81.6143922255,17200,0.0,1.0
2010-09-13,51.48,51.57,51.25,51.53,82.6407866256,67400,0.0,1.0
2010-09-14,51.42,51.74,51.19,51.519,82.6231454719,118800,0.0,1.0
2010-09-15,51.31,51.69,51.2,51.65,82.8332355757,18400,0.0,1.0
2010-09-16,51.51,51.66,51.35,51.63,82.8011607507,119000,0.0,1.0
2010-09-17,51.94,51.94,51.51,51.68,82.8813478132,98600,0.0,1.0
2010-09-20,51.87,52.52,51.73,52.52,84.2284904634,38000,0.0,1.0
2010-09-21,52.51,52.72,52.14,52.3599,83.9717314892,38400,0.0,1.0
2010-09-22,52.28,52.52,51.98,52.08,83.5228443133,36200,0.0,1.0
2010-09-23,51.66,52.17,51.56,51.6531,82.8382071735,66600,0.0,1.0
2010-09-24,51.97,52.45,51.934,52.42,84.5155601472,48200,0.279,1.0
2010-09-27,52.49,52.49,52.17,52.17,84.1124908981,30000,0.0,1.0
2010-09-28,52.159,52.51,51.71,52.51,84.6606650769,99600,0.0,1.0
2010-09-29,52.29,52.455,52.11,52.26,84.2575958278,31800,0.0,1.0
2010-09-30,52.6,52.84,51.98,52.18,84.1286136681,89400,0.0,1.0
2010-10-01,52.54,52.58,52.0824,52.36,84.4188235274,34200,0.0,1.0
2010-10-04,52.63,52.63,51.75,51.92,83.709421649,177400,0.0,1.0
2010-10-05,52.51,53.1,52.41,53.058,85.5441928708,39600,0.0,1.0
2010-10-06,53.06,53.14,52.81,52.968,85.3990879412,553800,0.0,1.0
2010-10-07,53.25,53.25,52.66,52.94,85.3539441853,99800,0.0,1.0
2010-10-08,53.01,53.37,52.83,53.3399,85.9986937561,123000,0.0,1.0
2010-10-11,53.36,53.42,53.14,53.25,85.8537500541,28400,0.0,1.0
2010-10-12,53.19,53.62,52.87,53.56,86.353555923,84000,0.0,1.0
2010-10-13,53.79,54.14,53.62,53.88,86.8694845618,148800,0.0,1.0
2010-10-14,53.85,53.909,53.4,53.68,86.5470291626,38200,0.0,1.0
2010-10-15,54.02,54.04,53.36,53.78,86.7082568622,109800,0.0,1.0
2010-10-18,53.81,54.22,53.72,54.17,87.3370448908,45600,0.0,1.0
2010-10-19,53.57,53.84,53.01,53.3101,85.9506479016,77000,0.0,1.0
2010-10-20,53.47,54.08,53.47,53.88,86.8694845618,45600,0.0,1.0
2010-10-21,54.13,54.378,53.655,53.96,86.9984667215,58800,0.0,1.0
