timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-03-10,50.3,50.5,49.95,50.16,16.5791309986,54100,0.0,1.0
2005-03-11,50.38,50.6285,50.09,50.1,16.5592995022,92200,0.0,1.0
2005-03-14,49.96,50.11,49.6,49.8,16.4601420202,56400,0.0,1.0
2005-03-15,49.25,49.36,48.7,48.72,16.1031750848,63900,0.0,1.0
2005-03-16,48.63,48.77,48.25,48.3,15.9643546099,98200,0.0,1.0
2005-03-17,48.25,48.92,48.24,48.69,16.0932593366,121900,0.0,1.0
2005-03-18,48.9,48.9,48.5,48.76,16.1163960824,37700,0.0,1.0
2005-03-21,48.31,48.31,47.92,48.15,15.9147758689,40500,0.0,1.0
2005-03-22,48.31,48.47,47.25,47.38,15.660271665,34000,0.0,1.0
2005-03-23,47.08,47.2885,46.89,46.95,15.5181459407,27000,0.0,1.0
2005-03-24,46.81,47.1,46.79,46.8,15.4685671997,56800,0.0,1.0
2005-03-28,47.0,47.15,46.75,46.96,15.5214511901,33000,0.0,1.0
2005-03-29,46.5,46.61,45.82,45.94,15.1843157511,25700,0.0,1.0
2005-03-30,46.39,46.94,46.19,46.94,15.5148406913,88500,0.0,1.0
2005-03-31,47.52,47.61,47.0,47.2,15.6007771757,90400,0.0,1.0
2005-04-01,48.12,48.12,47.1,47.25,15.6173034227,71100,0.0,1.0
2005-04-04,47.55,47.56,47.18,47.51,15.7032399072,21900,0.0,1.0
2005-04-05,47.55,47.81,47.27,47.4,15.6668821638,35100,0.0,1.0
2005-04-06,47.83,48.08,47.75,47.84,15.8123131374,48000,0.0,1.0
2005-04-07,47.8,48.16,47.58,48.04,15.8784181255,24300,0.0,1.0
2005-04-08,48.0,48.05,47.65,47.65,15.7495133988,31100,0.0,1.0
2005-04-11,48.0,48.0,47.75,47.83,15.809007888,44500,0.0,1.0
2005-04-12,47.72,47.9,47.19,47.9,15.8321446339,126000,0.0,1.0
2005-04-13,47.94,48.0,47.42,47.51,15.7032399072,29400,0.0,1.0
2005-04-14,47.03,47.03,46.3,46.3,15.3033047296,48700,0.0,1.0
2005-04-15,46.15,46.15,45.27,45.52,15.0454952763,112300,0.0,1.0
2005-04-18,45.4,45.52,45.15,45.4,15.0058322834,43100,0.0,1.0
2005-04-19,46.0,46.33,46.0,46.31,15.306609979,53600,0.0,1.0
2005-04-20,46.18,46.23,45.55,45.5785,15.0648309853,30400,0.0,1.0
2005-04-21,46.25,46.55,46.0,46.55,15.3859359646,77100,0.0,1.0
2005-04-22,46.56,46.6,46.1,46.28,15.2966942308,17800,0.0,1.0
2005-04-25,46.35,46.71,46.19,46.71,15.4388199551,33900,0.0,1.0
2005-04-26,46.54,46.8,46.4,46.42,15.3429677224,61900,0.0,1.0
2005-04-27,46.36,46.4,46.0,46.2,15.2702522356,38600,0.0,1.0
2005-04-28,46.08,46.08,45.25,45.25,14.9562535424,31200,0.0,1.0
2005-04-29,45.99,46.1,45.42,46.1,15.2371997416,20400,0.0,1.0
2005-05-02,46.2,46.3285,46.01,46.31,15.306609979,30600,0.0,1.0
2005-05-03,46.0,46.28,45.99,45.99,15.2008419981,58800,0.0,1.0
2005-05-04,46.55,47.63,46.55,47.59,15.7296819024,311100,0.0,1.0
2005-05-05,47.74,48.01,47.29,47.62,15.7395976506,111000,0.0,1.0
2005-05-06,47.72,48.19,47.66,47.85,15.8156183868,125500,0.0,1.0
2005-05-09,47.64,48.1,47.3,48.01,15.8685023773,124200,0.0,1.0
2005-05-10,47.43,47.6,47.0,47.02,15.5412826865,74000,0.0,1.0
2005-05-11,47.15,47.3,46.81,47.29,15.6305244204,20600,0.0,1.0
