timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,57.25,57.88,56.13,56.25,37.7897174262,4778500,0.0,1.0
1999-11-02,56.31,57.13,55.63,56.13,37.7090993624,4579600,0.0,1.0
1999-11-03,55.75,56.44,55.0,55.75,37.4538088269,4081300,0.0,1.0
1999-11-04,56.5,57.0,55.88,56.0,37.6217631266,4150600,0.0,1.0
1999-11-05,57.5,58.75,57.25,58.06,39.0057065559,6239900,0.0,1.0
1999-11-08,58.5,59.19,58.31,58.5,39.3013061233,4881400,0.0,1.0
1999-11-09,58.0,58.19,56.56,58.0,38.9653975239,10026300,0.0,1.0
1999-11-10,58.0,58.5,57.13,57.13,38.3809165611,6991200,0.0,1.0
1999-11-11,56.88,57.5,56.69,57.44,38.5891798927,6290200,0.0,1.0
1999-11-12,57.94,58.88,56.88,58.88,39.5565966588,5607700,0.0,1.0
1999-11-15,59.0,60.69,58.25,58.94,39.5969056907,9037800,0.0,1.0
1999-11-16,59.5,60.38,58.75,59.88,40.2284138575,6215300,0.0,1.0
1999-11-17,59.38,60.63,58.69,58.88,39.5565966588,6465700,0.0,1.0
1999-11-18,59.19,59.75,58.5,59.38,39.8925052581,5723900,0.0,1.0
1999-11-19,58.38,59.06,57.75,58.13,39.0527337598,4987500,0.0,1.0
1999-11-22,57.19,57.25,56.13,56.75,38.1256260256,6322600,0.0,1.0
1999-11-23,56.63,56.63,55.5,56.0,37.6217631266,6477000,0.0,1.0
1999-11-24,56.5,58.5,56.44,57.94,38.925088492,5668800,0.0,1.0
1999-11-26,58.0,58.69,57.63,58.21,39.1064791357,2297100,0.0,1.0
1999-11-29,58.5,59.38,58.0,59.0,39.6372147226,4793000,0.0,1.0
1999-11-30,58.75,58.94,57.25,57.5,38.6294889246,4376100,0.0,1.0
1999-12-01,57.69,59.0,57.69,58.57,39.3483333272,5319400,0.0,1.0
1999-12-02,59.0,59.19,57.0,57.67,38.7436978484,5285000,0.0,1.0
1999-12-03,58.19,59.25,57.94,59.06,39.6775237545,6172000,0.0,1.0
1999-12-06,58.56,60.5,58.25,59.58,40.0268686979,5449000,0.0,1.0
1999-12-07,59.81,60.13,58.0,58.0,38.9653975239,6361700,0.0,1.0
1999-12-08,58.81,59.31,58.0,58.65,39.4020787031,4600000,0.0,1.0
1999-12-09,58.5,62.25,57.63,62.25,41.8206206184,8808100,0.0,1.0
1999-12-10,62.5,64.5,61.88,63.25,42.492437817,12595800,0.0,1.0
1999-12-13,65.5,69.19,64.75,68.0,45.6835695108,9391000,0.0,1.0
1999-12-14,67.0,68.5,66.94,67.06,45.0520613441,7505100,0.0,1.0
1999-12-15,67.0,67.06,65.13,66.01,44.3802441454,7842800,0.05,1.0
1999-12-16,66.75,68.75,66.0,68.63,46.1417384593,8487000,0.0,1.0
1999-12-17,68.81,68.88,64.75,65.0,43.7011948106,14669900,0.0,1.0
1999-12-20,66.13,66.44,63.19,64.28,43.2171200373,6330600,0.0,1.0
1999-12-21,64.0,65.69,63.56,64.81,43.5734528566,4629900,0.0,1.0
1999-12-22,64.63,66.06,64.63,65.69,44.1650998017,3752700,0.0,1.0
1999-12-23,67.0,68.0,66.75,67.38,45.3013308668,3847300,0.0,1.0
1999-12-27,67.31,70.13,67.31,69.44,46.6863225792,5231600,0.0,1.0
1999-12-28,68.63,70.19,68.56,69.31,46.5989201896,3532000,0.0,1.0
1999-12-29,69.56,70.0,67.38,67.38,45.3013308668,2517600,0.0,1.0
1999-12-30,68.13,69.56,67.81,67.81,45.5904310786,2643900,0.0,1.0
1999-12-31,68.31,70.25,68.25,69.13,46.4779014963,2112700,0.0,1.0
2000-01-03,68.38,69.0,65.5,66.81,44.9181050046,8369900,0.0,1.0
2000-01-04,65.5,65.81,64.19,64.31,43.2372898195,6745100,0.0,1.0
2000-01-05,63.88,64.38,62.19,62.81,42.2288007085,7018700,0.0,1.0
2000-01-06,63.0,64.56,62.69,63.69,42.8204476537,6544500,0.0,1.0
2000-01-07,64.5,68.94,64.5,68.5,46.0543360696,7976900,0.0,1.0
2000-01-10,67.25,67.5,65.63,67.25,45.2139284771,6714300,0.0,1.0
2000-01-11,67.06,67.75,65.63,66.25,44.5416024031,4943300,0.0,1.0
2000-01-12,66.19,66.75,65.06,65.06,43.7415343751,4085000,0.0,1.0
2000-01-13,66.0,66.13,65.0,65.13,43.7885972002,5021000,0.0,1.0
2000-01-14,64.0,65.94,64.0,64.5,43.3650317736,6312200,0.0,1.0
2000-01-18,63.19,66.44,63.06,65.56,44.0776974121,6442200,0.0,1.0
2000-01-19,65.25,65.81,64.0,64.06,43.069208301,4819900,0.0,1.0
2000-01-20,64.44,64.5,62.5,63.38,42.6120265707,5738100,0.0,1.0
2000-01-21,63.94,63.94,62.06,62.44,41.9800400611,6952500,0.0,1.0
